<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNOCNY1M,D,20200402,000000,1.772,1.772,1.772,1.772,0,0
CNOCNY1M,D,20200403,000000,1.741,1.741,1.741,1.741,0,0
CNOCNY1M,D,20200407,000000,1.659,1.659,1.659,1.659,0,0
CNOCNY1M,D,20200408,000000,1.553,1.553,1.553,1.553,0,0
CNOCNY1M,D,20200409,000000,1.473,1.473,1.473,1.473,0,0
CNOCNY1M,D,20200410,000000,1.4,1.4,1.4,1.4,0,0
CNOCNY1M,D,20200413,000000,1.365,1.365,1.365,1.365,0,0
CNOCNY1M,D,20200414,000000,1.353,1.353,1.353,1.353,0,0
CNOCNY1M,D,20200415,000000,1.341,1.341,1.341,1.341,0,0
CNOCNY1M,D,20200416,000000,1.324,1.324,1.324,1.324,0,0
CNOCNY1M,D,20200417,000000,1.308,1.308,1.308,1.308,0,0
CNOCNY1M,D,20200420,000000,1.301,1.301,1.301,1.301,0,0
CNOCNY1M,D,20200421,000000,1.302,1.302,1.302,1.302,0,0
CNOCNY1M,D,20200422,000000,1.3,1.3,1.3,1.3,0,0
CNOCNY1M,D,20200423,000000,1.301,1.301,1.301,1.301,0,0
CNOCNY1M,D,20200424,000000,1.302,1.302,1.302,1.302,0,0
CNOCNY1M,D,20200427,000000,1.307,1.307,1.307,1.307,0,0
CNOCNY1M,D,20200428,000000,1.304,1.304,1.304,1.304,0,0
CNOCNY1M,D,20200429,000000,1.304,1.304,1.304,1.304,0,0
CNOCNY1M,D,20200430,000000,1.314,1.314,1.314,1.314,0,0
CNOCNY1M,D,20200506,000000,1.311,1.311,1.311,1.311,0,0
CNOCNY1M,D,20200507,000000,1.304,1.304,1.304,1.304,0,0
CNOCNY1M,D,20200508,000000,1.3,1.3,1.3,1.3,0,0
CNOCNY1M,D,20200511,000000,1.3,1.3,1.3,1.3,0,0
CNOCNY1M,D,20200512,000000,1.3,1.3,1.3,1.3,0,0
CNOCNY1M,D,20200513,000000,1.3,1.3,1.3,1.3,0,0
CNOCNY1M,D,20200514,000000,1.3,1.3,1.3,1.3,0,0
