<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNOCNY9M,D,20200402,000000,2.098,2.098,2.098,2.098,0,0
CNOCNY9M,D,20200403,000000,2.075,2.075,2.075,2.075,0,0
CNOCNY9M,D,20200407,000000,1.993,1.993,1.993,1.993,0,0
CNOCNY9M,D,20200408,000000,1.87,1.87,1.87,1.87,0,0
CNOCNY9M,D,20200409,000000,1.769,1.769,1.769,1.769,0,0
CNOCNY9M,D,20200410,000000,1.702,1.702,1.702,1.702,0,0
CNOCNY9M,D,20200413,000000,1.668,1.668,1.668,1.668,0,0
CNOCNY9M,D,20200414,000000,1.644,1.644,1.644,1.644,0,0
CNOCNY9M,D,20200415,000000,1.631,1.631,1.631,1.631,0,0
CNOCNY9M,D,20200416,000000,1.603,1.603,1.603,1.603,0,0
CNOCNY9M,D,20200417,000000,1.594,1.594,1.594,1.594,0,0
CNOCNY9M,D,20200420,000000,1.578,1.578,1.578,1.578,0,0
CNOCNY9M,D,20200421,000000,1.572,1.572,1.572,1.572,0,0
CNOCNY9M,D,20200422,000000,1.578,1.578,1.578,1.578,0,0
CNOCNY9M,D,20200423,000000,1.58,1.58,1.58,1.58,0,0
CNOCNY9M,D,20200424,000000,1.582,1.582,1.582,1.582,0,0
CNOCNY9M,D,20200515,000000,1.599,1.599,1.599,1.599,0,0
CNOCNY9M,D,20200518,000000,1.598,1.598,1.598,1.598,0,0
CNOCNY9M,D,20200519,000000,1.598,1.598,1.598,1.598,0,0
CNOCNY9M,D,20200520,000000,1.599,1.599,1.599,1.599,0,0
CNOCNY9M,D,20200521,000000,1.6,1.6,1.6,1.6,0,0
CNOCNY9M,D,20200522,000000,1.6,1.6,1.6,1.6,0,0
CNOCNY9M,D,20200525,000000,1.6,1.6,1.6,1.6,0,0
CNOCNY9M,D,20200526,000000,1.611,1.611,1.611,1.611,0,0
CNOCNY9M,D,20200527,000000,1.626,1.626,1.626,1.626,0,0
CNOCNY9M,D,20200528,000000,1.64,1.64,1.64,1.64,0,0
CNOCNY9M,D,20200529,000000,1.667,1.667,1.667,1.667,0,0
CNOCNY9M,D,20200601,000000,1.678,1.678,1.678,1.678,0,0
CNOCNY9M,D,20200602,000000,1.69,1.69,1.69,1.69,0,0
CNOCNY9M,D,20200603,000000,1.723,1.723,1.723,1.723,0,0
CNOCNY9M,D,20200604,000000,1.745,1.745,1.745,1.745,0,0
CNOCNY9M,D,20200605,000000,1.773,1.773,1.773,1.773,0,0
CNOCNY9M,D,20200608,000000,1.83,1.83,1.83,1.83,0,0
CNOCNY9M,D,20200609,000000,1.884,1.884,1.884,1.884,0,0
CNOCNY9M,D,20200610,000000,1.947,1.947,1.947,1.947,0,0
CNOCNY9M,D,20200611,000000,2.051,2.051,2.051,2.051,0,0
CNOCNY9M,D,20200612,000000,2.106,2.106,2.106,2.106,0,0
CNOCNY9M,D,20200615,000000,2.141,2.141,2.141,2.141,0,0
CNOCNY9M,D,20200616,000000,2.166,2.166,2.166,2.166,0,0
CNOCNY9M,D,20200617,000000,2.207,2.207,2.207,2.207,0,0
CNOCNY9M,D,20200618,000000,2.223,2.223,2.223,2.223,0,0
CNOCNY9M,D,20200619,000000,2.249,2.249,2.249,2.249,0,0
CNOCNY9M,D,20200622,000000,2.253,2.253,2.253,2.253,0,0
CNOCNY9M,D,20200623,000000,2.265,2.265,2.265,2.265,0,0
CNOCNY9M,D,20200624,000000,2.28,2.28,2.28,2.28,0,0
CNOCNY9M,D,20200629,000000,2.29,2.29,2.29,2.29,0,0
CNOCNY9M,D,20200630,000000,2.296,2.296,2.296,2.296,0,0
CNOCNY9M,D,20200701,000000,2.299,2.299,2.299,2.299,0,0
CNOCNY9M,D,20200702,000000,2.297,2.297,2.297,2.297,0,0
CNOCNY9M,D,20200703,000000,2.301,2.301,2.301,2.301,0,0
CNOCNY9M,D,20200706,000000,2.305,2.305,2.305,2.305,0,0
CNOCNY9M,D,20200707,000000,2.318,2.318,2.318,2.318,0,0
CNOCNY9M,D,20200708,000000,2.335,2.335,2.335,2.335,0,0
CNOCNY9M,D,20200709,000000,2.353,2.353,2.353,2.353,0,0
CNOCNY9M,D,20200710,000000,2.367,2.367,2.367,2.367,0,0
CNOCNY9M,D,20200713,000000,2.385,2.385,2.385,2.385,0,0
CNOCNY9M,D,20200714,000000,2.404,2.404,2.404,2.404,0,0
CNOCNY9M,D,20200715,000000,2.438,2.438,2.438,2.438,0,0
CNOCNY9M,D,20200716,000000,2.479,2.479,2.479,2.479,0,0
CNOCNY9M,D,20200717,000000,2.542,2.542,2.542,2.542,0,0
CNOCNY9M,D,20200720,000000,2.585,2.585,2.585,2.585,0,0
CNOCNY9M,D,20200721,000000,2.651,2.651,2.651,2.651,0,0
CNOCNY9M,D,20200722,000000,2.687,2.687,2.687,2.687,0,0
CNOCNY9M,D,20200723,000000,2.709,2.709,2.709,2.709,0,0
CNOCNY9M,D,20200724,000000,2.727,2.727,2.727,2.727,0,0
CNOCNY9M,D,20200727,000000,2.738,2.738,2.738,2.738,0,0
CNOCNY9M,D,20200728,000000,2.745,2.745,2.745,2.745,0,0
CNOCNY9M,D,20200729,000000,2.752,2.752,2.752,2.752,0,0
CNOCNY9M,D,20200730,000000,2.756,2.756,2.756,2.756,0,0
CNOCNY9M,D,20200731,000000,2.76,2.76,2.76,2.76,0,0
CNOCNY9M,D,20200803,000000,2.763,2.763,2.763,2.763,0,0
CNOCNY9M,D,20200804,000000,2.778,2.778,2.778,2.778,0,0
CNOCNY9M,D,20200805,000000,2.79,2.79,2.79,2.79,0,0
CNOCNY9M,D,20200806,000000,2.797,2.797,2.797,2.797,0,0
CNOCNY9M,D,20200807,000000,2.802,2.802,2.802,2.802,0,0
CNOCNY9M,D,20200810,000000,2.803,2.803,2.803,2.803,0,0
CNOCNY9M,D,20200811,000000,2.803,2.803,2.803,2.803,0,0
CNOCNY9M,D,20200812,000000,2.809,2.809,2.809,2.809,0,0
CNOCNY9M,D,20200813,000000,2.811,2.811,2.811,2.811,0,0
CNOCNY9M,D,20200814,000000,2.814,2.814,2.814,2.814,0,0
CNOCNY9M,D,20200817,000000,2.822,2.822,2.822,2.822,0,0
CNOCNY9M,D,20200818,000000,2.831,2.831,2.831,2.831,0,0
CNOCNY9M,D,20200819,000000,2.84,2.84,2.84,2.84,0,0
CNOCNY9M,D,20200820,000000,2.845,2.845,2.845,2.845,0,0
CNOCNY9M,D,20200821,000000,2.849,2.849,2.849,2.849,0,0
CNOCNY9M,D,20200824,000000,2.853,2.853,2.853,2.853,0,0
CNOCNY9M,D,20200825,000000,2.856,2.856,2.856,2.856,0,0
CNOCNY9M,D,20200826,000000,2.859,2.859,2.859,2.859,0,0
CNOCNY9M,D,20200827,000000,2.871,2.871,2.871,2.871,0,0
CNOCNY9M,D,20200828,000000,2.883,2.883,2.883,2.883,0,0
CNOCNY9M,D,20200831,000000,2.893,2.893,2.893,2.893,0,0
CNOCNY9M,D,20200901,000000,2.901,2.901,2.901,2.901,0,0
CNOCNY9M,D,20200902,000000,2.905,2.905,2.905,2.905,0,0
CNOCNY9M,D,20200903,000000,2.914,2.914,2.914,2.914,0,0
CNOCNY9M,D,20200904,000000,2.92,2.92,2.92,2.92,0,0
CNOCNY9M,D,20200907,000000,2.93,2.93,2.93,2.93,0,0
CNOCNY9M,D,20200908,000000,2.944,2.944,2.944,2.944,0,0
CNOCNY9M,D,20200909,000000,2.953,2.953,2.953,2.953,0,0
CNOCNY9M,D,20200910,000000,2.967,2.967,2.967,2.967,0,0
CNOCNY9M,D,20200911,000000,2.975,2.975,2.975,2.975,0,0
CNOCNY9M,D,20200914,000000,2.979,2.979,2.979,2.979,0,0
CNOCNY9M,D,20200915,000000,2.978,2.978,2.978,2.978,0,0
CNOCNY9M,D,20200916,000000,2.968,2.968,2.968,2.968,0,0
CNOCNY9M,D,20200917,000000,2.964,2.964,2.964,2.964,0,0
CNOCNY9M,D,20200918,000000,2.96,2.96,2.96,2.96,0,0
CNOCNY9M,D,20200921,000000,2.955,2.955,2.955,2.955,0,0
CNOCNY9M,D,20200922,000000,2.957,2.957,2.957,2.957,0,0
CNOCNY9M,D,20200923,000000,2.959,2.959,2.959,2.959,0,0
CNOCNY9M,D,20200924,000000,2.968,2.968,2.968,2.968,0,0
CNOCNY9M,D,20200925,000000,2.973,2.973,2.973,2.973,0,0
CNOCNY9M,D,20200928,000000,2.978,2.978,2.978,2.978,0,0
CNOCNY9M,D,20200929,000000,2.982,2.982,2.982,2.982,0,0
CNOCNY9M,D,20200930,000000,2.988,2.988,2.988,2.988,0,0
CNOCNY9M,D,20201009,000000,2.994,2.994,2.994,2.994,0,0
CNOCNY9M,D,20201012,000000,3,3,3,3,0,0
CNOCNY9M,D,20201013,000000,3.005,3.005,3.005,3.005,0,0
CNOCNY9M,D,20201014,000000,3.008,3.008,3.008,3.008,0,0
CNOCNY9M,D,20201015,000000,3.015,3.015,3.015,3.015,0,0
CNOCNY9M,D,20201016,000000,3.022,3.022,3.022,3.022,0,0
CNOCNY9M,D,20201019,000000,3.029,3.029,3.029,3.029,0,0
CNOCNY9M,D,20201020,000000,3.035,3.035,3.035,3.035,0,0
CNOCNY9M,D,20201021,000000,3.052,3.052,3.052,3.052,0,0
CNOCNY9M,D,20201022,000000,3.066,3.066,3.066,3.066,0,0
CNOCNY9M,D,20201023,000000,3.078,3.078,3.078,3.078,0,0
CNOCNY9M,D,20201026,000000,3.089,3.089,3.089,3.089,0,0
CNOCNY9M,D,20201027,000000,3.099,3.099,3.099,3.099,0,0
CNOCNY9M,D,20201028,000000,3.109,3.109,3.109,3.109,0,0
CNOCNY9M,D,20201029,000000,3.123,3.123,3.123,3.123,0,0
CNOCNY9M,D,20201030,000000,3.136,3.136,3.136,3.136,0,0
CNOCNY9M,D,20201102,000000,3.145,3.145,3.145,3.145,0,0
CNOCNY9M,D,20201103,000000,3.151,3.151,3.151,3.151,0,0
CNOCNY9M,D,20201104,000000,3.153,3.153,3.153,3.153,0,0
CNOCNY9M,D,20201105,000000,3.154,3.154,3.154,3.154,0,0
CNOCNY9M,D,20201106,000000,3.153,3.153,3.153,3.153,0,0
CNOCNY9M,D,20201109,000000,3.153,3.153,3.153,3.153,0,0
CNOCNY9M,D,20201110,000000,3.154,3.154,3.154,3.154,0,0
CNOCNY9M,D,20201111,000000,3.156,3.156,3.156,3.156,0,0
CNOCNY9M,D,20201112,000000,3.161,3.161,3.161,3.161,0,0
CNOCNY9M,D,20201113,000000,3.166,3.166,3.166,3.166,0,0
CNOCNY9M,D,20201116,000000,3.169,3.169,3.169,3.169,0,0
CNOCNY9M,D,20201117,000000,3.171,3.171,3.171,3.171,0,0
CNOCNY9M,D,20201118,000000,3.178,3.178,3.178,3.178,0,0
CNOCNY9M,D,20201119,000000,3.189,3.189,3.189,3.189,0,0
CNOCNY9M,D,20201120,000000,3.196,3.196,3.196,3.196,0,0
CNOCNY9M,D,20201123,000000,3.203,3.203,3.203,3.203,0,0
CNOCNY9M,D,20201124,000000,3.207,3.207,3.207,3.207,0,0
CNOCNY9M,D,20201125,000000,3.219,3.219,3.219,3.219,0,0
CNOCNY9M,D,20201126,000000,3.235,3.235,3.235,3.235,0,0
CNOCNY9M,D,20201127,000000,3.25,3.25,3.25,3.25,0,0
CNOCNY9M,D,20201130,000000,3.246,3.246,3.246,3.246,0,0
CNOCNY9M,D,20201201,000000,3.224,3.224,3.224,3.224,0,0
CNOCNY9M,D,20201202,000000,3.216,3.216,3.216,3.216,0,0
CNOCNY9M,D,20201203,000000,3.21,3.21,3.21,3.21,0,0
CNOCNY9M,D,20201204,000000,3.2065,3.2065,3.2065,3.2065,0,0
CNOCNY9M,D,20201207,000000,3.206,3.206,3.206,3.206,0,0
CNOCNY9M,D,20201208,000000,3.206,3.206,3.206,3.206,0,0
CNOCNY9M,D,20201209,000000,3.206,3.206,3.206,3.206,0,0
CNOCNY9M,D,20201210,000000,3.2,3.2,3.2,3.2,0,0
CNOCNY9M,D,20201211,000000,3.195,3.195,3.195,3.195,0,0
CNOCNY9M,D,20201214,000000,3.187,3.187,3.187,3.187,0,0
CNOCNY9M,D,20201215,000000,3.156,3.156,3.156,3.156,0,0
CNOCNY9M,D,20201216,000000,3.112,3.112,3.112,3.112,0,0
CNOCNY9M,D,20201217,000000,3.065,3.065,3.065,3.065,0,0
CNOCNY9M,D,20201218,000000,3.03,3.03,3.03,3.03,0,0
CNOCNY9M,D,20201221,000000,3.008,3.008,3.008,3.008,0,0
CNOCNY9M,D,20201222,000000,2.992,2.992,2.992,2.992,0,0
CNOCNY9M,D,20201223,000000,2.974,2.974,2.974,2.974,0,0
CNOCNY9M,D,20201224,000000,2.962,2.962,2.962,2.962,0,0
CNOCNY9M,D,20201225,000000,2.955,2.955,2.955,2.955,0,0
CNOCNY9M,D,20201228,000000,2.948,2.948,2.948,2.948,0,0
CNOCNY9M,D,20201229,000000,2.946,2.946,2.946,2.946,0,0
CNOCNY9M,D,20201230,000000,2.946,2.946,2.946,2.946,0,0
CNOCNY9M,D,20201231,000000,2.939,2.939,2.939,2.939,0,0
CNOCNY9M,D,20210104,000000,2.926,2.926,2.926,2.926,0,0
CNOCNY9M,D,20210105,000000,2.913,2.913,2.913,2.913,0,0
CNOCNY9M,D,20210106,000000,2.889,2.889,2.889,2.889,0,0
CNOCNY9M,D,20210107,000000,2.863,2.863,2.863,2.863,0,0
CNOCNY9M,D,20210108,000000,2.837,2.837,2.837,2.837,0,0
CNOCNY9M,D,20210111,000000,2.814,2.814,2.814,2.814,0,0
CNOCNY9M,D,20210112,000000,2.802,2.802,2.802,2.802,0,0
CNOCNY9M,D,20210113,000000,2.799,2.799,2.799,2.799,0,0
CNOCNY9M,D,20210114,000000,2.797,2.797,2.797,2.797,0,0
CNOCNY9M,D,20210115,000000,2.795,2.795,2.795,2.795,0,0
CNOCNY9M,D,20210118,000000,2.793,2.793,2.793,2.793,0,0
CNOCNY9M,D,20210119,000000,2.785,2.785,2.785,2.785,0,0
CNOCNY9M,D,20210120,000000,2.789,2.789,2.789,2.789,0,0
CNOCNY9M,D,20210121,000000,2.789,2.789,2.789,2.789,0,0
CNOCNY9M,D,20210122,000000,2.789,2.789,2.789,2.789,0,0
CNOCNY9M,D,20210125,000000,2.791,2.791,2.791,2.791,0,0
CNOCNY9M,D,20210126,000000,2.802,2.802,2.802,2.802,0,0
CNOCNY9M,D,20210127,000000,2.827,2.827,2.827,2.827,0,0
CNOCNY9M,D,20210128,000000,2.859,2.859,2.859,2.859,0,0
CNOCNY9M,D,20210129,000000,2.896,2.896,2.896,2.896,0,0
CNOCNY9M,D,20210201,000000,2.902,2.902,2.902,2.902,0,0
CNOCNY9M,D,20210202,000000,2.91,2.91,2.91,2.91,0,0
CNOCNY9M,D,20210203,000000,2.916,2.916,2.916,2.916,0,0
CNOCNY9M,D,20210204,000000,2.92,2.92,2.92,2.92,0,0
CNOCNY9M,D,20210205,000000,2.932,2.932,2.932,2.932,0,0
CNOCNY9M,D,20210208,000000,2.95,2.95,2.95,2.95,0,0
CNOCNY9M,D,20210209,000000,2.953,2.953,2.953,2.953,0,0
CNOCNY9M,D,20210210,000000,2.953,2.953,2.953,2.953,0,0
CNOCNY9M,D,20210218,000000,2.953,2.953,2.953,2.953,0,0
CNOCNY9M,D,20210219,000000,2.966,2.966,2.966,2.966,0,0
CNOCNY9M,D,20210222,000000,2.988,2.988,2.988,2.988,0,0
CNOCNY9M,D,20210223,000000,3,3,3,3,0,0
CNOCNY9M,D,20210224,000000,3.007,3.007,3.007,3.007,0,0
CNOCNY9M,D,20210225,000000,3.007,3.007,3.007,3.007,0,0
CNOCNY9M,D,20210226,000000,3.007,3.007,3.007,3.007,0,0
CNOCNY9M,D,20210301,000000,3.005,3.005,3.005,3.005,0,0
CNOCNY9M,D,20210302,000000,3.005,3.005,3.005,3.005,0,0
CNOCNY9M,D,20210303,000000,3.002,3.002,3.002,3.002,0,0
CNOCNY9M,D,20210304,000000,3.001,3.001,3.001,3.001,0,0
CNOCNY9M,D,20210305,000000,3,3,3,3,0,0
CNOCNY9M,D,20210308,000000,3,3,3,3,0,0
CNOCNY9M,D,20210309,000000,3,3,3,3,0,0
CNOCNY9M,D,20210310,000000,3,3,3,3,0,0
CNOCNY9M,D,20210311,000000,3,3,3,3,0,0
CNOCNY9M,D,20210312,000000,3,3,3,3,0,0
CNOCNY9M,D,20210315,000000,2.998,2.998,2.998,2.998,0,0
CNOCNY9M,D,20210316,000000,2.999,2.999,2.999,2.999,0,0
CNOCNY9M,D,20210317,000000,2.999,2.999,2.999,2.999,0,0
CNOCNY9M,D,20210318,000000,2.993,2.993,2.993,2.993,0,0
CNOCNY9M,D,20210319,000000,2.995,2.995,2.995,2.995,0,0
CNOCNY9M,D,20210322,000000,2.993,2.993,2.993,2.993,0,0
CNOCNY9M,D,20210323,000000,2.988,2.988,2.988,2.988,0,0
CNOCNY9M,D,20210324,000000,2.983,2.983,2.983,2.983,0,0
CNOCNY9M,D,20210325,000000,2.976,2.976,2.976,2.976,0,0
CNOCNY9M,D,20210326,000000,2.966,2.966,2.966,2.966,0,0
CNOCNY9M,D,20210329,000000,2.951,2.951,2.951,2.951,0,0
CNOCNY9M,D,20210330,000000,2.944,2.944,2.944,2.944,0,0
CNOCNY9M,D,20210331,000000,2.941,2.941,2.941,2.941,0,0
CNOCNY9M,D,20210401,000000,2.935,2.935,2.935,2.935,0,0
CNOCNY9M,D,20210402,000000,2.93,2.93,2.93,2.93,0,0
CNOCNY9M,D,20210406,000000,2.922,2.922,2.922,2.922,0,0
CNOCNY9M,D,20210407,000000,2.917,2.917,2.917,2.917,0,0
CNOCNY9M,D,20210408,000000,2.913,2.913,2.913,2.913,0,0
CNOCNY9M,D,20210409,000000,2.911,2.911,2.911,2.911,0,0
CNOCNY9M,D,20210412,000000,2.909,2.909,2.909,2.909,0,0
CNOCNY9M,D,20210413,000000,2.903,2.903,2.903,2.903,0,0
CNOCNY9M,D,20210414,000000,2.902,2.902,2.902,2.902,0,0
CNOCNY9M,D,20210415,000000,2.9,2.9,2.9,2.9,0,0
CNOCNY9M,D,20210416,000000,2.9,2.9,2.9,2.9,0,0
CNOCNY9M,D,20210419,000000,2.9,2.9,2.9,2.9,0,0
CNOCNY9M,D,20210420,000000,2.9,2.9,2.9,2.9,0,0
CNOCNY9M,D,20210421,000000,2.9,2.9,2.9,2.9,0,0
CNOCNY9M,D,20210422,000000,2.9,2.9,2.9,2.9,0,0
CNOCNY9M,D,20210423,000000,2.9,2.9,2.9,2.9,0,0
CNOCNY9M,D,20210426,000000,2.896,2.896,2.896,2.896,0,0
CNOCNY9M,D,20210427,000000,2.889,2.889,2.889,2.889,0,0
CNOCNY9M,D,20210428,000000,2.884,2.884,2.884,2.884,0,0
CNOCNY9M,D,20210429,000000,2.88,2.88,2.88,2.88,0,0
CNOCNY9M,D,20210430,000000,2.879,2.879,2.879,2.879,0,0
CNOCNY9M,D,20210506,000000,2.874,2.874,2.874,2.874,0,0
CNOCNY9M,D,20210507,000000,2.865,2.865,2.865,2.865,0,0
CNOCNY9M,D,20210510,000000,2.848,2.848,2.848,2.848,0,0
CNOCNY9M,D,20210511,000000,2.843,2.843,2.843,2.843,0,0
CNOCNY9M,D,20210512,000000,2.843,2.843,2.843,2.843,0,0
CNOCNY9M,D,20210513,000000,2.842,2.842,2.842,2.842,0,0
CNOCNY9M,D,20210514,000000,2.842,2.842,2.842,2.842,0,0
CNOCNY9M,D,20210517,000000,2.841,2.841,2.841,2.841,0,0
CNOCNY9M,D,20210518,000000,2.841,2.841,2.841,2.841,0,0
CNOCNY9M,D,20210519,000000,2.843,2.843,2.843,2.843,0,0
CNOCNY9M,D,20210520,000000,2.843,2.843,2.843,2.843,0,0
CNOCNY9M,D,20210521,000000,2.843,2.843,2.843,2.843,0,0
CNOCNY9M,D,20210524,000000,2.842,2.842,2.842,2.842,0,0
CNOCNY9M,D,20210525,000000,2.842,2.842,2.842,2.842,0,0
CNOCNY9M,D,20210526,000000,2.841,2.841,2.841,2.841,0,0
CNOCNY9M,D,20210527,000000,2.836,2.836,2.836,2.836,0,0
CNOCNY9M,D,20210528,000000,2.834,2.834,2.834,2.834,0,0
CNOCNY9M,D,20210531,000000,2.838,2.838,2.838,2.838,0,0
CNOCNY9M,D,20210601,000000,2.84,2.84,2.84,2.84,0,0
CNOCNY9M,D,20210602,000000,2.835,2.835,2.835,2.835,0,0
CNOCNY9M,D,20210603,000000,2.829,2.829,2.829,2.829,0,0
CNOCNY9M,D,20210604,000000,2.821,2.821,2.821,2.821,0,0
CNOCNY9M,D,20210607,000000,2.822,2.822,2.822,2.822,0,0
CNOCNY9M,D,20210608,000000,2.824,2.824,2.824,2.824,0,0
CNOCNY9M,D,20210609,000000,2.826,2.826,2.826,2.826,0,0
