<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ILSMYR,D,19931025,000000,0.883,0.883,0.883,0.883,0,0
ILSMYR,D,19931026,000000,0.8825,0.8825,0.8825,0.8825,0,0
ILSMYR,D,19931027,000000,0.8832,0.8832,0.8832,0.8832,0,0
ILSMYR,D,19931028,000000,0.881,0.881,0.881,0.881,0,0
ILSMYR,D,19931029,000000,0.8786,0.8786,0.8786,0.8786,0,0
ILSMYR,D,19931102,000000,0.8792,0.8792,0.8792,0.8792,0,0
ILSMYR,D,19931103,000000,0.8766,0.8766,0.8766,0.8766,0,0
ILSMYR,D,19931104,000000,0.8796,0.8796,0.8796,0.8796,0,0
ILSMYR,D,19931105,000000,0.8769,0.8769,0.8769,0.8769,0,0
ILSMYR,D,19931108,000000,0.8775,0.8775,0.8775,0.8775,0,0
ILSMYR,D,19931109,000000,0.8747,0.8747,0.8747,0.8747,0,0
ILSMYR,D,19931110,000000,0.8721,0.8721,0.8721,0.8721,0,0
ILSMYR,D,19931112,000000,0.872,0.872,0.872,0.872,0,0
ILSMYR,D,19931115,000000,0.8738,0.8738,0.8738,0.8738,0,0
ILSMYR,D,19931116,000000,0.8736,0.8736,0.8736,0.8736,0,0
ILSMYR,D,19931117,000000,0.8728,0.8728,0.8728,0.8728,0,0
ILSMYR,D,19931118,000000,0.8721,0.8721,0.8721,0.8721,0,0
ILSMYR,D,19931119,000000,0.8695,0.8695,0.8695,0.8695,0,0
ILSMYR,D,19931122,000000,0.868,0.868,0.868,0.868,0,0
ILSMYR,D,19931123,000000,0.8673,0.8673,0.8673,0.8673,0,0
ILSMYR,D,19931124,000000,0.8668,0.8668,0.8668,0.8668,0,0
ILSMYR,D,19931125,000000,0.8694,0.8694,0.8694,0.8694,0,0
ILSMYR,D,19931126,000000,0.8699,0.8699,0.8699,0.8699,0,0
ILSMYR,D,19931129,000000,0.8675,0.8675,0.8675,0.8675,0,0
ILSMYR,D,19931130,000000,0.8659,0.8659,0.8659,0.8659,0,0
ILSMYR,D,19931201,000000,0.8658,0.8658,0.8658,0.8658,0,0
ILSMYR,D,19931202,000000,0.8663,0.8663,0.8663,0.8663,0,0
ILSMYR,D,19931203,000000,0.8664,0.8664,0.8664,0.8664,0,0
ILSMYR,D,19931206,000000,0.8661,0.8661,0.8661,0.8661,0,0
ILSMYR,D,19931207,000000,0.8671,0.8671,0.8671,0.8671,0,0
ILSMYR,D,19931208,000000,0.8679,0.8679,0.8679,0.8679,0,0
ILSMYR,D,19931209,000000,0.8673,0.8673,0.8673,0.8673,0,0
ILSMYR,D,19931210,000000,0.8678,0.8678,0.8678,0.8678,0,0
ILSMYR,D,19931213,000000,0.8663,0.8663,0.8663,0.8663,0,0
ILSMYR,D,19931214,000000,0.8645,0.8645,0.8645,0.8645,0,0
ILSMYR,D,19931215,000000,0.8648,0.8648,0.8648,0.8648,0,0
ILSMYR,D,19931216,000000,0.8649,0.8649,0.8649,0.8649,0,0
ILSMYR,D,19931217,000000,0.8645,0.8645,0.8645,0.8645,0,0
ILSMYR,D,19931220,000000,0.8641,0.8641,0.8641,0.8641,0,0
ILSMYR,D,19931221,000000,0.8628,0.8628,0.8628,0.8628,0,0
ILSMYR,D,19931222,000000,0.8635,0.8635,0.8635,0.8635,0,0
ILSMYR,D,19931223,000000,0.8676,0.8676,0.8676,0.8676,0,0
ILSMYR,D,19931224,000000,0.8705,0.8705,0.8705,0.8705,0,0
ILSMYR,D,19931227,000000,0.8748,0.8748,0.8748,0.8748,0,0
ILSMYR,D,19931228,000000,0.8792,0.8792,0.8792,0.8792,0,0
ILSMYR,D,19931229,000000,0.8926,0.8926,0.8926,0.8926,0,0
ILSMYR,D,19931230,000000,0.9059,0.9059,0.9059,0.9059,0,0
ILSMYR,D,19931231,000000,0.9063,0.9063,0.9063,0.9063,0,0
ILSMYR,D,19940103,000000,0.9006,0.9006,0.9006,0.9006,0,0
ILSMYR,D,19940104,000000,0.8864,0.8864,0.8864,0.8864,0,0
ILSMYR,D,19940105,000000,0.8856,0.8856,0.8856,0.8856,0,0
ILSMYR,D,19940106,000000,0.8871,0.8871,0.8871,0.8871,0,0
ILSMYR,D,19940107,000000,0.8856,0.8856,0.8856,0.8856,0,0
ILSMYR,D,19940110,000000,0.8994,0.8994,0.8994,0.8994,0,0
ILSMYR,D,19940111,000000,0.9243,0.9243,0.9243,0.9243,0,0
ILSMYR,D,19940112,000000,0.922,0.922,0.922,0.922,0,0
ILSMYR,D,19940113,000000,0.9262,0.9262,0.9262,0.9262,0,0
ILSMYR,D,19940114,000000,0.9258,0.9258,0.9258,0.9258,0,0
ILSMYR,D,19940117,000000,0.925,0.925,0.925,0.925,0,0
ILSMYR,D,19940118,000000,0.9239,0.9239,0.9239,0.9239,0,0
ILSMYR,D,19940119,000000,0.9235,0.9235,0.9235,0.9235,0,0
ILSMYR,D,19940120,000000,0.9279,0.9279,0.9279,0.9279,0,0
ILSMYR,D,19940121,000000,0.9267,0.9267,0.9267,0.9267,0,0
ILSMYR,D,19940124,000000,0.9302,0.9302,0.9302,0.9302,0,0
ILSMYR,D,19940125,000000,0.9314,0.9314,0.9314,0.9314,0,0
ILSMYR,D,19940126,000000,0.9281,0.9281,0.9281,0.9281,0,0
ILSMYR,D,19940127,000000,0.927,0.927,0.927,0.927,0,0
ILSMYR,D,19940128,000000,0.9289,0.9289,0.9289,0.9289,0,0
ILSMYR,D,19940131,000000,0.9335,0.9335,0.9335,0.9335,0,0
ILSMYR,D,19940201,000000,0.936,0.936,0.936,0.936,0,0
ILSMYR,D,19940202,000000,0.9383,0.9383,0.9383,0.9383,0,0
ILSMYR,D,19940203,000000,0.9372,0.9372,0.9372,0.9372,0,0
ILSMYR,D,19940204,000000,0.9373,0.9373,0.9373,0.9373,0,0
ILSMYR,D,19940207,000000,0.9335,0.9335,0.9335,0.9335,0,0
ILSMYR,D,19940208,000000,0.9309,0.9309,0.9309,0.9309,0,0
ILSMYR,D,19940209,000000,0.9304,0.9304,0.9304,0.9304,0,0
ILSMYR,D,19940210,000000,0.9312,0.9312,0.9312,0.9312,0,0
ILSMYR,D,19940211,000000,0.931,0.931,0.931,0.931,0,0
ILSMYR,D,19940214,000000,0.9301,0.9301,0.9301,0.9301,0,0
ILSMYR,D,19940215,000000,0.9436,0.9436,0.9436,0.9436,0,0
ILSMYR,D,19940216,000000,0.9487,0.9487,0.9487,0.9487,0,0
ILSMYR,D,19940217,000000,0.9443,0.9443,0.9443,0.9443,0,0
ILSMYR,D,19940218,000000,0.9462,0.9462,0.9462,0.9462,0,0
ILSMYR,D,19940221,000000,0.9424,0.9424,0.9424,0.9424,0,0
ILSMYR,D,19940222,000000,0.9407,0.9407,0.9407,0.9407,0,0
ILSMYR,D,19940223,000000,0.9281,0.9281,0.9281,0.9281,0,0
ILSMYR,D,19940224,000000,0.9198,0.9198,0.9198,0.9198,0,0
ILSMYR,D,19940225,000000,0.9165,0.9165,0.9165,0.9165,0,0
ILSMYR,D,19940228,000000,0.9225,0.9225,0.9225,0.9225,0,0
ILSMYR,D,19940301,000000,0.9247,0.9247,0.9247,0.9247,0,0
ILSMYR,D,19940302,000000,0.9233,0.9233,0.9233,0.9233,0,0
ILSMYR,D,19940303,000000,0.9253,0.9253,0.9253,0.9253,0,0
ILSMYR,D,19940304,000000,0.9253,0.9253,0.9253,0.9253,0,0
ILSMYR,D,19940307,000000,0.9205,0.9205,0.9205,0.9205,0,0
ILSMYR,D,19940308,000000,0.9184,0.9184,0.9184,0.9184,0,0
ILSMYR,D,19940309,000000,0.9202,0.9202,0.9202,0.9202,0,0
ILSMYR,D,19940310,000000,0.9213,0.9213,0.9213,0.9213,0,0
ILSMYR,D,19940311,000000,0.9217,0.9217,0.9217,0.9217,0,0
