<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THBRUB,D,19951023,000000,0.16106,0.16106,0.16106,0.16106,0,0
THBRUB,D,19951024,000000,0.16113,0.16113,0.16113,0.16113,0,0
THBRUB,D,19951025,000000,0.1609,0.1609,0.1609,0.1609,0,0
THBRUB,D,19951026,000000,0.16081,0.16081,0.16081,0.16081,0,0
THBRUB,D,19951027,000000,0.16086,0.16086,0.16086,0.16086,0,0
THBRUB,D,19951030,000000,0.16053,0.16053,0.16053,0.16053,0,0
THBRUB,D,19951031,000000,0.16055,0.16055,0.16055,0.16055,0,0
THBRUB,D,19951102,000000,0.16055,0.16055,0.16055,0.16055,0,0
THBRUB,D,19951103,000000,0.16057,0.16057,0.16057,0.16057,0,0
THBRUB,D,19951106,000000,0.16086,0.16086,0.16086,0.16086,0,0
THBRUB,D,19951107,000000,0.161,0.161,0.161,0.161,0,0
THBRUB,D,19951108,000000,0.16087,0.16087,0.16087,0.16087,0,0
THBRUB,D,19951109,000000,0.16088,0.16088,0.16088,0.16088,0,0
THBRUB,D,19951110,000000,0.16114,0.16114,0.16114,0.16114,0,0
THBRUB,D,19951113,000000,0.16133,0.16133,0.16133,0.16133,0,0
THBRUB,D,19951114,000000,0.16177,0.16177,0.16177,0.16177,0,0
THBRUB,D,19951115,000000,0.16169,0.16169,0.16169,0.16169,0,0
THBRUB,D,19951116,000000,0.1614,0.1614,0.1614,0.1614,0,0
THBRUB,D,19951117,000000,0.16247,0.16247,0.16247,0.16247,0,0
THBRUB,D,19951120,000000,0.16311,0.16311,0.16311,0.16311,0,0
THBRUB,D,19951121,000000,0.16253,0.16253,0.16253,0.16253,0,0
THBRUB,D,19951122,000000,0.16335,0.16335,0.16335,0.16335,0,0
THBRUB,D,19951123,000000,0.16312,0.16312,0.16312,0.16312,0,0
THBRUB,D,19951124,000000,0.16299,0.16299,0.16299,0.16299,0,0
THBRUB,D,19951127,000000,0.16297,0.16297,0.16297,0.16297,0,0
THBRUB,D,19951128,000000,0.16318,0.16318,0.16318,0.16318,0,0
THBRUB,D,19951129,000000,0.16295,0.16295,0.16295,0.16295,0,0
THBRUB,D,19951130,000000,0.1624,0.1624,0.1624,0.1624,0,0
THBRUB,D,19951201,000000,0.1638,0.1638,0.1638,0.1638,0,0
THBRUB,D,19951204,000000,0.16335,0.16335,0.16335,0.16335,0,0
THBRUB,D,19951205,000000,0.16375,0.16375,0.16375,0.16375,0,0
THBRUB,D,19951206,000000,0.16335,0.16335,0.16335,0.16335,0,0
THBRUB,D,19951207,000000,0.16377,0.16377,0.16377,0.16377,0,0
THBRUB,D,19951208,000000,0.16295,0.16295,0.16295,0.16295,0,0
THBRUB,D,19951213,000000,0.1647,0.1647,0.1647,0.1647,0,0
THBRUB,D,19951214,000000,0.16546,0.16546,0.16546,0.16546,0,0
THBRUB,D,19951215,000000,0.16484,0.16484,0.16484,0.16484,0,0
THBRUB,D,19951218,000000,0.16581,0.16581,0.16581,0.16581,0,0
THBRUB,D,19951219,000000,0.16536,0.16536,0.16536,0.16536,0,0
THBRUB,D,19951220,000000,0.16507,0.16507,0.16507,0.16507,0,0
THBRUB,D,19951221,000000,0.16523,0.16523,0.16523,0.16523,0,0
THBRUB,D,19951222,000000,0.1654,0.1654,0.1654,0.1654,0,0
THBRUB,D,19951227,000000,0.16519,0.16519,0.16519,0.16519,0,0
THBRUB,D,19951228,000000,0.16516,0.16516,0.16516,0.16516,0,0
THBRUB,D,19960109,000000,0.16373,0.16373,0.16373,0.16373,0,0
THBRUB,D,19960110,000000,0.16571,0.16571,0.16571,0.16571,0,0
THBRUB,D,19960111,000000,0.16551,0.16551,0.16551,0.16551,0,0
THBRUB,D,19960112,000000,0.16527,0.16527,0.16527,0.16527,0,0
THBRUB,D,19960115,000000,0.16515,0.16515,0.16515,0.16515,0,0
THBRUB,D,19960116,000000,0.16577,0.16577,0.16577,0.16577,0,0
THBRUB,D,19960117,000000,0.16567,0.16567,0.16567,0.16567,0,0
THBRUB,D,19960118,000000,0.16625,0.16625,0.16625,0.16625,0,0
THBRUB,D,19960119,000000,0.16638,0.16638,0.16638,0.16638,0,0
THBRUB,D,19960122,000000,0.16611,0.16611,0.16611,0.16611,0,0
THBRUB,D,19960123,000000,0.16542,0.16542,0.16542,0.16542,0,0
THBRUB,D,19960124,000000,0.16682,0.16682,0.16682,0.16682,0,0
THBRUB,D,19960125,000000,0.16636,0.16636,0.16636,0.16636,0,0
THBRUB,D,19960126,000000,0.16612,0.16612,0.16612,0.16612,0,0
THBRUB,D,19960129,000000,0.1674,0.1674,0.1674,0.1674,0,0
THBRUB,D,19960130,000000,0.16728,0.16728,0.16728,0.16728,0,0
THBRUB,D,19960131,000000,0.1678,0.1678,0.1678,0.1678,0,0
THBRUB,D,19960201,000000,0.1676,0.1676,0.1676,0.1676,0,0
THBRUB,D,19960202,000000,0.16773,0.16773,0.16773,0.16773,0,0
THBRUB,D,19960205,000000,0.16864,0.16864,0.16864,0.16864,0,0
THBRUB,D,19960206,000000,0.16873,0.16873,0.16873,0.16873,0,0
THBRUB,D,19960207,000000,0.16833,0.16833,0.16833,0.16833,0,0
THBRUB,D,19960208,000000,0.16796,0.16796,0.16796,0.16796,0,0
THBRUB,D,19960209,000000,0.16759,0.16759,0.16759,0.16759,0,0
THBRUB,D,19960212,000000,0.16863,0.16863,0.16863,0.16863,0,0
THBRUB,D,19960213,000000,0.16815,0.16815,0.16815,0.16815,0,0
THBRUB,D,19960214,000000,0.16867,0.16867,0.16867,0.16867,0,0
THBRUB,D,19960215,000000,0.16885,0.16885,0.16885,0.16885,0,0
