<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZARMXN,D,19900108,000000,1.0643,1.0643,1.0643,1.0643,0,0
ZARMXN,D,19900115,000000,1.0676,1.0676,1.0676,1.0676,0,0
ZARMXN,D,19900122,000000,1.0499,1.0499,1.0499,1.0499,0,0
ZARMXN,D,19900129,000000,1.0634,1.0634,1.0634,1.0634,0,0
ZARMXN,D,19900205,000000,1.0713,1.0713,1.0713,1.0713,0,0
ZARMXN,D,19900212,000000,1.0733,1.0733,1.0733,1.0733,0,0
ZARMXN,D,19900219,000000,1.0733,1.0733,1.0733,1.0733,0,0
ZARMXN,D,19900226,000000,1.0748,1.0748,1.0748,1.0748,0,0
ZARMXN,D,19900305,000000,1.0667,1.0667,1.0667,1.0667,0,0
ZARMXN,D,19900312,000000,1.0579,1.0579,1.0579,1.0579,0,0
ZARMXN,D,19900319,000000,1.0624,1.0624,1.0624,1.0624,0,0
ZARMXN,D,19900326,000000,1.0419,1.0419,1.0419,1.0419,0,0
ZARMXN,D,19900402,000000,1.0386,1.0386,1.0386,1.0386,0,0
ZARMXN,D,19900409,000000,1.0525,1.0525,1.0525,1.0525,0,0
ZARMXN,D,19900417,000000,1.0518,1.0518,1.0518,1.0518,0,0
ZARMXN,D,19900423,000000,1.0538,1.0538,1.0538,1.0538,0,0
ZARMXN,D,19900430,000000,1.0553,1.0553,1.0553,1.0553,0,0
ZARMXN,D,19900507,000000,1.0651,1.0651,1.0651,1.0651,0,0
ZARMXN,D,19900514,000000,1.0672,1.0672,1.0672,1.0672,0,0
ZARMXN,D,19900521,000000,1.0665,1.0665,1.0665,1.0665,0,0
ZARMXN,D,19900528,000000,1.0655,1.0655,1.0655,1.0655,0,0
ZARMXN,D,19900604,000000,1.061,1.061,1.061,1.061,0,0
ZARMXN,D,19900611,000000,1.0647,1.0647,1.0647,1.0647,0,0
ZARMXN,D,19900618,000000,1.0836,1.0836,1.0836,1.0836,0,0
ZARMXN,D,19900625,000000,1.0698,1.0698,1.0698,1.0698,0,0
ZARMXN,D,19900702,000000,1.0784,1.0784,1.0784,1.0784,0,0
ZARMXN,D,19900709,000000,1.0853,1.0853,1.0853,1.0853,0,0
ZARMXN,D,19900716,000000,1.0885,1.0885,1.0885,1.0885,0,0
ZARMXN,D,19900723,000000,1.1034,1.1034,1.1034,1.1034,0,0
ZARMXN,D,19900730,000000,1.106,1.106,1.106,1.106,0,0
ZARMXN,D,19900806,000000,1.1125,1.1125,1.1125,1.1125,0,0
ZARMXN,D,19900813,000000,1.1142,1.1142,1.1142,1.1142,0,0
ZARMXN,D,19900820,000000,1.1185,1.1185,1.1185,1.1185,0,0
ZARMXN,D,19900827,000000,1.1249,1.1249,1.1249,1.1249,0,0
ZARMXN,D,19900903,000000,1.1255,1.1255,1.1255,1.1255,0,0
ZARMXN,D,19900910,000000,1.1177,1.1177,1.1177,1.1177,0,0
ZARMXN,D,19900917,000000,1.1266,1.1266,1.1266,1.1266,0,0
ZARMXN,D,19900924,000000,1.127,1.127,1.127,1.127,0,0
ZARMXN,D,19901001,000000,1.1284,1.1284,1.1284,1.1284,0,0
ZARMXN,D,19901008,000000,1.1272,1.1272,1.1272,1.1272,0,0
ZARMXN,D,19901010,000000,1.1386,1.1386,1.1386,1.1386,0,0
ZARMXN,D,19901015,000000,1.147,1.147,1.147,1.147,0,0
ZARMXN,D,19901022,000000,1.1432,1.1432,1.1432,1.1432,0,0
ZARMXN,D,19901029,000000,1.1482,1.1482,1.1482,1.1482,0,0
ZARMXN,D,19901105,000000,1.1568,1.1568,1.1568,1.1568,0,0
ZARMXN,D,19901112,000000,1.1537,1.1537,1.1537,1.1537,0,0
ZARMXN,D,19901119,000000,1.1546,1.1546,1.1546,1.1546,0,0
ZARMXN,D,19901126,000000,1.1645,1.1645,1.1645,1.1645,0,0
ZARMXN,D,19901203,000000,1.1595,1.1595,1.1595,1.1595,0,0
ZARMXN,D,19901210,000000,1.1701,1.1701,1.1701,1.1701,0,0
ZARMXN,D,19901217,000000,1.1645,1.1645,1.1645,1.1645,0,0
ZARMXN,D,19901224,000000,1.1313,1.1313,1.1313,1.1313,0,0
ZARMXN,D,19910102,000000,1.1578,1.1578,1.1578,1.1578,0,0
ZARMXN,D,19910103,000000,1.1599,1.1599,1.1599,1.1599,0,0
ZARMXN,D,19910104,000000,1.1492,1.1492,1.1492,1.1492,0,0
ZARMXN,D,19910107,000000,1.1445,1.1445,1.1445,1.1445,0,0
ZARMXN,D,19910108,000000,1.1461,1.1461,1.1461,1.1461,0,0
ZARMXN,D,19910109,000000,1.1467,1.1467,1.1467,1.1467,0,0
ZARMXN,D,19910110,000000,1.138,1.138,1.138,1.138,0,0
ZARMXN,D,19910111,000000,1.1428,1.1428,1.1428,1.1428,0,0
ZARMXN,D,19910114,000000,1.1366,1.1366,1.1366,1.1366,0,0
ZARMXN,D,19910115,000000,1.1374,1.1374,1.1374,1.1374,0,0
ZARMXN,D,19910116,000000,1.1402,1.1402,1.1402,1.1402,0,0
