<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNYEGP,D,19951116,000000,0.40836,0.40836,0.40836,0.40836,0,0
CNYEGP,D,19951117,000000,0.40814,0.40814,0.40814,0.40814,0,0
CNYEGP,D,19951120,000000,0.40737,0.40737,0.40737,0.40737,0,0
CNYEGP,D,19951121,000000,0.40792,0.40792,0.40792,0.40792,0,0
CNYEGP,D,19951122,000000,0.40868,0.40868,0.40868,0.40868,0,0
CNYEGP,D,19951123,000000,0.40788,0.40788,0.40788,0.40788,0,0
CNYEGP,D,19951124,000000,0.4077,0.4077,0.4077,0.4077,0,0
CNYEGP,D,19951127,000000,0.40723,0.40723,0.40723,0.40723,0,0
CNYEGP,D,19951128,000000,0.40817,0.40817,0.40817,0.40817,0,0
CNYEGP,D,19951129,000000,0.40784,0.40784,0.40784,0.40784,0,0
CNYEGP,D,19951130,000000,0.40653,0.40653,0.40653,0.40653,0,0
CNYEGP,D,19951201,000000,0.40888,0.40888,0.40888,0.40888,0,0
CNYEGP,D,19951204,000000,0.40769,0.40769,0.40769,0.40769,0,0
CNYEGP,D,19951205,000000,0.4081,0.4081,0.4081,0.4081,0,0
CNYEGP,D,19951206,000000,0.40768,0.40768,0.40768,0.40768,0,0
CNYEGP,D,19951207,000000,0.40803,0.40803,0.40803,0.40803,0,0
CNYEGP,D,19951208,000000,0.40661,0.40661,0.40661,0.40661,0,0
CNYEGP,D,19951211,000000,0.40773,0.40773,0.40773,0.40773,0,0
CNYEGP,D,19951212,000000,0.40637,0.40637,0.40637,0.40637,0,0
CNYEGP,D,19951213,000000,0.40675,0.40675,0.40675,0.40675,0,0
CNYEGP,D,19951214,000000,0.40788,0.40788,0.40788,0.40788,0,0
CNYEGP,D,19951215,000000,0.40653,0.40653,0.40653,0.40653,0,0
CNYEGP,D,19951218,000000,0.40803,0.40803,0.40803,0.40803,0,0
CNYEGP,D,19951219,000000,0.40671,0.40671,0.40671,0.40671,0,0
CNYEGP,D,19951220,000000,0.40639,0.40639,0.40639,0.40639,0,0
CNYEGP,D,19951221,000000,0.40666,0.40666,0.40666,0.40666,0,0
CNYEGP,D,19951222,000000,0.40743,0.40743,0.40743,0.40743,0,0
CNYEGP,D,19951227,000000,0.40704,0.40704,0.40704,0.40704,0,0
CNYEGP,D,19951228,000000,0.40691,0.40691,0.40691,0.40691,0,0
CNYEGP,D,19951229,000000,0.40721,0.40721,0.40721,0.40721,0,0
CNYEGP,D,19960102,000000,0.40658,0.40658,0.40658,0.40658,0,0
CNYEGP,D,19960103,000000,0.40647,0.40647,0.40647,0.40647,0,0
CNYEGP,D,19960104,000000,0.40547,0.40547,0.40547,0.40547,0,0
CNYEGP,D,19960105,000000,0.40761,0.40761,0.40761,0.40761,0,0
CNYEGP,D,19960108,000000,0.40647,0.40647,0.40647,0.40647,0,0
CNYEGP,D,19960109,000000,0.40627,0.40627,0.40627,0.40627,0,0
CNYEGP,D,19960110,000000,0.40625,0.40625,0.40625,0.40625,0,0
CNYEGP,D,19960111,000000,0.40589,0.40589,0.40589,0.40589,0,0
CNYEGP,D,19960112,000000,0.40665,0.40665,0.40665,0.40665,0,0
CNYEGP,D,19960115,000000,0.40587,0.40587,0.40587,0.40587,0,0
CNYEGP,D,19960116,000000,0.40632,0.40632,0.40632,0.40632,0,0
CNYEGP,D,19960117,000000,0.40635,0.40635,0.40635,0.40635,0,0
CNYEGP,D,19960118,000000,0.40666,0.40666,0.40666,0.40666,0,0
CNYEGP,D,19960119,000000,0.40663,0.40663,0.40663,0.40663,0,0
CNYEGP,D,19960122,000000,0.40732,0.40732,0.40732,0.40732,0,0
CNYEGP,D,19960123,000000,0.4059,0.4059,0.4059,0.4059,0,0
CNYEGP,D,19960124,000000,0.40676,0.40676,0.40676,0.40676,0,0
CNYEGP,D,19960125,000000,0.40642,0.40642,0.40642,0.40642,0,0
CNYEGP,D,19960126,000000,0.4058,0.4058,0.4058,0.4058,0,0
CNYEGP,D,19960129,000000,0.40757,0.40757,0.40757,0.40757,0,0
CNYEGP,D,19960130,000000,0.40618,0.40618,0.40618,0.40618,0,0
CNYEGP,D,19960131,000000,0.40727,0.40727,0.40727,0.40727,0,0
CNYEGP,D,19960201,000000,0.40694,0.40694,0.40694,0.40694,0,0
CNYEGP,D,19960202,000000,0.40723,0.40723,0.40723,0.40723,0,0
CNYEGP,D,19960205,000000,0.40804,0.40804,0.40804,0.40804,0,0
CNYEGP,D,19960206,000000,0.40863,0.40863,0.40863,0.40863,0,0
CNYEGP,D,19960207,000000,0.40709,0.40709,0.40709,0.40709,0,0
CNYEGP,D,19960208,000000,0.40701,0.40701,0.40701,0.40701,0,0
CNYEGP,D,19960209,000000,0.40678,0.40678,0.40678,0.40678,0,0
CNYEGP,D,19960212,000000,0.40756,0.40756,0.40756,0.40756,0,0
CNYEGP,D,19960213,000000,0.40717,0.40717,0.40717,0.40717,0,0
CNYEGP,D,19960214,000000,0.40712,0.40712,0.40712,0.40712,0,0
CNYEGP,D,19960215,000000,0.40658,0.40658,0.40658,0.40658,0,0
CNYEGP,D,19960216,000000,0.40773,0.40773,0.40773,0.40773,0,0
CNYEGP,D,19960219,000000,0.40677,0.40677,0.40677,0.40677,0,0
CNYEGP,D,19960220,000000,0.40625,0.40625,0.40625,0.40625,0,0
CNYEGP,D,19960221,000000,0.40743,0.40743,0.40743,0.40743,0,0
CNYEGP,D,19960222,000000,0.40697,0.40697,0.40697,0.40697,0,0
CNYEGP,D,19960223,000000,0.40765,0.40765,0.40765,0.40765,0,0
CNYEGP,D,19960226,000000,0.40679,0.40679,0.40679,0.40679,0,0
CNYEGP,D,19960227,000000,0.40685,0.40685,0.40685,0.40685,0,0
CNYEGP,D,19960228,000000,0.40653,0.40653,0.40653,0.40653,0,0
CNYEGP,D,19960229,000000,0.4069,0.4069,0.4069,0.4069,0,0
CNYEGP,D,19960301,000000,0.40692,0.40692,0.40692,0.40692,0,0
