<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DKKTHB,D,19930104,000000,4.5574,4.5574,4.5574,4.5574,0,0
DKKTHB,D,19930105,000000,4.5048,4.5048,4.5048,4.5048,0,0
DKKTHB,D,19930106,000000,4.4902,4.4902,4.4902,4.4902,0,0
DKKTHB,D,19930107,000000,4.5209,4.5209,4.5209,4.5209,0,0
DKKTHB,D,19930108,000000,4.5028,4.5028,4.5028,4.5028,0,0
DKKTHB,D,19930111,000000,4.4668,4.4668,4.4668,4.4668,0,0
DKKTHB,D,19930112,000000,4.4991,4.4991,4.4991,4.4991,0,0
DKKTHB,D,19930113,000000,4.537,4.537,4.537,4.537,0,0
DKKTHB,D,19930114,000000,4.5206,4.5206,4.5206,4.5206,0,0
DKKTHB,D,19930115,000000,4.5332,4.5332,4.5332,4.5332,0,0
DKKTHB,D,19930118,000000,4.5458,4.5458,4.5458,4.5458,0,0
DKKTHB,D,19930119,000000,4.5564,4.5564,4.5564,4.5564,0,0
DKKTHB,D,19930120,000000,4.5707,4.5707,4.5707,4.5707,0,0
DKKTHB,D,19930121,000000,4.6177,4.6177,4.6177,4.6177,0,0
DKKTHB,D,19930122,000000,4.6064,4.6064,4.6064,4.6064,0,0
DKKTHB,D,19930125,000000,4.5952,4.5952,4.5952,4.5952,0,0
DKKTHB,D,19930126,000000,4.6536,4.6536,4.6536,4.6536,0,0
DKKTHB,D,19930127,000000,4.6885,4.6885,4.6885,4.6885,0,0
DKKTHB,D,19930128,000000,4.6734,4.6734,4.6734,4.6734,0,0
DKKTHB,D,19930129,000000,4.6683,4.6683,4.6683,4.6683,0,0
DKKTHB,D,19930201,000000,4.6422,4.6422,4.6422,4.6422,0,0
DKKTHB,D,19930202,000000,4.5461,4.5461,4.5461,4.5461,0,0
DKKTHB,D,19930203,000000,4.5371,4.5371,4.5371,4.5371,0,0
DKKTHB,D,19930204,000000,4.4567,4.4567,4.4567,4.4567,0,0
DKKTHB,D,19930205,000000,4.4654,4.4654,4.4654,4.4654,0,0
DKKTHB,D,19930208,000000,4.5056,4.5056,4.5056,4.5056,0,0
DKKTHB,D,19930209,000000,4.5266,4.5266,4.5266,4.5266,0,0
DKKTHB,D,19930210,000000,4.4931,4.4931,4.4931,4.4931,0,0
DKKTHB,D,19930211,000000,4.5475,4.5475,4.5475,4.5475,0,0
DKKTHB,D,19930212,000000,4.4826,4.4826,4.4826,4.4826,0,0
DKKTHB,D,19930215,000000,4.5052,4.5052,4.5052,4.5052,0,0
DKKTHB,D,19930216,000000,4.4791,4.4791,4.4791,4.4791,0,0
