<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
1YBEY.B,D,20240415,000000,3.59,3.662,3.59,3.662,0,0
1YBEY.B,D,20240416,000000,3.626,3.626,3.626,3.626,0,0
1YBEY.B,D,20240417,000000,3.62,3.635,3.62,3.635,0,0
1YBEY.B,D,20240418,000000,3.645,3.666,3.645,3.666,0,0
1YBEY.B,D,20240419,000000,3.651,3.71,3.651,3.71,0,0
1YBEY.B,D,20240422,000000,3.71,3.71,3.636,3.636,0,0
1YBEY.B,D,20240423,000000,3.664,3.67,3.664,3.67,0,0
1YBEY.B,D,20240424,000000,3.639,3.663,3.639,3.663,0,0
1YBEY.B,D,20240425,000000,3.617,3.704,3.617,3.704,0,0
1YBEY.B,D,20240426,000000,3.645,3.654,3.645,3.654,0,0
1YBEY.B,D,20240429,000000,3.654,3.676,3.575,3.676,0,0
1YBEY.B,D,20240430,000000,3.661,3.661,3.633,3.633,0,0
1YBEY.B,D,20240502,000000,3.632,3.632,3.598,3.63,0,0
1YBEY.B,D,20240503,000000,3.611,3.611,3.604,3.604,0,0
1YBEY.B,D,20240506,000000,3.604,3.62,3.604,3.62,0,0
1YBEY.B,D,20240507,000000,3.608,3.608,3.588,3.588,0,0
1YBEY.B,D,20240508,000000,3.606,3.63,3.606,3.63,0,0
1YBEY.B,D,20240509,000000,3.613,3.613,3.592,3.592,0,0
1YBEY.B,D,20240510,000000,3.591,3.611,3.591,3.611,0,0
1YBEY.B,D,20240513,000000,3.611,3.619,3.588,3.588,0,0
1YBEY.B,D,20240514,000000,3.57,3.608,3.57,3.608,0,0
1YBEY.B,D,20240515,000000,3.381,3.381,3.373,3.373,0,0
1YBEY.B,D,20240516,000000,3.373,3.373,3.342,3.373,0,0
1YBEY.B,D,20240517,000000,3.41,3.426,3.41,3.426,0,0
1YBEY.B,D,20240520,000000,3.426,3.426,3.406,3.417,0,0
1YBEY.B,D,20240521,000000,3.417,3.417,3.394,3.394,0,0
1YBEY.B,D,20240522,000000,3.408,3.411,3.408,3.411,0,0
1YBEY.B,D,20240523,000000,3.461,3.494,3.461,3.494,0,0
1YBEY.B,D,20240524,000000,3.455,3.477,3.455,3.477,0,0
1YBEY.B,D,20240527,000000,3.477,3.477,3.429,3.429,0,0
1YBEY.B,D,20240528,000000,3.419,3.441,3.419,3.441,0,0
1YBEY.B,D,20240529,000000,3.439,3.491,3.439,3.491,0,0
1YBEY.B,D,20240530,000000,3.459,3.477,3.459,3.477,0,0
1YBEY.B,D,20240531,000000,3.484,3.484,3.445,3.445,0,0
1YBEY.B,D,20240603,000000,3.445,3.476,3.423,3.423,0,0
1YBEY.B,D,20240604,000000,3.411,3.424,3.411,3.424,0,0
1YBEY.B,D,20240605,000000,3.427,3.427,3.425,3.425,0,0
1YBEY.B,D,20240606,000000,3.407,3.432,3.407,3.432,0,0
1YBEY.B,D,20240607,000000,3.444,3.492,3.444,3.492,0,0
1YBEY.B,D,20240610,000000,3.492,3.494,3.467,3.494,0,0
1YBEY.B,D,20240611,000000,3.471,3.471,3.431,3.431,0,0
1YBEY.B,D,20240612,000000,3.457,3.457,3.381,3.381,0,0
1YBEY.B,D,20240613,000000,3.439,3.439,3.387,3.387,0,0
1YBEY.B,D,20240614,000000,3.357,3.378,3.357,3.378,0,0
1YBEY.B,D,20240617,000000,3.378,3.386,3.378,3.386,0,0
1YBEY.B,D,20240618,000000,3.415,3.415,3.368,3.368,0,0
1YBEY.B,D,20240619,000000,3.372,3.379,3.372,3.379,0,0
1YBEY.B,D,20240620,000000,3.385,3.386,3.385,3.386,0,0
1YBEY.B,D,20240621,000000,3.329,3.374,3.329,3.374,0,0
1YBEY.B,D,20240624,000000,3.374,3.374,3.328,3.328,0,0
1YBEY.B,D,20240625,000000,3.348,3.36,3.348,3.36,0,0
1YBEY.B,D,20240626,000000,3.351,3.351,3.351,3.351,0,0
1YBEY.B,D,20240627,000000,3.34,3.34,3.307,3.307,0,0
1YBEY.B,D,20240628,000000,3.364,3.43,3.364,3.43,0,0
1YBEY.B,D,20240701,000000,3.43,3.443,3.43,3.434,0,0
1YBEY.B,D,20240702,000000,3.409,3.409,3.394,3.394,0,0
1YBEY.B,D,20240703,000000,3.416,3.416,3.382,3.382,0,0
1YBEY.B,D,20240704,000000,3.4,3.417,3.4,3.417,0,0
1YBEY.B,D,20240705,000000,3.419,3.419,3.388,3.388,0,0
1YBEY.B,D,20240708,000000,3.388,3.388,3.357,3.367,0,0
1YBEY.B,D,20240709,000000,3.367,3.39,3.367,3.39,0,0
1YBEY.B,D,20240710,000000,3.371,3.377,3.371,3.377,0,0
1YBEY.B,D,20240711,000000,3.371,3.371,3.282,3.282,0,0
1YBEY.B,D,20240712,000000,3.33,3.33,3.311,3.311,0,0
1YBEY.B,D,20240715,000000,3.311,3.316,3.309,3.316,0,0
1YBEY.B,D,20240716,000000,3.293,3.293,3.291,3.291,0,0
1YBEY.B,D,20240717,000000,3.27,3.279,3.27,3.279,0,0
1YBEY.B,D,20240718,000000,3.293,3.293,3.293,3.293,0,0
1YBEY.B,D,20240719,000000,3.257,3.307,3.257,3.307,0,0
1YBEY.B,D,20240722,000000,3.307,3.325,3.307,3.325,0,0
