<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
1YNLY.B,D,20240412,000000,3.162,3.162,3.162,3.162,0,0
1YNLY.B,D,20240415,000000,3.162,3.202,3.162,3.202,0,0
1YNLY.B,D,20240416,000000,3.202,3.257,3.202,3.257,0,0
1YNLY.B,D,20240417,000000,3.235,3.235,3.235,3.235,0,0
1YNLY.B,D,20240418,000000,3.231,3.246,3.231,3.246,0,0
1YNLY.B,D,20240419,000000,3.263,3.303,3.263,3.303,0,0
1YNLY.B,D,20240422,000000,3.303,3.303,3.237,3.237,0,0
1YNLY.B,D,20240423,000000,3.227,3.243,3.227,3.243,0,0
1YNLY.B,D,20240424,000000,3.253,3.3,3.253,3.3,0,0
1YNLY.B,D,20240425,000000,3.274,3.349,3.274,3.349,0,0
1YNLY.B,D,20240426,000000,3.307,3.307,3.297,3.297,0,0
1YNLY.B,D,20240429,000000,3.297,3.297,3.289,3.289,0,0
1YNLY.B,D,20240430,000000,3.299,3.339,3.299,3.339,0,0
1YNLY.B,D,20240502,000000,3.336,3.336,3.318,3.318,0,0
1YNLY.B,D,20240503,000000,3.302,3.302,3.261,3.261,0,0
1YNLY.B,D,20240506,000000,3.261,3.261,3.26,3.26,0,0
1YNLY.B,D,20240507,000000,3.251,3.251,3.24,3.24,0,0
1YNLY.B,D,20240508,000000,3.239,3.263,3.239,3.263,0,0
1YNLY.B,D,20240509,000000,3.265,3.267,3.265,3.267,0,0
1YNLY.B,D,20240510,000000,3.264,3.29,3.264,3.29,0,0
1YNLY.B,D,20240513,000000,3.29,3.29,3.268,3.268,0,0
1YNLY.B,D,20240514,000000,3.247,3.276,3.247,3.276,0,0
1YNLY.B,D,20240515,000000,3.253,3.253,3.233,3.233,0,0
1YNLY.B,D,20240516,000000,3.233,3.251,3.211,3.251,0,0
1YNLY.B,D,20240517,000000,3.268,3.293,3.268,3.293,0,0
1YNLY.B,D,20240520,000000,3.293,3.293,3.281,3.292,0,0
1YNLY.B,D,20240521,000000,3.292,3.292,3.259,3.259,0,0
1YNLY.B,D,20240522,000000,3.274,3.286,3.274,3.286,0,0
1YNLY.B,D,20240523,000000,3.313,3.376,3.313,3.376,0,0
1YNLY.B,D,20240524,000000,3.333,3.345,3.333,3.345,0,0
1YNLY.B,D,20240527,000000,3.345,3.349,3.322,3.322,0,0
1YNLY.B,D,20240528,000000,3.323,3.326,3.323,3.326,0,0
1YNLY.B,D,20240529,000000,3.326,3.378,3.326,3.378,0,0
1YNLY.B,D,20240530,000000,3.316,3.324,3.316,3.324,0,0
1YNLY.B,D,20240531,000000,3.322,3.322,3.293,3.293,0,0
1YNLY.B,D,20240603,000000,3.293,3.334,3.281,3.281,0,0
1YNLY.B,D,20240604,000000,3.278,3.29,3.278,3.29,0,0
1YNLY.B,D,20240605,000000,3.287,3.304,3.287,3.304,0,0
1YNLY.B,D,20240606,000000,3.279,3.314,3.279,3.314,0,0
1YNLY.B,D,20240607,000000,3.306,3.346,3.306,3.346,0,0
1YNLY.B,D,20240610,000000,3.346,3.376,3.346,3.376,0,0
1YNLY.B,D,20240611,000000,3.346,3.346,3.304,3.304,0,0
1YNLY.B,D,20240612,000000,3.306,3.306,3.279,3.279,0,0
1YNLY.B,D,20240613,000000,3.316,3.316,3.265,3.265,0,0
1YNLY.B,D,20240614,000000,3.219,3.219,3.145,3.145,0,0
1YNLY.B,D,20240617,000000,3.145,3.186,3.145,3.157,0,0
1YNLY.B,D,20240618,000000,3.183,3.183,3.138,3.138,0,0
1YNLY.B,D,20240619,000000,3.169,3.169,3.128,3.128,0,0
1YNLY.B,D,20240620,000000,3.173,3.173,3.151,3.151,0,0
1YNLY.B,D,20240621,000000,3.116,3.161,3.116,3.161,0,0
1YNLY.B,D,20240624,000000,3.161,3.161,3.145,3.145,0,0
1YNLY.B,D,20240625,000000,3.155,3.167,3.155,3.167,0,0
1YNLY.B,D,20240626,000000,3.167,3.167,3.167,3.167,0,0
1YNLY.B,D,20240627,000000,3.166,3.166,3.133,3.133,0,0
1YNLY.B,D,20240628,000000,3.136,3.2,3.136,3.2,0,0
1YNLY.B,D,20240701,000000,3.2,3.219,3.2,3.219,0,0
