<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
20YIDY.B,D,20240416,000000,6.91,7.105,6.91,7.103,0,0
20YIDY.B,D,20240417,000000,7.103,7.176,7.1,7.169,0,0
20YIDY.B,D,20240418,000000,7.169,7.175,7.141,7.142,0,0
20YIDY.B,D,20240419,000000,7.145,7.187,7.145,7.163,0,0
20YIDY.B,D,20240422,000000,7.172,7.172,7.164,7.164,0,0
20YIDY.B,D,20240423,000000,7.162,7.163,7.125,7.127,0,0
20YIDY.B,D,20240424,000000,7.127,7.129,7.05,7.054,0,0
20YIDY.B,D,20240425,000000,7.056,7.105,7.051,7.1,0,0
20YIDY.B,D,20240426,000000,7.099,7.136,7.099,7.115,0,0
20YIDY.B,D,20240429,000000,7.124,7.124,7.115,7.115,0,0
20YIDY.B,D,20240430,000000,7.114,7.161,7.113,7.115,0,0
20YIDY.B,D,20240502,000000,7.124,7.124,7.071,7.071,0,0
20YIDY.B,D,20240503,000000,7.038,7.071,6.937,6.938,0,0
20YIDY.B,D,20240506,000000,6.934,6.936,6.849,6.894,0,0
20YIDY.B,D,20240507,000000,7.056,7.056,6.991,7.02,0,0
20YIDY.B,D,20240508,000000,6.919,6.95,6.919,6.95,0,0
20YIDY.B,D,20240513,000000,6.915,7.046,6.915,7.046,0,0
20YIDY.B,D,20240514,000000,7.05,7.084,7.043,7.049,0,0
20YIDY.B,D,20240515,000000,7.049,7.061,7.024,7.043,0,0
20YIDY.B,D,20240516,000000,7.043,7.043,6.973,6.973,0,0
20YIDY.B,D,20240517,000000,6.973,6.973,6.931,6.946,0,0
20YIDY.B,D,20240520,000000,6.943,6.971,6.942,6.971,0,0
20YIDY.B,D,20240521,000000,6.97,6.983,6.97,6.976,0,0
20YIDY.B,D,20240522,000000,6.976,6.976,6.96,6.971,0,0
20YIDY.B,D,20240527,000000,6.981,6.992,6.981,6.992,0,0
20YIDY.B,D,20240528,000000,6.992,6.995,6.989,6.989,0,0
20YIDY.B,D,20240529,000000,6.989,7.019,6.989,7.013,0,0
20YIDY.B,D,20240530,000000,7.013,7.015,7.008,7.009,0,0
20YIDY.B,D,20240531,000000,7.009,7.009,7.005,7.005,0,0
20YIDY.B,D,20240603,000000,7.01,7.01,6.98,6.982,0,0
20YIDY.B,D,20240604,000000,6.983,6.983,6.95,6.95,0,0
20YIDY.B,D,20240605,000000,6.95,6.979,6.95,6.979,0,0
20YIDY.B,D,20240606,000000,7.084,7.084,7.07,7.075,0,0
20YIDY.B,D,20240607,000000,7.068,7.079,7.066,7.074,0,0
20YIDY.B,D,20240610,000000,7.072,7.126,7.072,7.126,0,0
20YIDY.B,D,20240611,000000,7.167,7.195,7.167,7.195,0,0
20YIDY.B,D,20240612,000000,7.181,7.188,7.178,7.182,0,0
20YIDY.B,D,20240613,000000,7.18,7.18,7.174,7.177,0,0
20YIDY.B,D,20240614,000000,7.199,7.235,7.199,7.235,0,0
20YIDY.B,D,20240619,000000,7.232,7.257,7.232,7.254,0,0
20YIDY.B,D,20240620,000000,7.247,7.262,7.247,7.262,0,0
20YIDY.B,D,20240621,000000,7.277,7.277,7.269,7.271,0,0
20YIDY.B,D,20240624,000000,7.271,7.271,7.256,7.26,0,0
20YIDY.B,D,20240625,000000,7.259,7.265,7.259,7.261,0,0
20YIDY.B,D,20240626,000000,7.266,7.272,7.26,7.264,0,0
20YIDY.B,D,20240627,000000,7.255,7.259,7.255,7.259,0,0
20YIDY.B,D,20240628,000000,7.251,7.251,7.226,7.226,0,0
