<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
2YNOY.B,D,20240410,000000,4.334,4.346,4.334,4.346,0,0
2YNOY.B,D,20240411,000000,4.381,4.381,4.381,4.381,0,0
2YNOY.B,D,20240412,000000,4.389,4.389,4.389,4.389,0,0
2YNOY.B,D,20240415,000000,4.389,4.397,4.385,4.397,0,0
2YNOY.B,D,20240416,000000,4.393,4.428,4.393,4.428,0,0
2YNOY.B,D,20240417,000000,4.424,4.424,4.424,4.424,0,0
2YNOY.B,D,20240418,000000,4.401,4.401,4.401,4.401,0,0
2YNOY.B,D,20240419,000000,4.397,4.409,4.397,4.409,0,0
2YNOY.B,D,20240422,000000,4.409,4.417,4.409,4.417,0,0
2YNOY.B,D,20240423,000000,4.401,4.414,4.401,4.414,0,0
2YNOY.B,D,20240424,000000,4.422,4.422,4.41,4.41,0,0
2YNOY.B,D,20240425,000000,4.398,4.41,4.398,4.41,0,0
2YNOY.B,D,20240426,000000,4.394,4.394,4.394,4.394,0,0
2YNOY.B,D,20240429,000000,4.394,4.398,4.386,4.386,0,0
2YNOY.B,D,20240430,000000,4.407,4.407,4.407,4.407,0,0
2YNOY.B,D,20240502,000000,4.419,4.419,4.407,4.407,0,0
2YNOY.B,D,20240503,000000,4.403,4.403,4.403,4.403,0,0
2YNOY.B,D,20240506,000000,4.403,4.403,4.399,4.399,0,0
2YNOY.B,D,20240507,000000,4.345,4.37,4.345,4.37,0,0
2YNOY.B,D,20240508,000000,4.378,4.378,4.378,4.378,0,0
2YNOY.B,D,20240510,000000,4.413,4.413,4.413,4.413,0,0
2YNOY.B,D,20240513,000000,4.413,4.421,4.413,4.421,0,0
2YNOY.B,D,20240514,000000,4.404,4.417,4.404,4.417,0,0
2YNOY.B,D,20240515,000000,4.387,4.387,4.387,4.387,0,0
2YNOY.B,D,20240516,000000,4.387,4.401,4.387,4.388,0,0
2YNOY.B,D,20240521,000000,4.388,4.415,4.388,4.415,0,0
2YNOY.B,D,20240522,000000,3.907,3.907,3.889,3.889,0,0
2YNOY.B,D,20240523,000000,3.9,3.919,3.9,3.919,0,0
2YNOY.B,D,20240524,000000,3.916,3.935,3.916,3.935,0,0
2YNOY.B,D,20240527,000000,3.935,3.939,3.933,3.939,0,0
2YNOY.B,D,20240528,000000,3.911,3.911,3.905,3.905,0,0
2YNOY.B,D,20240529,000000,3.915,3.934,3.915,3.934,0,0
2YNOY.B,D,20240530,000000,3.933,3.939,3.933,3.939,0,0
2YNOY.B,D,20240531,000000,3.93,3.93,3.899,3.899,0,0
2YNOY.B,D,20240603,000000,3.899,3.902,3.883,3.883,0,0
2YNOY.B,D,20240604,000000,3.868,3.868,3.849,3.849,0,0
2YNOY.B,D,20240605,000000,3.878,3.878,3.84,3.84,0,0
2YNOY.B,D,20240606,000000,3.838,3.845,3.838,3.845,0,0
2YNOY.B,D,20240607,000000,3.855,3.919,3.855,3.919,0,0
2YNOY.B,D,20240610,000000,3.919,3.987,3.919,3.987,0,0
2YNOY.B,D,20240611,000000,3.991,3.991,3.953,3.953,0,0
2YNOY.B,D,20240612,000000,3.937,3.937,3.847,3.847,0,0
2YNOY.B,D,20240613,000000,3.884,3.891,3.884,3.891,0,0
2YNOY.B,D,20240614,000000,3.875,3.875,3.856,3.856,0,0
2YNOY.B,D,20240617,000000,3.856,3.873,3.856,3.873,0,0
2YNOY.B,D,20240618,000000,3.89,3.916,3.89,3.916,0,0
2YNOY.B,D,20240619,000000,3.952,3.952,3.939,3.939,0,0
2YNOY.B,D,20240620,000000,3.958,4.049,3.958,4.049,0,0
2YNOY.B,D,20240621,000000,3.995,3.995,3.975,3.975,0,0
2YNOY.B,D,20240624,000000,3.975,3.986,3.975,3.986,0,0
2YNOY.B,D,20240625,000000,4.003,4.003,3.983,3.983,0,0
2YNOY.B,D,20240626,000000,4.007,4.007,4.007,4.007,0,0
2YNOY.B,D,20240627,000000,4.006,4.006,4.006,4.006,0,0
2YNOY.B,D,20240628,000000,3.997,3.997,3.997,3.997,0,0
2YNOY.B,D,20240701,000000,3.997,4.054,3.997,4.054,0,0
2YNOY.B,D,20240702,000000,4.072,4.072,4.065,4.065,0,0
2YNOY.B,D,20240703,000000,4.083,4.083,4.063,4.063,0,0
2YNOY.B,D,20240704,000000,4.069,4.076,4.069,4.076,0,0
2YNOY.B,D,20240705,000000,4.074,4.074,4.074,4.074,0,0
2YNOY.B,D,20240708,000000,4.074,4.085,4.074,4.085,0,0
2YNOY.B,D,20240709,000000,4.085,4.13,4.085,4.13,0,0
2YNOY.B,D,20240710,000000,4.033,4.033,3.999,3.999,0,0
2YNOY.B,D,20240711,000000,4.005,4.005,3.903,3.903,0,0
2YNOY.B,D,20240712,000000,3.901,3.901,3.874,3.874,0,0
2YNOY.B,D,20240715,000000,3.874,3.874,3.864,3.864,0,0
2YNOY.B,D,20240716,000000,3.848,3.848,3.827,3.827,0,0
2YNOY.B,D,20240717,000000,3.825,3.859,3.825,3.859,0,0
2YNOY.B,D,20240718,000000,3.857,3.857,3.857,3.857,0,0
2YNOY.B,D,20240719,000000,3.85,3.861,3.85,3.861,0,0
2YNOY.B,D,20240722,000000,3.861,3.872,3.861,3.865,0,0
2YNOY.B,D,20240723,000000,3.863,3.863,3.849,3.849,0,0
2YNOY.B,D,20240724,000000,3.839,3.839,3.839,3.839,0,0
2YNOY.B,D,20240725,000000,3.838,3.838,3.838,3.838,0,0
2YNOY.B,D,20240726,000000,3.835,3.835,3.828,3.828,0,0
2YNOY.B,D,20240729,000000,3.828,3.828,3.804,3.804,0,0
2YNOY.B,D,20240730,000000,3.815,3.815,3.815,3.815,0,0
2YNOY.B,D,20240731,000000,3.798,3.798,3.792,3.792,0,0
2YNOY.B,D,20240801,000000,3.762,3.762,3.762,3.762,0,0
2YNOY.B,D,20240802,000000,3.668,3.668,3.598,3.598,0,0
2YNOY.B,D,20240805,000000,3.598,3.598,3.518,3.518,0,0
2YNOY.B,D,20240806,000000,3.564,3.564,3.515,3.515,0,0
2YNOY.B,D,20240807,000000,3.54,3.596,3.54,3.596,0,0
2YNOY.B,D,20240808,000000,3.586,3.635,3.586,3.635,0,0
2YNOY.B,D,20240809,000000,3.597,3.597,3.597,3.597,0,0
2YNOY.B,D,20240812,000000,3.597,3.629,3.597,3.629,0,0
2YNOY.B,D,20240813,000000,3.632,3.632,3.611,3.611,0,0
2YNOY.B,D,20240814,000000,3.601,3.622,3.601,3.622,0,0
2YNOY.B,D,20240815,000000,3.612,3.698,3.612,3.698,0,0
2YNOY.B,D,20240816,000000,3.695,3.695,3.695,3.695,0,0
2YNOY.B,D,20240819,000000,3.695,3.695,3.677,3.677,0,0
2YNOY.B,D,20240820,000000,3.681,3.681,3.638,3.638,0,0
2YNOY.B,D,20240821,000000,3.606,3.606,3.599,3.599,0,0
2YNOY.B,D,20240822,000000,3.56,3.575,3.56,3.575,0,0
2YNOY.B,D,20240823,000000,3.557,3.557,3.557,3.557,0,0
2YNOY.B,D,20240826,000000,3.557,3.557,3.517,3.539,0,0
2YNOY.B,D,20240827,000000,3.564,3.601,3.564,3.601,0,0
2YNOY.B,D,20240828,000000,3.568,3.568,3.568,3.568,0,0
2YNOY.B,D,20240829,000000,3.551,3.551,3.536,3.536,0,0
2YNOY.B,D,20240830,000000,3.496,3.518,3.496,3.518,0,0
2YNOY.B,D,20240902,000000,3.518,3.536,3.518,3.536,0,0
2YNOY.B,D,20240903,000000,3.526,3.526,3.526,3.526,0,0
2YNOY.B,D,20240904,000000,3.507,3.515,3.507,3.515,0,0
2YNOY.B,D,20240905,000000,3.489,3.489,3.475,3.475,0,0
2YNOY.B,D,20240906,000000,3.456,3.463,3.456,3.463,0,0
2YNOY.B,D,20240909,000000,3.463,3.467,3.423,3.423,0,0
2YNOY.B,D,20240910,000000,3.434,3.434,3.434,3.434,0,0
2YNOY.B,D,20240911,000000,3.43,3.43,3.415,3.415,0,0
2YNOY.B,D,20240912,000000,3.404,3.404,3.404,3.404,0,0
2YNOY.B,D,20240913,000000,3.408,3.438,3.408,3.438,0,0
2YNOY.B,D,20240916,000000,3.438,3.449,3.434,3.449,0,0
2YNOY.B,D,20240917,000000,3.408,3.468,3.408,3.468,0,0
2YNOY.B,D,20240918,000000,3.468,3.524,3.468,3.524,0,0
2YNOY.B,D,20240919,000000,3.536,3.634,3.536,3.634,0,0
2YNOY.B,D,20240920,000000,3.654,3.684,3.654,3.684,0,0
2YNOY.B,D,20240923,000000,3.684,3.684,3.666,3.666,0,0
2YNOY.B,D,20240924,000000,3.662,3.662,3.662,3.662,0,0
2YNOY.B,D,20240925,000000,3.636,3.636,3.613,3.613,0,0
2YNOY.B,D,20240926,000000,3.587,3.587,3.587,3.587,0,0
2YNOY.B,D,20240927,000000,3.553,3.591,3.553,3.591,0,0
2YNOY.B,D,20240930,000000,3.591,3.634,3.591,3.634,0,0
2YNOY.B,D,20241001,000000,3.646,3.646,3.63,3.63,0,0
2YNOY.B,D,20241002,000000,3.658,3.72,3.658,3.72,0,0
2YNOY.B,D,20241003,000000,3.741,3.741,3.741,3.741,0,0
2YNOY.B,D,20241004,000000,3.722,3.722,3.722,3.722,0,0
2YNOY.B,D,20241007,000000,3.722,3.915,3.722,3.915,0,0
2YNOY.B,D,20241008,000000,3.928,3.928,3.928,3.928,0,0
2YNOY.B,D,20241009,000000,3.878,3.878,3.878,3.878,0,0
2YNOY.B,D,20241010,000000,3.844,3.844,3.837,3.837,0,0
2YNOY.B,D,20241011,000000,3.865,3.865,3.865,3.865,0,0
2YNOY.B,D,20241014,000000,3.865,3.878,3.865,3.878,0,0
2YNOY.B,D,20241015,000000,3.843,3.843,3.843,3.843,0,0
2YNOY.B,D,20241016,000000,3.816,3.824,3.816,3.824,0,0
2YNOY.B,D,20241017,000000,3.83,3.83,3.83,3.83,0,0
2YNOY.B,D,20241018,000000,3.835,3.835,3.835,3.835,0,0
2YNOY.B,D,20241021,000000,3.835,3.835,3.816,3.816,0,0
2YNOY.B,D,20241022,000000,3.845,3.845,3.845,3.845,0,0
2YNOY.B,D,20241023,000000,3.817,3.817,3.817,3.817,0,0
2YNOY.B,D,20241024,000000,3.815,3.832,3.815,3.832,0,0
2YNOY.B,D,20241025,000000,3.828,3.828,3.828,3.828,0,0
2YNOY.B,D,20241028,000000,3.828,3.899,3.828,3.899,0,0
2YNOY.B,D,20241029,000000,3.937,3.937,3.937,3.937,0,0
2YNOY.B,D,20241030,000000,4.008,4.016,4.008,4.016,0,0
2YNOY.B,D,20241031,000000,4.016,4.049,4.016,4.049,0,0
2YNOY.B,D,20241101,000000,4.104,4.104,4.063,4.063,0,0
2YNOY.B,D,20241104,000000,4.063,4.077,4.063,4.077,0,0
2YNOY.B,D,20241105,000000,4.166,4.166,4.166,4.166,0,0
