<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
1MIDY.B,D,20240416,000000,5.946,5.946,5.881,5.881,0,0
1MIDY.B,D,20240417,000000,5.853,5.853,5.853,5.853,0,0
1MIDY.B,D,20240418,000000,5.824,5.824,5.824,5.824,0,0
1MIDY.B,D,20240419,000000,5.803,5.803,5.732,5.732,0,0
1MIDY.B,D,20240422,000000,5.699,5.699,5.699,5.699,0,0
1MIDY.B,D,20240423,000000,5.665,5.665,5.665,5.665,0,0
1MIDY.B,D,20240424,000000,5.705,5.705,5.705,5.705,0,0
1MIDY.B,D,20240425,000000,5.728,5.728,5.669,5.669,0,0
1MIDY.B,D,20240426,000000,5.636,5.636,5.636,5.636,0,0
1MIDY.B,D,20240429,000000,5.68,5.68,5.68,5.68,0,0
1MIDY.B,D,20240430,000000,5.686,5.686,5.686,5.686,0,0
1MIDY.B,D,20240502,000000,5.644,5.644,5.644,5.644,0,0
1MIDY.B,D,20240503,000000,5.701,5.701,5.701,5.701,0,0
1MIDY.B,D,20240506,000000,5.655,5.655,5.655,5.655,0,0
1MIDY.B,D,20240507,000000,5.607,5.697,5.607,5.697,0,0
1MIDY.B,D,20240508,000000,5.612,5.699,5.612,5.699,0,0
1MIDY.B,D,20240513,000000,5.623,5.623,5.623,5.623,0,0
1MIDY.B,D,20240514,000000,5.562,5.64,5.562,5.64,0,0
1MIDY.B,D,20240515,000000,5.498,5.571,5.498,5.571,0,0
1MIDY.B,D,20240516,000000,5.598,5.598,5.598,5.598,0,0
1MIDY.B,D,20240517,000000,5.649,5.649,5.555,5.555,0,0
1MIDY.B,D,20240520,000000,5.604,5.604,5.604,5.604,0,0
1MIDY.B,D,20240521,000000,5.655,5.655,5.655,5.655,0,0
1MIDY.B,D,20240522,000000,5.607,5.607,5.607,5.607,0,0
1MIDY.B,D,20240527,000000,5.56,5.56,5.56,5.56,0,0
1MIDY.B,D,20240528,000000,5.623,5.623,5.623,5.623,0,0
1MIDY.B,D,20240529,000000,5.689,5.689,5.562,5.562,0,0
1MIDY.B,D,20240531,000000,5.716,5.716,5.569,5.569,0,0
1MIDY.B,D,20240603,000000,5.648,5.648,5.648,5.648,0,0
1MIDY.B,D,20240604,000000,5.734,5.734,5.734,5.734,0,0
1MIDY.B,D,20240605,000000,5.66,5.66,5.66,5.66,0,0
1MIDY.B,D,20240606,000000,5.58,5.637,5.58,5.637,0,0
1MIDY.B,D,20240607,000000,5.637,5.637,5.637,5.637,0,0
1MIDY.B,D,20240610,000000,5.749,5.749,5.749,5.749,0,0
1MIDY.B,D,20240611,000000,5.749,5.749,5.635,5.635,0,0
1MIDY.B,D,20240612,000000,5.635,5.763,5.635,5.763,0,0
1MIDY.B,D,20240613,000000,5.763,5.763,5.634,5.634,0,0
1MIDY.B,D,20240614,000000,5.634,5.808,5.634,5.808,0,0
1MIDY.B,D,20240619,000000,5.785,5.785,5.785,5.785,0,0
1MIDY.B,D,20240620,000000,5.785,5.785,5.741,5.741,0,0
1MIDY.B,D,20240621,000000,5.741,5.741,5.695,5.695,0,0
1MIDY.B,D,20240624,000000,5.695,5.695,5.643,5.643,0,0
1MIDY.B,D,20240625,000000,5.643,5.697,5.643,5.697,0,0
1MIDY.B,D,20240626,000000,5.697,5.697,5.643,5.643,0,0
1MIDY.B,D,20240627,000000,5.643,5.699,5.643,5.699,0,0
1MIDY.B,D,20240628,000000,5.699,5.699,5.642,5.642,0,0
1MIDY.B,D,20240701,000000,5.642,5.642,5.576,5.576,0,0
1MIDY.B,D,20240702,000000,5.576,5.64,5.576,5.64,0,0
1MIDY.B,D,20240703,000000,5.64,5.64,5.571,5.571,0,0
1MIDY.B,D,20240704,000000,5.571,5.571,5.496,5.496,0,0
1MIDY.B,D,20240705,000000,5.496,5.558,5.496,5.558,0,0
1MIDY.B,D,20240708,000000,5.558,5.558,5.47,5.47,0,0
1MIDY.B,D,20240709,000000,5.47,5.47,5.374,5.374,0,0
1MIDY.B,D,20240710,000000,5.374,5.453,5.374,5.453,0,0
1MIDY.B,D,20240711,000000,5.453,5.453,5.347,5.347,0,0
1MIDY.B,D,20240712,000000,5.347,5.521,5.347,5.521,0,0
1MIDY.B,D,20240715,000000,5.521,5.737,5.521,5.635,0,0
1MIDY.B,D,20240716,000000,5.635,5.692,5.635,5.692,0,0
1MIDY.B,D,20240717,000000,5.692,5.741,5.692,5.741,0,0
1MIDY.B,D,20240718,000000,5.741,5.791,5.741,5.791,0,0
1MIDY.B,D,20240719,000000,5.791,5.791,5.791,5.791,0,0
1MIDY.B,D,20240722,000000,5.805,5.805,5.805,5.805,0,0
1MIDY.B,D,20240723,000000,5.805,5.865,5.805,5.865,0,0
1MIDY.B,D,20240724,000000,5.865,5.865,5.814,5.814,0,0
1MIDY.B,D,20240725,000000,5.814,5.814,5.814,5.814,0,0
