<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
9YDEP.B,D,20240321,000000,99.647,99.647,99.408,99.408,0,0
9YDEP.B,D,20240322,000000,99.783,100.093,99.783,100.093,0,0
9YDEP.B,D,20240325,000000,100.093,100.093,99.755,99.755,0,0
9YDEP.B,D,20240326,000000,99.822,99.843,99.822,99.843,0,0
9YDEP.B,D,20240327,000000,100.042,100.346,100.042,100.346,0,0
9YDEP.B,D,20240328,000000,100.185,100.185,100.185,100.185,0,0
9YDEP.B,D,20240402,000000,99.79,99.79,99.433,99.433,0,0
9YDEP.B,D,20240403,000000,99.514,99.585,99.514,99.585,0,0
9YDEP.B,D,20240404,000000,99.655,99.949,99.655,99.949,0,0
9YDEP.B,D,20240405,000000,99.987,99.987,99.662,99.662,0,0
9YDEP.B,D,20240408,000000,99.662,99.662,99.273,99.273,0,0
9YDEP.B,D,20240409,000000,99.524,99.793,99.524,99.793,0,0
9YDEP.B,D,20240410,000000,99.83,99.83,99.284,99.284,0,0
9YDEP.B,D,20240411,000000,98.97,98.97,98.939,98.939,0,0
9YDEP.B,D,20240412,000000,99.676,99.676,99.676,99.676,0,0
9YDEP.B,D,20240415,000000,99.676,99.676,99.253,99.253,0,0
9YDEP.B,D,20240416,000000,99.219,99.219,98.773,98.773,0,0
9YDEP.B,D,20240417,000000,98.871,98.962,98.871,98.962,0,0
9YDEP.B,D,20240418,000000,99.172,99.172,98.877,98.877,0,0
9YDEP.B,D,20240419,000000,98.943,98.943,98.611,98.611,0,0
9YDEP.B,D,20240422,000000,98.611,98.714,98.61,98.714,0,0
9YDEP.B,D,20240423,000000,98.859,98.859,98.799,98.799,0,0
9YDEP.B,D,20240424,000000,98.535,98.535,98.062,98.062,0,0
9YDEP.B,D,20240425,000000,98.206,98.206,97.68,97.68,0,0
9YDEP.B,D,20240426,000000,97.976,98.265,97.976,98.265,0,0
9YDEP.B,D,20240429,000000,98.265,98.492,98.265,98.492,0,0
9YDEP.B,D,20240430,000000,98.371,98.371,98.079,98.079,0,0
9YDEP.B,D,20240502,000000,98.094,98.416,98.094,98.406,0,0
9YDEP.B,D,20240503,000000,98.442,98.724,98.442,98.724,0,0
9YDEP.B,D,20240506,000000,98.724,99.066,98.724,99.066,0,0
9YDEP.B,D,20240507,000000,99.205,99.356,99.205,99.356,0,0
9YDEP.B,D,20240508,000000,99.205,99.205,99.022,99.022,0,0
9YDEP.B,D,20240509,000000,98.78,98.78,98.765,98.765,0,0
9YDEP.B,D,20240510,000000,98.998,98.998,98.666,98.666,0,0
9YDEP.B,D,20240513,000000,98.666,98.738,98.665,98.738,0,0
9YDEP.B,D,20240514,000000,98.826,98.826,98.484,98.484,0,0
9YDEP.B,D,20240515,000000,98.706,99.154,98.706,99.154,0,0
9YDEP.B,D,20240516,000000,99.154,99.442,99.154,99.208,0,0
9YDEP.B,D,20240517,000000,98.855,98.855,98.668,98.668,0,0
9YDEP.B,D,20240520,000000,98.668,98.668,98.511,98.513,0,0
9YDEP.B,D,20240521,000000,98.513,98.741,98.513,98.741,0,0
9YDEP.B,D,20240522,000000,98.458,98.528,98.458,98.528,0,0
