<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
2YUKP.B,D,20240321,000000,92.864,92.869,92.864,92.869,0,0
2YUKP.B,D,20240322,000000,92.948,92.948,92.935,92.935,0,0
2YUKP.B,D,20240325,000000,92.935,92.99,92.843,92.843,0,0
2YUKP.B,D,20240326,000000,92.924,92.924,92.899,92.899,0,0
2YUKP.B,D,20240327,000000,92.895,92.932,92.895,92.932,0,0
2YUKP.B,D,20240328,000000,92.922,92.922,92.922,92.922,0,0
2YUKP.B,D,20240402,000000,92.958,92.958,92.827,92.827,0,0
2YUKP.B,D,20240403,000000,92.854,92.892,92.854,92.892,0,0
2YUKP.B,D,20240404,000000,92.935,93.022,92.935,93.022,0,0
2YUKP.B,D,20240405,000000,93.02,93.02,92.959,92.959,0,0
2YUKP.B,D,20240408,000000,92.959,92.959,92.899,92.933,0,0
2YUKP.B,D,20240409,000000,93.008,93.014,93.008,93.014,0,0
2YUKP.B,D,20240410,000000,92.992,92.992,92.778,92.778,0,0
2YUKP.B,D,20240411,000000,92.643,92.674,92.643,92.674,0,0
2YUKP.B,D,20240412,000000,92.823,92.823,92.823,92.823,0,0
2YUKP.B,D,20240415,000000,92.823,92.823,92.742,92.742,0,0
2YUKP.B,D,20240416,000000,92.705,92.705,92.601,92.601,0,0
2YUKP.B,D,20240417,000000,92.599,92.648,92.599,92.648,0,0
2YUKP.B,D,20240418,000000,92.717,92.717,92.667,92.667,0,0
2YUKP.B,D,20240419,000000,92.704,92.704,92.648,92.648,0,0
2YUKP.B,D,20240422,000000,92.648,92.892,92.648,92.892,0,0
2YUKP.B,D,20240423,000000,92.945,92.945,92.872,92.872,0,0
2YUKP.B,D,20240424,000000,92.87,92.87,92.723,92.723,0,0
2YUKP.B,D,20240425,000000,92.816,92.816,92.687,92.687,0,0
2YUKP.B,D,20240426,000000,92.781,92.793,92.781,92.793,0,0
2YUKP.B,D,20240429,000000,92.793,92.815,92.769,92.815,0,0
2YUKP.B,D,20240430,000000,92.808,92.808,92.751,92.751,0,0
2YUKP.B,D,20240501,000000,92.723,92.723,92.723,92.723,0,0
2YUKP.B,D,20240502,000000,92.723,92.876,92.723,92.876,0,0
2YUKP.B,D,20240503,000000,92.928,93.016,92.928,93.016,0,0
2YUKP.B,D,20240507,000000,93.124,93.124,93.109,93.109,0,0
2YUKP.B,D,20240508,000000,93.122,93.134,93.122,93.134,0,0
2YUKP.B,D,20240509,000000,93.097,93.18,93.097,93.18,0,0
2YUKP.B,D,20240510,000000,93.268,93.268,93.21,93.21,0,0
2YUKP.B,D,20240513,000000,93.21,93.21,93.184,93.184,0,0
2YUKP.B,D,20240514,000000,93.178,93.202,93.178,93.202,0,0
2YUKP.B,D,20240515,000000,93.266,93.268,93.266,93.268,0,0
2YUKP.B,D,20240516,000000,93.268,93.346,93.268,93.304,0,0
2YUKP.B,D,20240517,000000,93.266,93.266,93.253,93.253,0,0
2YUKP.B,D,20240520,000000,93.253,93.253,93.198,93.198,0,0
2YUKP.B,D,20240521,000000,93.198,93.256,93.198,93.256,0,0
2YUKP.B,D,20240522,000000,93.082,93.108,93.082,93.108,0,0
2YUKP.B,D,20240523,000000,93.018,93.018,92.99,92.99,0,0
2YUKP.B,D,20240524,000000,93.056,93.056,93.044,93.044,0,0
2YUKP.B,D,20240528,000000,93.13,93.13,93.037,93.037,0,0
2YUKP.B,D,20240529,000000,93.008,93.008,92.976,92.976,0,0
2YUKP.B,D,20240530,000000,93.028,93.072,93.028,93.072,0,0
2YUKP.B,D,20240531,000000,93.116,93.254,93.116,93.254,0,0
2YUKP.B,D,20240603,000000,93.254,93.353,93.254,93.353,0,0
2YUKP.B,D,20240604,000000,93.381,93.381,93.337,93.337,0,0
2YUKP.B,D,20240605,000000,93.322,93.322,93.28,93.28,0,0
2YUKP.B,D,20240606,000000,93.33,93.426,93.33,93.426,0,0
2YUKP.B,D,20240607,000000,93.442,93.442,93.373,93.373,0,0
2YUKP.B,D,20240610,000000,93.373,93.373,93.289,93.289,0,0
2YUKP.B,D,20240611,000000,93.412,93.449,93.412,93.449,0,0
2YUKP.B,D,20240612,000000,93.492,93.612,93.492,93.612,0,0
2YUKP.B,D,20240613,000000,93.597,93.634,93.597,93.634,0,0
2YUKP.B,D,20240614,000000,93.768,93.793,93.768,93.793,0,0
2YUKP.B,D,20240617,000000,93.793,93.793,93.7,93.7,0,0
2YUKP.B,D,20240618,000000,93.734,93.83,93.734,93.83,0,0
2YUKP.B,D,20240619,000000,93.739,93.753,93.739,93.753,0,0
2YUKP.B,D,20240620,000000,93.738,93.817,93.738,93.817,0,0
2YUKP.B,D,20240621,000000,93.93,93.93,93.812,93.812,0,0
2YUKP.B,D,20240624,000000,93.812,93.873,93.812,93.873,0,0
2YUKP.B,D,20240625,000000,93.841,93.841,93.772,93.772,0,0
2YUKP.B,D,20240626,000000,93.777,93.777,93.777,93.777,0,0
2YUKP.B,D,20240627,000000,93.715,93.776,93.715,93.776,0,0
2YUKP.B,D,20240628,000000,93.785,93.785,93.753,93.753,0,0
2YUKP.B,D,20240701,000000,93.753,93.866,93.753,93.866,0,0
2YUKP.B,D,20240702,000000,93.887,93.925,93.887,93.925,0,0
2YUKP.B,D,20240703,000000,93.898,93.963,93.898,93.963,0,0
2YUKP.B,D,20240704,000000,93.939,93.939,93.913,93.913,0,0
2YUKP.B,D,20240705,000000,93.976,94.006,93.976,94.006,0,0
2YUKP.B,D,20240708,000000,94.006,94.075,94.006,94.033,0,0
2YUKP.B,D,20240709,000000,94.033,94.05,94.033,94.05,0,0
2YUKP.B,D,20240710,000000,94.094,94.094,94.064,94.064,0,0
2YUKP.B,D,20240711,000000,94.043,94.162,94.043,94.162,0,0
2YUKP.B,D,20240712,000000,94.136,94.16,94.136,94.16,0,0
2YUKP.B,D,20240715,000000,94.16,94.206,94.16,94.197,0,0
2YUKP.B,D,20240716,000000,94.256,94.302,94.256,94.302,0,0
2YUKP.B,D,20240717,000000,94.296,94.302,94.296,94.302,0,0
2YUKP.B,D,20240718,000000,94.307,94.307,94.307,94.307,0,0
2YUKP.B,D,20240719,000000,94.343,94.349,94.343,94.349,0,0
2YUKP.B,D,20240722,000000,94.349,94.349,94.305,94.305,0,0
2YUKP.B,D,20240723,000000,94.32,94.32,94.3,94.3,0,0
2YUKP.B,D,20240724,000000,94.351,94.379,94.351,94.379,0,0
2YUKP.B,D,20240725,000000,94.492,94.492,94.479,94.479,0,0
