<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WRX.V,D,20220514,000000,0.267544,0.270512,0.222554,0.248627,1569720.6216585,0
WRX.V,D,20220515,000000,0.248651,0.272591,0.245631,0.266653,792515.04327104,0
WRX.V,D,20220516,000000,0.269676,0.285685,0.251622,0.258663,1080716.4244689,0
WRX.V,D,20220517,000000,0.259662,0.276695,0.257639,0.271674,891774.76891766,0
WRX.V,D,20220518,000000,0.272672,0.275641,0.236716,0.24266,485715.7950021,0
WRX.V,D,20220519,000000,0.243658,0.258767,0.2307,0.25577,525929.41576398,0
WRX.V,D,20220520,000000,0.25577,0.266706,0.242684,0.247702,494803.52323126,0
WRX.V,D,20220521,000000,0.248701,0.263657,0.245705,0.259662,355593.68159819,0
WRX.V,D,20220522,000000,0.257639,0.270621,0.255667,0.262658,496773.05026319,0
WRX.V,D,20220523,000000,0.262658,0.274725,0.258689,0.261686,759363.01449415,0
WRX.V,D,20220524,000000,0.261686,0.262684,0.251698,0.258663,435622.19217586,0
WRX.V,D,20220525,000000,0.258663,0.265707,0.255718,0.261712,664587.86505307,0
WRX.V,D,20220526,000000,0.260687,0.26371,0.230723,0.241758,745882.82918435,0
WRX.V,D,20220527,000000,0.240759,0.247752,0.224775,0.22977,689249.72525069,0
WRX.V,D,20220528,000000,0.226741,0.231766,0.22376,0.229733,449485.61133775,0
WRX.V,D,20220529,000000,0.228727,0.242747,0.225758,0.240745,350239.99918974,0
WRX.V,D,20220530,000000,0.240732,0.267729,0.239753,0.26179,1165964.5456246,0
WRX.V,D,20220531,000000,0.261817,0.269784,0.25682,0.26279,465390.46126969,0
WRX.V,D,20220601,000000,0.263789,0.318745,0.254719,0.25577,3482930.9110188,0
WRX.V,D,20220602,000000,0.256743,0.259766,0.252772,0.258767,588030.12870345,0
WRX.V,D,20220603,000000,0.258767,0.263762,0.248746,0.255777,456652.40327154,0
WRX.V,D,20220604,000000,0.255777,0.258798,0.248739,0.257804,3629550.226763,0
WRX.V,D,20220605,000000,0.258808,0.259792,0.248786,0.25476,3757825.1332563,0
WRX.V,D,20220606,000000,0.254763,0.266773,0.251763,0.256782,14580309.89862,0
WRX.V,D,20220607,000000,0.256784,0.257794,0.242793,0.244797,10409829.755294,0
WRX.V,D,20220608,000000,0.247809,0.254821,0.240819,0.24584,8184195.3112173,0
WRX.V,D,20220609,000000,0.244841,0.25281,0.237812,0.244794,6459680.8466226,0
WRX.V,D,20220610,000000,0.244792,0.254806,0.229763,0.237698,11352530.232827,0
WRX.V,D,20220611,000000,0.236699,0.23775,0.212749,0.214755,2340898.0345439,0
WRX.V,D,20220612,000000,0.215752,0.219679,0.199718,0.21074,1860553.2177955,0
WRX.V,D,20220613,000000,0.209742,0.209742,0.171481,0.18075,18163176.017306,0
WRX.V,D,20220614,000000,0.179748,0.193754,0.16675,0.183779,85725871.057102,0
WRX.V,D,20220615,000000,0.184776,0.197782,0.167667,0.197703,33350540.92552,0
