<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAVE.V,D,20201010,000000,51.08,51.08,51.08,51.08,0,0
AAVE.V,D,20201011,000000,51.08,51.08,51.08,51.08,0,0
AAVE.V,D,20201012,000000,51.08,52.4,48.34,51.42,0,0
AAVE.V,D,20201013,000000,51.42,53.04,49.76,51.6,0,0
AAVE.V,D,20201014,000000,51.6,57.02,51.6,52.59,0,0
AAVE.V,D,20201015,000000,52.88,53.09,42.82,42.98,0,0
AAVE.V,D,20201016,000000,42.98,43.84,39.14,39.31,0,0
AAVE.V,D,20201017,000000,39.31,43.27,38.25,41.41,0,0
AAVE.V,D,20201018,000000,41.41,41.47,39.47,40.8,0,0
AAVE.V,D,20201019,000000,40.8,41.04,35.95,36.02,0,0
AAVE.V,D,20201020,000000,36.02,36.44,32.03,32.21,0,0
AAVE.V,D,20201021,000000,32.21,37.21,32.06,35.15,0,0
AAVE.V,D,20201022,000000,35.15,40.4,33.3,37.77,0,0
AAVE.V,D,20201023,000000,37.77,42.69,37.05,41.6,0,0
AAVE.V,D,20201024,000000,41.6,42.67,38.55,39.47,0,0
AAVE.V,D,20201025,000000,39.47,41.04,37.25,37.94,0,0
AAVE.V,D,20201026,000000,37.94,39.23,34.89,35.97,0,0
AAVE.V,D,20201027,000000,35.97,39,34.37,35.03,0,0
AAVE.V,D,20201028,000000,35.03,35.67,32,32.42,0,0
AAVE.V,D,20201029,000000,32.42,33.21,28.13,29.24,0,0
AAVE.V,D,20201030,000000,29.24,32.03,27.76,31.12,0,0
AAVE.V,D,20201031,000000,31.12,32.93,29.52,29.7,0,0
AAVE.V,D,20201101,000000,29.7,31.12,28.21,30.76,0,0
AAVE.V,D,20201102,000000,30.76,34.5,29.2,29.69,0,0
AAVE.V,D,20201103,000000,29.69,30.1,27.49,28.15,0,0
AAVE.V,D,20201104,000000,28.15,28.47,26.1,27.72,0,0
AAVE.V,D,20201105,000000,27.72,32.99,25.94,30.98,0,0
AAVE.V,D,20201106,000000,30.98,41,30.84,38.55,0,0
AAVE.V,D,20201107,000000,38.55,51.87,38.55,44.62,0,0
AAVE.V,D,20201108,000000,44.62,54.87,42.68,53.98,0,0
AAVE.V,D,20201109,000000,53.98,59,49.46,54.9,0,0
AAVE.V,D,20201110,000000,54.9,70.89,52.9,67.06,0,0
AAVE.V,D,20201111,000000,67.06,69.33,53.35,54.49,0,0
AAVE.V,D,20201112,000000,54.49,60,50.4,51.79,0,0
AAVE.V,D,20201113,000000,51.79,66.88,51.05,63.46,0,0
AAVE.V,D,20201114,000000,63.46,68.87,57.79,66.79,0,0
AAVE.V,D,20201115,000000,66.79,71.48,58.84,64.32,0,0
AAVE.V,D,20201116,000000,64.32,74.5,60.9,72.97,0,0
AAVE.V,D,20201117,000000,72.97,80.08,68.59,79.28,0,0
AAVE.V,D,20201118,000000,79.28,80,67.03,75.16,0,0
AAVE.V,D,20201119,000000,75.16,81.52,70.34,76.37,0,0
AAVE.V,D,20201120,000000,76.37,82.43,74.4,74.95,0,0
AAVE.V,D,20201121,000000,74.95,77.01,67.66,70.37,0,0
AAVE.V,D,20201122,000000,70.37,74.7,62.97,68.72,0,0
AAVE.V,D,20201123,000000,68.72,73.94,65.6,72.29,0,0
AAVE.V,D,20201124,000000,72.29,75.34,66.05,66.87,0,0
AAVE.V,D,20201125,000000,66.87,67.52,59.18,61.69,0,0
AAVE.V,D,20201126,000000,61.69,65.31,50.19,64.42,0,0
AAVE.V,D,20201127,000000,64.42,69.11,56.33,60.87,0,0
AAVE.V,D,20201128,000000,60.87,66.45,58.87,64.01,0,0
AAVE.V,D,20201129,000000,64.01,69.83,61.88,68.89,0,0
AAVE.V,D,20201130,000000,68.89,79.88,68.82,76.03,0,0
AAVE.V,D,20201201,000000,76.03,79.06,69.59,74.4,0,0
AAVE.V,D,20201202,000000,74.4,90.78,71.74,86.87,0,0
AAVE.V,D,20201203,000000,86.87,94.81,83.09,91.65,0,0
AAVE.V,D,20201204,000000,91.7,91.7,79.29,81.04,0,0
AAVE.V,D,20201205,000000,81.04,92.93,81.04,92.8,0,0
AAVE.V,D,20201206,000000,92.73,93.01,84.74,87.94,0,0
AAVE.V,D,20201207,000000,87.94,95,86.77,90.79,0,0
AAVE.V,D,20201208,000000,90.79,91.17,77.89,80.15,0,0
AAVE.V,D,20201209,000000,80.15,86.13,74.79,82.77,0,0
AAVE.V,D,20201210,000000,82.77,83.07,75.77,76.43,0,0
AAVE.V,D,20201211,000000,76.43,79.61,70.65,74.66,0,0
AAVE.V,D,20201212,000000,74.66,80.34,74.66,77.9,0,0
AAVE.V,D,20201213,000000,77.9,84.94,76.65,83.9,0,0
AAVE.V,D,20201214,000000,83.9,91.56,79.64,86.29,0,0
AAVE.V,D,20201215,000000,86.29,88.98,84.42,87.19,0,0
AAVE.V,D,20201216,000000,87.19,89.74,80.36,87.51,0,0
AAVE.V,D,20201217,000000,87.51,89.87,82.94,85.01,0,0
AAVE.V,D,20201218,000000,85.01,90.51,81.97,90.38,0,0
AAVE.V,D,20201219,000000,90.38,96.27,88.12,88.95,0,0
AAVE.V,D,20201220,000000,88.95,89.86,83.87,85.6,0,0
AAVE.V,D,20201221,000000,85.6,87.72,77.59,80.88,0,0
AAVE.V,D,20201222,000000,80.88,86.54,75.7,84.31,0,0
AAVE.V,D,20201223,000000,84.31,84.42,63.5,75.73,0,0
