<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CELR.V,D,20220514,000000,0.0174902,0.01764,0.0150384,0.017274,143555817.17866,0
CELR.V,D,20220515,000000,0.0173357,0.0186538,0.0167016,0.0180365,136663637.90362,0
CELR.V,D,20220516,000000,0.0180483,0.0186376,0.016159,0.0170578,114107880.1409,0
CELR.V,D,20220517,000000,0.0172176,0.0186139,0.0165851,0.018406,105455060.27077,0
CELR.V,D,20220518,000000,0.018406,0.0192449,0.016119,0.0163987,127468576.98337,0
CELR.V,D,20220519,000000,0.016387,0.017814,0.0154099,0.0174226,129489526.21316,0
CELR.V,D,20220520,000000,0.0174643,0.0189791,0.0167998,0.0172276,159968913.97357,0
CELR.V,D,20220521,000000,0.0172493,0.0190733,0.0171094,0.0178967,195916182.74692,0
CELR.V,D,20220522,000000,0.017855,0.020835,0.0177951,0.019956,251522739.67453,0
CELR.V,D,20220523,000000,0.020006,0.0206094,0.0188074,0.0190371,179479780.71201,0
CELR.V,D,20220524,000000,0.0189872,0.0190091,0.0172593,0.0183661,195209081.28552,0
CELR.V,D,20220525,000000,0.0184342,0.0188474,0.0177005,0.0183698,149353559.56761,0
CELR.V,D,20220526,000000,0.0183498,0.0184497,0.0156228,0.0172627,175504219.39757,0
CELR.V,D,20220527,000000,0.017211,0.0173426,0.0157542,0.0161422,168085213.0189,0
CELR.V,D,20220528,000000,0.0161714,0.0170018,0.0157704,0.0166904,115965157.79997,0
CELR.V,D,20220529,000000,0.0166502,0.0169324,0.0157144,0.0168018,121395137.33364,0
CELR.V,D,20220530,000000,0.0168215,0.0195163,0.0167018,0.0192246,182077298.35038,0
CELR.V,D,20220531,000000,0.0192846,0.0197042,0.0181155,0.0190048,155148797.53676,0
CELR.V,D,20220601,000000,0.0191053,0.0213829,0.0173244,0.0173244,284045499.15747,0
CELR.V,D,20220602,000000,0.0173242,0.0184734,0.0169947,0.0182635,243279989.30628,0
CELR.V,D,20220603,000000,0.0182436,0.018974,0.0172062,0.0178445,152599806.56903,0
CELR.V,D,20220604,000000,0.0178245,0.0179958,0.0170522,0.0179064,263717951.44586,0
CELR.V,D,20220605,000000,0.0179164,0.0184452,0.0176557,0.0181631,272963615.1709,0
CELR.V,D,20220606,000000,0.0181629,0.0201932,0.0178234,0.0192738,632737865.24105,0
CELR.V,D,20220607,000000,0.0192636,0.0193239,0.0176252,0.0189546,631183428.08989,0
CELR.V,D,20220608,000000,0.0189548,0.0192653,0.0176471,0.0180583,332598402.32009,0
CELR.V,D,20220609,000000,0.0180682,0.0185043,0.0172364,0.0179949,312442573.17319,0
CELR.V,D,20220610,000000,0.0179747,0.0180641,0.0160323,0.0166387,476637134.93282,0
