<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NEO.V,D,20170805,000000,10.5,15.8,10.21,14.12,0,0
NEO.V,D,20170806,000000,14.12,17.25,13.3,15.97,0,0
NEO.V,D,20170807,000000,18.2,19.93,17.41,19.49,0,0
NEO.V,D,20170808,000000,19.49,20.29,15.68,18.25,0,0
NEO.V,D,20170809,000000,18.25,23,17.26,22.6,0,0
NEO.V,D,20170810,000000,22.6,41.72,21.51,37.6,0,0
NEO.V,D,20170811,000000,37.6,40.99,27.75,34.1,0,0
NEO.V,D,20170812,000000,34.1,38.56,30.7,37.72,0,0
NEO.V,D,20170813,000000,37.72,56.69,35.31,48.5,0,0
NEO.V,D,20170814,000000,48.5,54.8,45.4,48.32,0,0
NEO.V,D,20170815,000000,48.32,49.5,36.54,47.5,0,0
NEO.V,D,20170816,000000,47.5,52.3,44.62,45.99,0,0
NEO.V,D,20170817,000000,45.99,46.73,38.63,40.39,0,0
NEO.V,D,20170818,000000,40.39,41.76,30.54,38.88,0,0
NEO.V,D,20170819,000000,38.88,42,34.07,39.82,0,0
NEO.V,D,20170820,000000,39.82,41.2,37.99,38.5,0,0
NEO.V,D,20170821,000000,38.5,38.69,34,35.46,0,0
NEO.V,D,20170822,000000,35.46,36.36,31.5,35.6,0,0
NEO.V,D,20170823,000000,35.6,44.39,35.11,39.88,0,0
NEO.V,D,20170824,000000,39.88,42.28,39.36,41.9,0,0
NEO.V,D,20170825,000000,41.9,42.6,39.29,40.31,0,0
NEO.V,D,20170826,000000,40.31,40.87,37,38.82,0,0
NEO.V,D,20170827,000000,38.82,41.13,37,40,0,0
NEO.V,D,20170828,000000,40,40.35,37,38.5,0,0
NEO.V,D,20170829,000000,38.5,38.71,28.1,33.3,0,0
NEO.V,D,20170830,000000,33.3,36.02,30,33.33,0,0
NEO.V,D,20170831,000000,33.33,35.3,32.7,33.06,0,0
NEO.V,D,20170901,000000,33.06,33.85,28.7,31.8,0,0
NEO.V,D,20170902,000000,31.8,34.09,27.29,31.35,0,0
NEO.V,D,20170903,000000,31.35,32.88,28.45,30.81,0,0
NEO.V,D,20170904,000000,30.81,30.81,16.5,21.81,0,0
NEO.V,D,20170905,000000,21.81,24.5,18.5,23.4,0,0
NEO.V,D,20170906,000000,23.4,24.67,20.1,21.3,0,0
NEO.V,D,20170907,000000,21.3,34,20.21,30.98,0,0
NEO.V,D,20170908,000000,30.98,31.3,22.43,25.81,0,0
NEO.V,D,20170909,000000,25.81,25.96,22.27,22.6,0,0
NEO.V,D,20170910,000000,22.6,24.92,19.63,23.68,0,0
NEO.V,D,20170911,000000,23.68,24.54,21.52,21.96,0,0
NEO.V,D,20170912,000000,21.96,23.84,19.56,20.87,0,0
