<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MINA.V,D,20210930,000000,4.005,4.138,3.981,4.067,0,0
MINA.V,D,20211001,000000,4.067,4.649,4.014,4.538,0,0
MINA.V,D,20211002,000000,4.538,4.671,4.419,4.46,0,0
MINA.V,D,20211003,000000,4.46,4.651,4.343,4.507,0,0
MINA.V,D,20211004,000000,4.507,4.508,4.219,4.291,0,0
MINA.V,D,20211005,000000,4.291,4.944,4.276,4.695,0,0
MINA.V,D,20211006,000000,4.695,4.881,4.316,4.573,0,0
MINA.V,D,20211007,000000,4.573,4.81,4.49,4.589,0,0
MINA.V,D,20211008,000000,4.589,4.732,4.459,4.505,0,0
MINA.V,D,20211009,000000,4.505,4.652,4.366,4.452,0,0
MINA.V,D,20211010,000000,4.452,4.486,4.132,4.157,0,0
MINA.V,D,20211011,000000,4.157,4.575,4.066,4.204,0,0
MINA.V,D,20211012,000000,4.204,4.318,3.952,4.179,0,0
MINA.V,D,20211013,000000,4.179,4.267,4.035,4.18,0,0
MINA.V,D,20211014,000000,4.18,4.519,4.132,4.35,0,0
MINA.V,D,20211015,000000,4.35,4.383,4.157,4.21,0,0
MINA.V,D,20211016,000000,4.21,4.299,4.092,4.181,0,0
MINA.V,D,20211017,000000,4.181,4.251,4.014,4.099,0,0
MINA.V,D,20211018,000000,4.099,4.176,3.982,4.082,0,0
MINA.V,D,20211019,000000,4.082,4.137,3.981,4.019,0,0
MINA.V,D,20211020,000000,4.019,4.39,4,4.295,0,0
MINA.V,D,20211021,000000,4.295,4.455,4.165,4.194,0,0
MINA.V,D,20211022,000000,4.194,4.398,4.13,4.204,0,0
MINA.V,D,20211023,000000,4.204,4.296,4.167,4.202,0,0
MINA.V,D,20211024,000000,4.202,4.771,4.157,4.596,0,0
MINA.V,D,20211025,000000,4.596,4.898,4.509,4.842,0,0
MINA.V,D,20211026,000000,4.842,5.329,4.803,4.938,0,0
MINA.V,D,20211027,000000,4.938,4.958,4.305,4.403,0,0
MINA.V,D,20211028,000000,4.403,4.98,4.318,4.662,0,0
MINA.V,D,20211029,000000,4.662,4.861,4.527,4.64,0,0
MINA.V,D,20211030,000000,4.64,4.816,4.33,4.48,0,0
MINA.V,D,20211031,000000,4.48,4.494,4.301,4.464,0,0
MINA.V,D,20211101,000000,4.464,4.696,4.343,4.44,0,0
MINA.V,D,20211102,000000,4.44,4.553,4.377,4.53,0,0
MINA.V,D,20211103,000000,4.53,4.652,4.348,4.448,0,0
MINA.V,D,20211104,000000,4.448,4.535,4.235,4.281,0,0
MINA.V,D,20211105,000000,4.281,4.352,4.233,4.31,0,0
MINA.V,D,20211106,000000,4.31,4.413,4.087,4.246,0,0
MINA.V,D,20211107,000000,4.246,4.541,4.153,4.401,0,0
MINA.V,D,20211108,000000,4.401,4.483,4.255,4.369,0,0
MINA.V,D,20211109,000000,4.369,4.536,4.244,4.266,0,0
MINA.V,D,20211110,000000,4.266,5.938,4.172,5.136,0,0
MINA.V,D,20211111,000000,5.136,6.67,4.917,5.894,0,0
MINA.V,D,20211112,000000,5.894,6.33,5.304,5.634,0,0
MINA.V,D,20211113,000000,5.634,6.04,5.352,5.474,0,0
MINA.V,D,20211114,000000,5.474,5.555,5.063,5.34,0,0
MINA.V,D,20211115,000000,5.34,5.647,5.051,5.077,0,0
MINA.V,D,20211116,000000,5.077,5.08,4.414,4.476,0,0
MINA.V,D,20211117,000000,4.476,4.83,4.269,4.647,0,0
MINA.V,D,20211118,000000,4.647,4.846,4.102,4.203,0,0
MINA.V,D,20211119,000000,4.203,4.899,4.159,4.719,0,0
MINA.V,D,20211120,000000,4.719,4.898,4.393,4.624,0,0
