<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OXT.V,D,20220516,000000,0.125337,0.17932,0.115961,0.154898,67669516.62769988,0
OXT.V,D,20220517,000000,0.154199,0.157595,0.136808,0.143613,32057030.884729277,0
OXT.V,D,20220518,000000,0.143913,0.152217,0.129831,0.132727,9160850.914722517,0
OXT.V,D,20220519,000000,0.132215,0.136377,0.124138,0.13298,4074519.8858705503,0
OXT.V,D,20220520,000000,0.132481,0.13585,0.121542,0.129844,5782512.26195662,0
OXT.V,D,20220521,000000,0.129944,0.13093,0.123639,0.127334,6618263.005733257,0
OXT.V,D,20220522,000000,0.127135,0.139319,0.126223,0.133939,7497337.333391194,0
OXT.V,D,20220523,000000,0.133826,0.140659,0.130244,0.13344,6278262.42251724,0
OXT.V,D,20220524,000000,0.13344,0.135451,0.12465,0.13083,5300776.164036677,0
OXT.V,D,20220525,000000,0.130717,0.134039,0.123951,0.128246,6767660.064409006,0
OXT.V,D,20220526,000000,0.128845,0.178603,0.121167,0.139361,102194607.35851872,0
OXT.V,D,20220527,000000,0.139646,0.143157,0.120667,0.122977,17439147.918676503,0
OXT.V,D,20220528,000000,0.122161,0.125166,0.12055,0.122857,3201296.372305167,0
OXT.V,D,20220529,000000,0.122954,0.136255,0.122852,0.127967,16596194.087594088,0
OXT.V,D,20220530,000000,0.128355,0.141587,0.127568,0.138989,13593074.849325497,0
OXT.V,D,20220531,000000,0.139288,0.147297,0.131308,0.13769,8980920.634544265,0
OXT.V,D,20220601,000000,0.138389,0.141888,0.125674,0.127785,5607385.223378672,0
OXT.V,D,20220602,000000,0.12739,0.13358,0.125987,0.13318,1910126.3966296888,0
OXT.V,D,20220603,000000,0.13298,0.134392,0.12618,0.128288,1487395.3336379023,0
OXT.V,D,20220604,000000,0.128488,0.131791,0.127168,0.1313,11632830.416531114,0
OXT.V,D,20220605,000000,0.131601,0.134379,0.127785,0.129678,11439415.16629058,0
OXT.V,D,20220606,000000,0.129678,0.150972,0.129277,0.134187,46755099.96762006,0
OXT.V,D,20220607,000000,0.133788,0.134288,0.125096,0.133289,34677172.16889806,0
OXT.V,D,20220608,000000,0.133297,0.133297,0.127404,0.128317,33702251.880648546,0
OXT.V,D,20220609,000000,0.128217,0.131397,0.1269,0.128292,18535896.343377262,0
OXT.V,D,20220610,000000,0.128091,0.146468,0.120178,0.122145,59655980.30719928,0
OXT.V,D,20220611,000000,0.122443,0.122968,0.108964,0.112573,16775917.413118206,0
OXT.V,D,20220612,000000,0.112473,0.113071,0.100957,0.103872,5319440.297286587,0
OXT.V,D,20220613,000000,0.103571,0.103571,0.085771,0.091772,188216922.00463486,0
OXT.V,D,20220614,000000,0.091772,0.122253,0.085173,0.121654,276230365.842599,0
OXT.V,D,20220615,000000,0.122553,0.128645,0.089248,0.103145,226538169.78000465,0
OXT.V,D,20220616,000000,0.103045,0.103844,0.090991,0.093978,64604539.769895546,0
OXT.V,D,20220617,000000,0.09347,0.0959,0.092271,0.0934877,153523529.41277167,0
OXT.V,D,20220618,000000,0.0931,0.0937,0.0807867,0.0852617,140777942.12506333,0
OXT.V,D,20220619,000000,0.0853615,0.0955852,0.0823779,0.0921892,24998924.647327945,0
OXT.V,D,20220620,000000,0.0925888,0.096294,0.0895834,0.0932879,13261517.946688337,0
OXT.V,D,20220621,000000,0.0933878,0.1026178,0.0921892,0.0978922,15585149.152197512,0
OXT.V,D,20220622,000000,0.0975024,0.097902,0.0920079,0.0926073,21790395.733781565,0
OXT.V,D,20220623,000000,0.0926073,0.1197801,0.0921078,0.0987012,46711538.32585939,0
OXT.V,D,20220624,000000,0.0988011,0.1054061,0.0988011,0.1026199,89489510.07170193,0
OXT.V,D,20220625,000000,0.1025973,0.1061299,0.1014188,0.1046267,61680402.381449446,0
OXT.V,D,20220626,000000,0.1046267,0.1174177,0.1035596,0.1050359,41023197.79396902,0
OXT.V,D,20220627,000000,0.1046403,0.1171262,0.1012362,0.1054072,13998626.828819029,0
OXT.V,D,20220628,000000,0.1056974,0.1107991,0.1026725,0.1041707,10659696.768155161,0
OXT.V,D,20220629,000000,0.1039709,0.1142513,0.1013731,0.106572,21174634.898584038,0
OXT.V,D,20220630,000000,0.1065709,0.1072539,0.0972685,0.100679,37045103.43803908,0
OXT.V,D,20220701,000000,0.100679,0.106283,0.09968,0.102887,22957944.667452395,0
OXT.V,D,20220702,000000,0.103286,0.104585,0.09998,0.102876,25595936.5891582,0
OXT.V,D,20220703,000000,0.102766,0.104364,0.101168,0.103166,18956194.86208951,0
OXT.V,D,20220704,000000,0.102766,0.106872,0.102467,0.104774,4700170.992235824,0
OXT.V,D,20220705,000000,0.105873,0.107071,0.102687,0.104585,4525730.13730786,0
OXT.V,D,20220706,000000,0.104585,0.105784,0.101478,0.104585,3609896.533740485,0
OXT.V,D,20220707,000000,0.103886,0.111333,0.103886,0.107835,9257587.004435288,0
OXT.V,D,20220708,000000,0.108035,0.110623,0.104637,0.108635,7325735.775007844,0
OXT.V,D,20220709,000000,0.108735,0.118529,0.106936,0.114231,18419943.34364739,0
OXT.V,D,20220710,000000,0.114331,0.123926,0.107025,0.109634,22754561.45210438,0
OXT.V,D,20220711,000000,0.109934,0.109934,0.101808,0.102408,6989568.063105374,0
OXT.V,D,20220712,000000,0.101798,0.107403,0.098002,0.1001,10102980.089035608,0
OXT.V,D,20220713,000000,0.099904,0.111189,0.096394,0.101009,53431434.3993835,0
OXT.V,D,20220714,000000,0.101409,0.109734,0.101009,0.106836,29091469.94847196,0
OXT.V,D,20220715,000000,0.106636,0.111533,0.105926,0.106768,16912020.92636844,0
OXT.V,D,20220716,000000,0.107168,0.110528,0.103669,0.108967,8666413.50085806,0
OXT.V,D,20220717,000000,0.10927,0.123465,0.107785,0.111171,43252810.91912128,0
OXT.V,D,20220718,000000,0.111671,0.120783,0.109269,0.114874,13727915.037197031,0
OXT.V,D,20220719,000000,0.115074,0.1205,0.11439,0.120119,8830929.562044624,0
OXT.V,D,20220720,000000,0.1194,0.123538,0.111298,0.114606,19787450.953059882,0
OXT.V,D,20220721,000000,0.114711,0.126029,0.107805,0.12023,36832078.218423314,0
OXT.V,D,20220722,000000,0.12023,0.125911,0.11611,0.117126,26617467.00492055,0
OXT.V,D,20220723,000000,0.117027,0.121605,0.116811,0.120423,8683441.417361587,0
OXT.V,D,20220724,000000,0.120412,0.121594,0.117701,0.119824,4044183.034562916,0
OXT.V,D,20220725,000000,0.120123,0.120724,0.108012,0.110209,10603935.921444513,0
OXT.V,D,20220726,000000,0.11001,0.110115,0.1037,0.106316,7569544.347068485,0
OXT.V,D,20220727,000000,0.106315,0.126608,0.098126,0.112627,66356321.17285797,0
OXT.V,D,20220728,000000,0.112529,0.118836,0.112428,0.117323,9520776.343675625,0
