<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FRAX.V,D,20220515,000000,0.986419,0.992509,0.986419,0.986716,141.181426,0
FRAX.V,D,20220516,000000,0.99071,0.993905,0.97383,0.989712,3911.777861,0
FRAX.V,D,20220517,000000,0.873862,0.9988,0.852804,0.9988,1646.254733,0
FRAX.V,D,20220518,000000,0.9987,0.9987,0.989811,0.995704,13.789951,0
FRAX.V,D,20220519,000000,0.988614,0.995704,0.987012,0.987111,248.715406,0
FRAX.V,D,20220520,000000,0.987111,0.994805,0.78921,0.993806,176.718407,0
FRAX.V,D,20220521,000000,0.993806,0.993806,0.978726,0.978726,187.167152,0
FRAX.V,D,20220522,000000,0.986617,0.986617,0.978824,0.978824,8.051798,0
FRAX.V,D,20220523,000000,0.986814,0.991908,0.986716,0.986716,28.638395,0
FRAX.V,D,20220524,000000,0.982918,0.982918,0.970834,0.982622,47.320542,0
FRAX.V,D,20220525,000000,0.982721,1.044849,0.982721,1.039855,1792.062722,0
FRAX.V,D,20220526,000000,1.004633,1.004734,0.978922,0.992058,1565.44074,0
FRAX.V,D,20220527,000000,0.987931,0.994205,0.980299,0.987931,26.27958609,0
FRAX.V,D,20220528,000000,0.979156,0.988261,0.979156,0.987053,3813.672609,0
FRAX.V,D,20220529,000000,0.987913,0.994784,0.987223,0.992647,1430.770788,0
FRAX.V,D,20220530,000000,0.992747,0.992747,0.982264,0.982264,4565.60902,0
FRAX.V,D,20220531,000000,0.982762,1.01224,0.968405,0.98257,101390.61604379,0
FRAX.V,D,20220601,000000,0.98479,1.00616,0.98222,1.0038,66724.20539752,0
FRAX.V,D,20220602,000000,1.00247,1.01761,0.98275,0.99608,255801.95892334,0
FRAX.V,D,20220603,000000,0.99558,1.00922,0.99222,1.00023,20289.522077829,0
FRAX.V,D,20220604,000000,1.00086,1.00394,0.99585,0.99925,3211.371879,0
FRAX.V,D,20220605,000000,0.99738,1.00018,0.9963,0.998,851.506768,0
FRAX.V,D,20220606,000000,0.99601,1.00136,0.99601,0.99849,5148.650495026,0
FRAX.V,D,20220607,000000,0.99939,1.00134,0.98908,0.99048,12057.951129885,0
FRAX.V,D,20220608,000000,0.99011,0.99504,0.98817,0.9901,2997.708585,0
FRAX.V,D,20220609,000000,0.99005,0.99066,0.986771,0.988039,2909.74534005,0
