<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LDO.V,D,20220509,000000,2.26232,2.3333,1.80664,2.10158,639005.9391635011,0
LDO.V,D,20220510,000000,2.13836,2.35729,1.68949,1.86844,1415462.4325720621,0
LDO.V,D,20220511,000000,1.86026,2.01919,1.40649,1.55821,817972.3798859534,0
LDO.V,D,20220512,000000,1.50372,1.68324,1.21855,1.3824,369513.2136845711,0
LDO.V,D,20220513,000000,1.39608,1.79984,1.3532,1.49146,433017.2847351128,0
LDO.V,D,20220514,000000,1.48847,1.54952,1.32721,1.41887,383640.6865034843,0
LDO.V,D,20220515,000000,1.41801,1.53285,1.32887,1.42828,257196.85485615185,0
LDO.V,D,20220516,000000,1.43228,1.51818,1.34625,1.43713,236846.25208949912,0
LDO.V,D,20220517,000000,1.43713,1.55129,1.3812,1.50519,295000.22573684895,0
LDO.V,D,20220518,000000,1.50204,1.63204,1.37321,1.40817,157342.75205578664,0
LDO.V,D,20220519,000000,1.41202,1.4427,1.34852,1.40759,120224.37157389015,0
LDO.V,D,20220520,000000,1.41273,1.47423,1.31043,1.32541,115011.98116129504,0
LDO.V,D,20220521,000000,1.32541,1.34438,1.26523,1.28932,121221.98082697309,0
LDO.V,D,20220522,000000,1.28932,1.44797,1.26622,1.28645,255068.11714317312,0
LDO.V,D,20220523,000000,1.28645,1.37235,1.21678,1.25437,432226.11821750813,0
LDO.V,D,20220524,000000,1.2465,1.2465,1.05773,1.09058,616173.7616845309,0
LDO.V,D,20220525,000000,1.09047,1.12553,1.04885,1.0918,306832.2353391075,0
LDO.V,D,20220526,000000,1.09169,1.44441,0.93388,1.003,1627203.6911354552,0
LDO.V,D,20220527,000000,1.003,1.26873,0.95005,1.08591,2644970.491080426,0
LDO.V,D,20220528,000000,1.08676,1.14063,0.988,1.02979,1058908.2962775677,0
LDO.V,D,20220529,000000,1.02979,1.25662,1.01981,1.13475,1390390.2101022347,0
LDO.V,D,20220530,000000,1.13474,1.25265,1.13282,1.20915,374474.1608834796,0
LDO.V,D,20220531,000000,1.21403,1.23314,1.03717,1.07414,462708.779343724,0
LDO.V,D,20220601,000000,1.07414,1.09612,0.97902,1.02008,315434.6347356549,0
LDO.V,D,20220602,000000,1.01908,1.04106,1.0001,1.02108,281357.4059915743,0
LDO.V,D,20220603,000000,1.02208,1.05316,0.99505,1.00713,208221.99883190534,0
LDO.V,D,20220604,000000,1.01012,1.02117,0.99303,1.00623,1430935.1960229345,0
LDO.V,D,20220605,000000,1.00924,1.05102,1.00215,1.03702,988791.0063048335,0
LDO.V,D,20220606,000000,1.03702,1.10208,1.02903,1.09108,3614027.4976575198,0
LDO.V,D,20220607,000000,1.08409,1.0871,1.00514,1.06613,1366148.1933295785,0
LDO.V,D,20220608,000000,1.06914,1.08328,1.00126,1.01135,714599.0773579004,0
LDO.V,D,20220609,000000,1.01134,1.04616,0.99321,1.02114,2151573.4944131034,0
LDO.V,D,20220610,000000,1.02113,1.03509,0.99283,0.99773,8981920.416523432,0
LDO.V,D,20220611,000000,0.99973,1.00895,0.85791,0.85901,940739.857059482,0
LDO.V,D,20220612,000000,0.85903,0.85903,0.79101,0.814,287739.43190983986,0
LDO.V,D,20220613,000000,0.812,0.812,0.54999,0.61914,5322335.8984252,0
LDO.V,D,20220614,000000,0.61814,0.63304,0.56415,0.59828,7897893.0526538575,0
LDO.V,D,20220615,000000,0.59729,0.63126,0.51108,0.61913,3501458.98013154,0
LDO.V,D,20220616,000000,0.61707,0.694236,0.543402,0.559272,1223501.6173169797,0
LDO.V,D,20220617,000000,0.532264,0.573484,0.509332,0.549346,2357582.2403931557,0
LDO.V,D,20220618,000000,0.550339,0.67114,0.400403,0.433293,10238117.643848581,0
LDO.V,D,20220619,000000,0.434295,0.63224,0.43127,0.505393,4231872.377461576,0
LDO.V,D,20220620,000000,0.506392,0.547342,0.452411,0.506442,2439505.9029149273,0
LDO.V,D,20220621,000000,0.506392,0.784293,0.4994,0.537408,8652266.375158701,0
LDO.V,D,20220622,000000,0.537408,0.566932,0.485014,0.515284,2171501.5491695735,0
LDO.V,D,20220623,000000,0.515432,0.572227,0.509938,0.542857,1154487.6641956891,0
LDO.V,D,20220624,000000,0.542757,0.68952,0.542757,0.632406,4552559.66562667,0
LDO.V,D,20220625,000000,0.632606,0.726113,0.606593,0.64235,3408777.5540271415,0
LDO.V,D,20220626,000000,0.64225,0.677439,0.609928,0.637405,1353010.8131894986,0
LDO.V,D,20220627,000000,0.637817,0.638023,0.555239,0.571191,584556.1163159192,0
LDO.V,D,20220628,000000,0.570597,0.598455,0.52765,0.529847,856604.6132922416,0
LDO.V,D,20220629,000000,0.529842,0.539851,0.493009,0.508684,1336673.9959759219,0
LDO.V,D,20220630,000000,0.508489,0.518572,0.432394,0.439072,3894266.274592558,0
LDO.V,D,20220701,000000,0.439172,0.48971,0.434834,0.460493,905471.8681623134,0
LDO.V,D,20220702,000000,0.460493,0.589692,0.445565,0.461745,2896126.683388548,0
LDO.V,D,20220703,000000,0.464396,0.559272,0.460501,0.507639,1575394.1070686977,0
LDO.V,D,20220704,000000,0.511383,0.572213,0.472485,0.537854,2275879.514035476,0
LDO.V,D,20220705,000000,0.536855,0.680283,0.530563,0.56258,4603067.584298997,0
LDO.V,D,20220706,000000,0.56258,0.624749,0.548496,0.604834,951076.5810582972,0
LDO.V,D,20220707,000000,0.603835,0.740256,0.592448,0.675395,2924482.4619622906,0
LDO.V,D,20220708,000000,0.675295,0.879384,0.655841,0.740356,6398879.498694112,0
LDO.V,D,20220709,000000,0.739356,0.774435,0.676094,0.690585,1400841.8094378556,0
LDO.V,D,20220710,000000,0.690516,0.695582,0.620727,0.650909,899626.8685542999,0
LDO.V,D,20220711,000000,0.651909,0.653277,0.61251,0.635627,714821.0650465863,0
LDO.V,D,20220712,000000,0.63273,0.655344,0.583916,0.628471,644966.0255313135,0
LDO.V,D,20220713,000000,0.628396,0.952047,0.627353,0.864221,17329881.264167417,0
LDO.V,D,20220714,000000,0.869217,1.069037,0.758393,0.858485,6419720.911714704,0
LDO.V,D,20220715,000000,0.858385,1.314942,0.857685,1.162651,15297451.169602655,0
LDO.V,D,20220716,000000,1.160352,1.402819,1.043587,1.37519,5105021.755543261,0
LDO.V,D,20220717,000000,1.37383,1.86,1.35815,1.73505,15864178.92386181,0
LDO.V,D,20220718,000000,1.72705,1.80051,1.39394,1.40948,9795438.227267543,0
LDO.V,D,20220719,000000,1.41048,1.74081,1.40996,1.55515,4900084.335137197,0
LDO.V,D,20220720,000000,1.556,1.92003,1.40357,1.59378,11033354.78914042,0
LDO.V,D,20220721,000000,1.59268,1.65906,1.40044,1.61479,5295805.177735368,0
