<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BORA.V,D,20211217,000000,0.946357,1.099993,0.946357,1.088386,0,0
BORA.V,D,20211218,000000,1.05959,1.05959,1.05043,1.05043,0,0
BORA.V,D,20211219,000000,0.994002,1.018991,0.985921,0.985921,0,0
BORA.V,D,20211220,000000,0.923154,0.923154,0.923154,0.923154,0,0
BORA.V,D,20211221,000000,0.994995,1.052704,0.979459,1.052704,0,0
BORA.V,D,20211222,000000,1.029455,1.049955,1.021699,1.049955,0,0
BORA.V,D,20211223,000000,1.018359,1.130389,1.014804,1.130389,0,0
BORA.V,D,20211224,000000,1.125666,1.125666,1.089346,1.100684,0,0
BORA.V,D,20211225,000000,1.075614,1.0918,1.072525,1.0918,0,0
BORA.V,D,20211227,000000,1.05838,1.05918,1.05838,1.05918,0,0
BORA.V,D,20211228,000000,1.02329,1.02329,1.02329,1.02329,0,0
BORA.V,D,20211229,000000,0.968539,0.968539,0.930963,0.930963,0,0
BORA.V,D,20211230,000000,0.901314,0.918396,0.901314,0.918396,0,0
BORA.V,D,20211231,000000,1.01449,1.03935,0.97285,0.97285,1.425902774,0
BORA.V,D,20220101,000000,0.99246,1.00401,0.97912,0.980838,0.247271804,0
BORA.V,D,20220102,000000,0.989141,1.053114,0.986056,1.053114,0.189481218,0
BORA.V,D,20220103,000000,1.047316,1.174541,1.047316,1.104026,0.436692443,0
BORA.V,D,20220104,000000,1.224665,1.224665,1.090987,1.098647,1.4571292417,0
BORA.V,D,20220105,000000,1.10163,1.10163,0.912759,0.912759,0.7487905737,0
BORA.V,D,20220106,000000,0.96392,0.96392,0.930087,0.930087,0.030853593,0
BORA.V,D,20220107,000000,0.998707,0.998707,0.908272,0.946521,1.015992474,0
BORA.V,D,20220108,000000,0.932204,0.938835,0.932204,0.938835,0.648168081,0
BORA.V,D,20220109,000000,0.932134,0.932134,0.906328,0.906328,0.053689675,0
BORA.V,D,20220110,000000,0.923253,0.926978,0.881149,0.881149,0.758036575,0
BORA.V,D,20220111,000000,0.8592,0.8592,0.8592,0.8592,0.4056341,0
BORA.V,D,20220112,000000,0.91975,0.98097,0.913703,0.98097,0.109397081,0
BORA.V,D,20220113,000000,0.953349,0.954194,0.921202,0.921202,0.0488385247,0
BORA.V,D,20220114,000000,0.895113,0.895113,0.895113,0.895113,0.001117408,0
BORA.V,D,20220115,000000,0.961195,0.961195,0.913303,0.913303,0.0084238397,0
BORA.V,D,20220116,000000,0.907522,0.923532,0.898927,0.898927,0.006656798,0
BORA.V,D,20220117,000000,0.89247,0.89247,0.88106,0.88106,0.046336803,0
BORA.V,D,20220118,000000,0.864565,0.864565,0.864565,0.864565,0,0
BORA.V,D,20220120,000000,0.85199,0.91555,0.85199,0.871848,0.0467427616,0
BORA.V,D,20220121,000000,0.844573,0.844573,0.795808,0.795808,0.1886303195,0
BORA.V,D,20220122,000000,0.816801,0.816801,0.664309,0.71292,1.5500169761,0
BORA.V,D,20220123,000000,0.789273,0.79519,0.789273,0.79519,0.06363643,0
