<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNT.V,D,20220513,000000,0.0319456,0.0319456,0.0319392,0.0319424,0,0
SNT.V,D,20220514,000000,0.031455,0.0338076,0.0312953,0.0336738,138120.10098964,0
SNT.V,D,20220515,000000,0.0337267,0.0353296,0.0328437,0.0353296,752314.49058049,0
SNT.V,D,20220516,000000,0.0355643,0.0372949,0.0331628,0.0344302,783942.51753097,0
SNT.V,D,20220517,000000,0.0344841,0.0359168,0.0339224,0.0358234,1178742.4303635,0
SNT.V,D,20220518,000000,0.035777,0.0372353,0.0318985,0.0324977,4208557.7317723,0
SNT.V,D,20220519,000000,0.0325444,0.0336563,0.0302806,0.03328,2307861.7986355,0
SNT.V,D,20220520,000000,0.0332667,0.0342788,0.0314391,0.0322081,1715794.1235344,0
SNT.V,D,20220521,000000,0.0322572,0.0350843,0.0320335,0.0336452,4334511.5301611,0
SNT.V,D,20220522,000000,0.0337627,0.0385037,0.0337261,0.0354374,3656699.9226242,0
SNT.V,D,20220523,000000,0.0357171,0.0378621,0.0354374,0.0357071,2521843.1948757,0
SNT.V,D,20220524,000000,0.0355437,0.0364698,0.0324243,0.0347148,2920591.8954358,0
SNT.V,D,20220525,000000,0.0346814,0.041734,0.0342389,0.0379544,10126333.821037,0
SNT.V,D,20220526,000000,0.0378745,0.0448706,0.0344186,0.0366333,16705182.498722,0
SNT.V,D,20220527,000000,0.0366996,0.036943,0.0340325,0.0347652,1674168.4304549,0
SNT.V,D,20220528,000000,0.0348199,0.0351681,0.0340352,0.0345795,1878262.2378847,0
SNT.V,D,20220529,000000,0.0345798,0.0352391,0.0334568,0.0351224,1144516.7254348,0
SNT.V,D,20220530,000000,0.0351905,0.0379434,0.0351434,0.0376499,1034188.1075729,0
SNT.V,D,20220531,000000,0.0377498,0.0408954,0.0365744,0.0374762,4081176.5258044,0
SNT.V,D,20220601,000000,0.0375007,0.0425255,0.0367932,0.037796,4635686.4090137,0
SNT.V,D,20220602,000000,0.0376061,0.0481067,0.0376061,0.042222,15348113.923649,0
SNT.V,D,20220603,000000,0.0423518,0.0444462,0.0408972,0.0422132,3475572.1197972,0
SNT.V,D,20220604,000000,0.0423231,0.0441254,0.0410785,0.0419085,4335265.3649331,0
SNT.V,D,20220605,000000,0.0419581,0.0436924,0.0402018,0.0434491,3099074.6284484,0
SNT.V,D,20220606,000000,0.0437297,0.0456666,0.0421996,0.0427041,10091111.369909,0
SNT.V,D,20220607,000000,0.04248,0.04276,0.03901,0.04085,12277649.348863,0
SNT.V,D,20220608,000000,0.04088,0.04108,0.03941,0.039908,19154735.105865,0
SNT.V,D,20220609,000000,0.0396236,0.0397136,0.0390199,0.039284,9137847.9405594,0
SNT.V,D,20220610,000000,0.0391878,0.039239,0.0362116,0.036671,33014204.930724,0
SNT.V,D,20220611,000000,0.0367529,0.0374799,0.0332484,0.0340215,2860007.4947014,0
SNT.V,D,20220612,000000,0.0343115,0.0363955,0.0312861,0.03251,4573108.5371832,0
SNT.V,D,20220613,000000,0.0323102,0.0328179,0.02709,0.02811,97147174.714119,0
SNT.V,D,20220614,000000,0.02824,0.02824,0.02384,0.0264,199471663.39835,0
SNT.V,D,20220615,000000,0.02655,0.02824,0.0239,0.02824,212272676.80075,0
SNT.V,D,20220616,000000,0.028391,0.0307431,0.026423,0.026423,140281830.50567,0
SNT.V,D,20220617,000000,0.0253352,0.027302,0.025325,0.0270475,110268299.28885,0
SNT.V,D,20220618,000000,0.0271,0.0305112,0.0247484,0.0259279,168264229.5196,0
SNT.V,D,20220619,000000,0.0261074,0.0277067,0.0248547,0.0275669,8675199.2392877,0
SNT.V,D,20220620,000000,0.027624,0.0280619,0.0265155,0.0277195,3627280.0336719,0
SNT.V,D,20220621,000000,0.0275197,0.0306593,0.0275197,0.0290909,7895497.6926575,0
SNT.V,D,20220622,000000,0.029018,0.0300599,0.0276795,0.0280419,8619595.389899,0
SNT.V,D,20220623,000000,0.0281418,0.0291508,0.0280391,0.0290609,9778532.5153794,0
SNT.V,D,20220624,000000,0.028991,0.0304559,0.028991,0.0303463,92830520.728122,0
SNT.V,D,20220625,000000,0.0303296,0.0306393,0.0290105,0.0300989,36545047.69025,0
SNT.V,D,20220626,000000,0.0301686,0.0305192,0.0294326,0.0298518,82232351.778861,0
SNT.V,D,20220627,000000,0.0298721,0.0315041,0.0290123,0.0301525,1881648.8019615,0
SNT.V,D,20220628,000000,0.0304108,0.0318542,0.0296539,0.0300139,3349029.165092,0
SNT.V,D,20220629,000000,0.0299628,0.0301629,0.0280501,0.0289749,11327071.403691,0
SNT.V,D,20220630,000000,0.0289552,0.0290751,0.0259071,0.026668,10575567.188761,0
SNT.V,D,20220701,000000,0.0267079,0.0297013,0.0264782,0.0289452,16781477.657323,0
SNT.V,D,20220702,000000,0.0288753,0.0307661,0.0280591,0.0296644,29445834.17828,0
