<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GUSD.V,D,20220513,000000,0.98732,0.987419,0.987221,0.987221,0,0
GUSD.V,D,20220514,000000,1.06576,1.10699,1.06575,1.09846,936.0242117294999,0
GUSD.V,D,20220515,000000,1.09323,1.10864,1.07486,1.09569,2192.721357385,0
GUSD.V,D,20220516,000000,1.09439,1.09847,0.9957,0.9967,4396.3500518196,0
GUSD.V,D,20220517,000000,0.9966,1,0.9959,0.9994,25814.44287241452,0
GUSD.V,D,20220518,000000,0.9989,1.0002,0.9978,0.9995,6716.037495286896,0
GUSD.V,D,20220519,000000,0.9997,1.0007,0.9992,1.0005,5008.565124473299,0
GUSD.V,D,20220520,000000,0.9999,1.0019,0.9995,1.0019,3462.6382131515998,0
GUSD.V,D,20220521,000000,1.08807,1.09504,0.99381,0.99421,175052.72666727702,0
GUSD.V,D,20220522,000000,0.99421,0.99431,0.99391,0.99421,2484.9926650031007,0
GUSD.V,D,20220523,000000,0.9967,0.9967,0.9951,0.9952,3874.9866807366993,0
GUSD.V,D,20220524,000000,0.9955,0.9996,0.9952,0.9988,5191.640228629101,0
GUSD.V,D,20220525,000000,0.997,1.0004,0.9959,0.9989,3482.36019047267,0
GUSD.V,D,20220526,000000,0.9989,1.08487,0.9963,0.9986,2399.3729312277,0
GUSD.V,D,20220527,000000,0.998,2.83678,0.9951,0.9979,59578.500295325095,0
GUSD.V,D,20220528,000000,0.99647,0.99913,0.99584,0.99736,3370.1891721079996,0
GUSD.V,D,20220529,000000,0.99731,1.00201,0.9973,1.00116,5491.511324811899,0
GUSD.V,D,20220530,000000,1.00016,1.00168,0.9996,1.0001,3186.2470273885,0
GUSD.V,D,20220531,000000,1,1.0473,0.9994,1.0002,3024.8261189058,0
GUSD.V,D,20220601,000000,1.0001,1.0027,0.9996,1.0014,2789.4918076465005,0
GUSD.V,D,20220602,000000,1.0006,1.002,0.9996,0.9998,5489.2902408472,0
GUSD.V,D,20220603,000000,0.9996,1.00173,0.9996,1.00033,8597.975483045104,0
GUSD.V,D,20220604,000000,1.00013,1.00148,1,1.00024,3557.321668520299,0
GUSD.V,D,20220605,000000,1.05549,1.05549,0.99974,0.99988,9711.7922245099,0
GUSD.V,D,20220606,000000,0.9991,1.00218,0.99815,1.00216,3827.4484586047993,0
GUSD.V,D,20220607,000000,1.00226,1.003,0.99978,1.00188,8221.527407211699,0
GUSD.V,D,20220608,000000,1.00142,1.00263,0.9996,1.00263,2855.5898929427995,0
GUSD.V,D,20220609,000000,1.00104,1.00326,1.00006,1.00125,43984.86439609499,0
GUSD.V,D,20220610,000000,1.00124,1.0033,1.00101,1.00242,500723.2260977715,0
GUSD.V,D,20220611,000000,1.00138,1.00283,1.00119,1.00134,7536.1336183597,0
GUSD.V,D,20220612,000000,1.00146,1.00238,0.9994,1.00097,8242.212771776398,0
GUSD.V,D,20220613,000000,1.00087,1.29733,0.9974,1.00063,2467749.755811049,0
GUSD.V,D,20220614,000000,1.00106,1.0027,0.99884,1.0014,7086085.626926477,0
GUSD.V,D,20220615,000000,0.99972,1.00409,0.9992,1.001,4677889.87650926,0
GUSD.V,D,20220616,000000,1.00209,1.00679,1.0002,1.00339,17397870.84000258,0
GUSD.V,D,20220617,000000,1.00555,1.07634,0.99378,0.9987,4146218.904423196,0
GUSD.V,D,20220618,000000,0.9986,1.16403,0.99805,1.00048,3253370.5706150956,0
GUSD.V,D,20220619,000000,0.99841,0.99905,0.98842,0.9948,15213.2213420572,0
GUSD.V,D,20220620,000000,0.9955,1.0015,0.99401,1.0006,13781.141422857396,0
GUSD.V,D,20220621,000000,0.9999,1.0016,0.98861,0.99251,13741.0753532747,0
GUSD.V,D,20220622,000000,0.99331,0.9989,0.99011,0.9965,14209.062444250409,0
GUSD.V,D,20220623,000000,0.9965,0.9978,0.99421,0.995,4998.967605277,0
GUSD.V,D,20220624,000000,0.995,0.9962,0.99231,0.99421,1379443.8724581168,0
GUSD.V,D,20220625,000000,0.99401,0.99563,0.99355,0.9943,1516459.0640407081,0
GUSD.V,D,20220626,000000,0.99413,0.99841,0.99392,0.99518,2071214.0262601923,0
GUSD.V,D,20220627,000000,0.99653,0.99791,0.99546,0.99649,4854.936839738702,0
GUSD.V,D,20220628,000000,0.99783,0.99832,0.99606,0.99646,25962.725148622994,0
GUSD.V,D,20220629,000000,0.99785,1.00023,0.99561,0.99829,1253117.6629626804,0
GUSD.V,D,20220630,000000,0.9983,0.999919,0.997212,0.998101,93341.29404060911,0
GUSD.V,D,20220701,000000,0.997801,1.000399,0.997302,0.999,4259932.7022226555,0
GUSD.V,D,20220702,000000,0.999,1.000298,0.997601,0.999499,1079508.398058928,0
GUSD.V,D,20220703,000000,0.999699,1.000198,0.997901,1.000198,375506.1169926671,0
GUSD.V,D,20220704,000000,0.999199,1.000498,0.997202,0.999299,7661.428513411895,0
GUSD.V,D,20220705,000000,0.997901,0.999499,0.997801,0.999499,14927.887405599391,0
GUSD.V,D,20220706,000000,0.993,0.999499,0.993,0.997202,24150.926270426007,0
GUSD.V,D,20220707,000000,0.997202,1,0.997102,0.998301,3275.078976466699,0
GUSD.V,D,20220708,000000,0.998401,1,0.998201,0.9986,10913.0918827435,0
GUSD.V,D,20220709,000000,1.000299,1.000299,0.998401,0.9989,3610.1870370301003,0
GUSD.V,D,20220710,000000,0.9999,1.0002,0.9987,1,24335.464455029796,0
GUSD.V,D,20220711,000000,0.9992,1.002997,0.995303,0.997601,11411.519259518502,0
GUSD.V,D,20220712,000000,0.9986,1.09114,0.997502,1.0002,2470.7994046590998,0
GUSD.V,D,20220713,000000,1.00021,1.09645,0.9979,0.9993,54793.15669385952,0
