<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOVR.V,D,20220514,000000,22.9609,22.9609,22.85878,22.85878,0.48564191,0
MOVR.V,D,20220515,000000,21.86934,24.06867,21.66745,23.9712,39291.40780070208,0
MOVR.V,D,20220516,000000,23.9712,28.86821,23.27204,23.9688,101062.85171871552,0
MOVR.V,D,20220517,000000,23.86893,25.57184,23.36724,24.56802,44387.37899777759,0
MOVR.V,D,20220518,000000,24.67036,25.06988,21.87153,22.27101,41895.32230695706,0
MOVR.V,D,20220519,000000,22.37088,23.27903,21.17668,22.5774,44922.156054364605,0
MOVR.V,D,20220520,000000,22.57966,23.37426,21.37218,21.9736,48129.905312919946,0
MOVR.V,D,20220521,000000,21.9736,24.06867,21.67396,23.36958,52839.68210173031,0
MOVR.V,D,20220522,000000,23.26738,24.86514,23.16984,24.57048,55844.107939825226,0
MOVR.V,D,20220523,000000,24.67036,26.4735,24.17096,25.16724,73913.84809310439,0
MOVR.V,D,20220524,000000,25.06988,25.16976,22.77264,24.56556,59834.44444668392,0
MOVR.V,D,20220525,000000,24.4657,26.07129,23.87371,24.37072,54645.29743655877,0
MOVR.V,D,20220526,000000,24.37072,24.57048,21.27657,22.1778,49622.1249767744,0
MOVR.V,D,20220527,000000,22.1778,22.3776,20.67723,21.17668,55498.194465284985,0
MOVR.V,D,20220528,000000,21.07574,21.47678,20.57178,20.97543,39309.86693698568,0
MOVR.V,D,20220529,000000,20.97501,22.07657,20.7792,21.87635,22368.58978900411,0
MOVR.V,D,20220530,000000,21.87547,23.58348,21.67613,23.38362,46321.89345078716,0
MOVR.V,D,20220531,000000,23.28369,23.88088,22.08232,22.88168,64463.58079399685,0
MOVR.V,D,20220601,000000,22.88374,23.4812,21.17668,21.28083,41183.67682206371,0
MOVR.V,D,20220602,000000,21.1788,21.78038,20.6793,21.48065,27282.468486437927,0
MOVR.V,D,20220603,000000,21.48065,21.68372,20.28072,20.7819,22592.54879838076,0
MOVR.V,D,20220604,000000,20.7819,20.88328,19.98,20.58434,98304.68286582225,0
MOVR.V,D,20220605,000000,20.68468,21.08101,19.983,20.78045,102111.374336452,0
MOVR.V,D,20220606,000000,20.78045,21.98218,20.48237,20.78253,258569.59056922427,0
MOVR.V,D,20220607,000000,20.78253,20.78336,19.4844,20.68344,229337.63900121962,0
MOVR.V,D,20220608,000000,20.78502,21.08776,19.68739,20.48688,201608.25803955196,0
MOVR.V,D,20220609,000000,20.38694,20.98194,20.08211,20.18303,163476.27249736636,0
MOVR.V,D,20220610,000000,20.18283,20.18404,18.57768,18.67606,293301.0183451441,0
MOVR.V,D,20220611,000000,18.67625,18.77988,17.27838,17.77989,76433.7438351931,0
MOVR.V,D,20220612,000000,17.77971,18.07991,15.57816,16.0802,96108.10078846937,0
MOVR.V,D,20220613,000000,16.18007,16.18007,13.958,14.77958,1351830.5822054571,0
MOVR.V,D,20220614,000000,14.77928,15.58112,13.77971,14.78224,1012318.9130464151,0
MOVR.V,D,20220615,000000,14.78224,15.28271,13.08297,14.67795,786647.2360216372,0
MOVR.V,D,20220616,000000,14.8936,14.8936,13.32266,13.32266,245375.80120911528,0
MOVR.V,D,20220617,000000,13.05183,13.33131,11.18477,11.64601,867327.532469305,0
MOVR.V,D,20220618,000000,11.6661,11.82603,9.78285,10.28331,1318613.218556714,0
MOVR.V,D,20220619,000000,10.28331,11.28644,10.28301,11.18544,347255.4397127681,0
MOVR.V,D,20220620,000000,11.18544,11.78702,10.78596,11.38746,184063.54063253614,0
MOVR.V,D,20220621,000000,11.38746,12.68603,11.18768,11.58724,161297.53517422776,0
MOVR.V,D,20220622,000000,11.4885,11.5884,10.68823,10.8891,146526.61433523387,0
MOVR.V,D,20220623,000000,10.8891,11.4885,10.78812,11.2887,115810.0734759747,0
MOVR.V,D,20220624,000000,11.2887,16.48515,11.1888,12.69009,660041.6349764781,0
