<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KNC.V,D,20220411,000000,3.92918,4.14424,3.87716,4.04821,3267869.5539240167,0
KNC.V,D,20220412,000000,4.04721,4.43833,3.78276,3.84515,19295402.462977238,0
KNC.V,D,20220413,000000,3.84315,3.9982,3.6531,3.9862,8848484.027037727,0
KNC.V,D,20220414,000000,3.9922,4.85246,3.80614,4.4829,32141258.794281524,0
KNC.V,D,20220415,000000,4.48445,4.70694,4.28686,4.65193,17308382.509040438,0
KNC.V,D,20220416,000000,4.63393,4.72594,4.32086,4.37487,4194536.4020456355,0
KNC.V,D,20220417,000000,4.37387,4.79296,4.11282,4.16683,6660399.52326273,0
KNC.V,D,20220418,000000,4.16808,4.38988,3.9808,4.36231,13293164.523028348,0
KNC.V,D,20220419,000000,4.35931,4.51235,4.21684,4.26185,5744543.934110578,0
KNC.V,D,20220420,000000,4.26085,4.62192,4.12041,4.32887,9039070.372952238,0
KNC.V,D,20220421,000000,4.32787,5.07601,4.25285,4.9615,19701629.716125965,0
KNC.V,D,20220422,000000,4.9625,4.9685,4.42889,4.80048,15927143.58599847,0
KNC.V,D,20220423,000000,4.80996,5.28306,4.61692,5.17852,18718750.02261974,0
KNC.V,D,20220424,000000,5.18504,5.31053,4.74447,4.84397,7518981.692273152,0
KNC.V,D,20220425,000000,4.84597,5.10302,4.57046,5.0455,11180878.476984328,0
KNC.V,D,20220426,000000,5.04901,5.69914,5.013,5.30453,14292962.758485,0
KNC.V,D,20220427,000000,5.30553,5.584,5.09051,5.457,6365781.272292431,0
KNC.V,D,20220428,000000,5.45655,5.75858,5.181,5.595,11166808.843754292,0
KNC.V,D,20220429,000000,5.593,5.738,5.131,5.16052,7660935.135787256,0
KNC.V,D,20220430,000000,5.16052,5.38854,4.90749,5.06151,4929999.933460905,0
KNC.V,D,20220501,000000,5.06,5.19852,4.41444,4.499,6985015.94171521,0
KNC.V,D,20220502,000000,4.5,4.69147,3.927,4.0334,7431564.158061613,0
KNC.V,D,20220503,000000,4.037,4.11,3.55529,3.59164,8752613.939250277,0
KNC.V,D,20220504,000000,3.59064,3.674,3.20668,3.62,16983683.340734832,0
KNC.V,D,20220505,000000,3.617,3.81524,2.9934,3.09638,14904961.633264203,0
KNC.V,D,20220506,000000,3.09738,3.09969,2.70946,2.9917,13490269.505971333,0
KNC.V,D,20220507,000000,2.9897,3.11538,2.63447,2.63447,11440858.081340931,0
KNC.V,D,20220508,000000,2.64474,2.65647,2.28209,2.40928,21131475.930179793,0
KNC.V,D,20220509,000000,2.40928,2.5235,2.08537,2.19856,17912303.051271427,0
KNC.V,D,20220510,000000,2.20556,2.30654,1.89724,1.91024,11132892.434114993,0
KNC.V,D,20220511,000000,1.90424,2.05397,1.3288,1.43069,16942486.041219015,0
KNC.V,D,20220512,000000,1.43666,1.53284,1.06713,1.25872,8645583.974004736,0
KNC.V,D,20220513,000000,1.2576,1.88492,1.23266,1.62423,10590853.203922719,0
KNC.V,D,20220514,000000,1.61225,1.77997,1.44396,1.57379,7142463.027620386,0
KNC.V,D,20220515,000000,1.57779,1.68164,1.54668,1.67399,2831216.3434128608,0
KNC.V,D,20220516,000000,1.67599,1.71711,1.48292,1.59077,1877793.5696129177,0
KNC.V,D,20220517,000000,1.59592,2.01238,1.51887,1.98941,10369531.067206915,0
KNC.V,D,20220518,000000,1.99141,2.34395,1.97643,2.14121,16923274.130054962,0
KNC.V,D,20220519,000000,2.14121,2.45654,1.9948,2.40459,9265582.918803131,0
KNC.V,D,20220520,000000,2.40559,2.84372,2.38062,2.62185,15228270.808402231,0
KNC.V,D,20220521,000000,2.61586,2.69676,2.45381,2.53071,7398668.004746861,0
KNC.V,D,20220522,000000,2.52571,2.66553,2.50274,2.53795,5990238.052020698,0
KNC.V,D,20220523,000000,2.54394,2.59814,2.30246,2.31821,7080401.214913012,0
KNC.V,D,20220524,000000,2.31722,2.31898,1.97163,2.17617,8130187.392145962,0
KNC.V,D,20220525,000000,2.17717,2.31199,2.02377,2.15541,6357691.088960601,0
KNC.V,D,20220526,000000,2.15841,2.1604,1.82998,1.99081,5577486.730274299,0
KNC.V,D,20220527,000000,1.98981,2.01199,1.75007,1.81518,3563544.0070898323,0
KNC.V,D,20220528,000000,1.80794,1.96758,1.78156,1.90577,3378790.906795307,0
KNC.V,D,20220529,000000,1.90074,1.93285,1.7942,1.89192,2045161.393033807,0
KNC.V,D,20220530,000000,1.89311,2.31338,1.86095,2.25819,5631408.172898288,0
KNC.V,D,20220531,000000,2.26042,2.47477,2.1213,2.15228,7059549.751191737,0
KNC.V,D,20220601,000000,2.15232,2.28433,1.91889,1.94705,4036704.0283204336,0
KNC.V,D,20220602,000000,1.94625,2.01718,1.89329,2.01718,2069221.3405489807,0
KNC.V,D,20220603,000000,2.01918,2.06314,1.8483,1.93831,2057422.397661508,0
KNC.V,D,20220604,000000,1.93931,1.94331,1.83709,1.90155,3188333.2539790757,0
KNC.V,D,20220605,000000,1.89957,1.97442,1.86047,1.92419,3305595.671582084,0
KNC.V,D,20220606,000000,1.92619,2.06426,1.88426,1.96934,9019910.307016326,0
KNC.V,D,20220607,000000,1.96635,1.97534,1.8055,1.94141,6546154.246708372,0
KNC.V,D,20220608,000000,1.94145,1.95671,1.84462,1.88677,5487016.720205004,0
KNC.V,D,20220609,000000,1.88777,1.90355,1.84154,1.89241,4290986.048639291,0
KNC.V,D,20220610,000000,1.89239,1.89942,1.73419,1.78871,7509891.546985354,0
KNC.V,D,20220611,000000,1.7907,1.814,1.57915,1.69109,3292900.18687004,0
