<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DFI.V,D,20220515,000000,3.01477,3.18685,2.98951,3.1459,53269.499392059835,0
DFI.V,D,20220516,000000,3.1592,3.17351,2.94387,3.01877,25811.370758204812,0
DFI.V,D,20220517,000000,3.03805,3.12824,3.00279,3.10327,31733.553146729428,0
DFI.V,D,20220518,000000,3.11226,3.12924,2.87626,2.88025,87520.76450299809,0
DFI.V,D,20220519,000000,2.89095,2.89739,2.70756,2.75824,47038.07613156791,0
DFI.V,D,20220520,000000,2.76451,2.78377,2.53096,2.57964,122318.56975171491,0
DFI.V,D,20220521,000000,2.56866,2.5809,2.494,2.5347,72915.10560118398,0
DFI.V,D,20220522,000000,2.51547,2.65281,2.49575,2.61885,49727.262754810545,0
DFI.V,D,20220523,000000,2.62385,2.67832,2.51897,2.53695,60735.256062771645,0
DFI.V,D,20220524,000000,2.53296,2.61112,2.43432,2.50449,101013.16596241994,0
DFI.V,D,20220525,000000,2.51772,2.56666,2.4563,2.47503,68643.51710750796,0
DFI.V,D,20220526,000000,2.47527,2.48402,2.29347,2.35364,58270.4508133505,0
DFI.V,D,20220527,000000,2.35764,2.3634,2.15584,2.17582,62062.73434881859,0
DFI.V,D,20220528,000000,2.17656,2.20353,2.13374,2.16053,97427.7544085307,0
DFI.V,D,20220529,000000,2.16342,2.18062,2.11862,2.13265,58002.71947394641,0
DFI.V,D,20220530,000000,2.13078,2.33237,2.12776,2.32214,67389.51477664836,0
DFI.V,D,20220531,000000,2.32337,2.34712,2.27118,2.29993,16117.671510204074,0
DFI.V,D,20220601,000000,2.30325,2.30613,2.10768,2.12409,28101.455657940915,0
DFI.V,D,20220602,000000,2.12009,2.19402,2.1051,2.13108,81740.42245230703,0
DFI.V,D,20220603,000000,2.14607,2.16529,2.03996,2.07721,36834.88730561413,0
DFI.V,D,20220604,000000,2.07819,2.09601,2.03529,2.06643,172284.4753022425,0
DFI.V,D,20220605,000000,2.06645,2.1182,2.04157,2.07009,43259.803512575694,0
DFI.V,D,20220606,000000,2.07705,2.19116,2.06306,2.15317,74733.44456319635,0
DFI.V,D,20220607,000000,2.15217,2.1632,2.02428,2.13629,33114.978712190365,0
DFI.V,D,20220608,000000,2.13835,2.1384,2.0516,2.06965,441837.8464596155,0
DFI.V,D,20220609,000000,2.06965,2.08421,2.02322,2.03429,193661.2047774971,0
DFI.V,D,20220610,000000,2.03527,2.04037,1.92763,1.94447,1418451.6371198744,0
DFI.V,D,20220611,000000,1.94051,1.97686,1.82782,1.84288,228273.25295386644,0
DFI.V,D,20220612,000000,1.83992,1.84795,1.663,1.67993,246370.92823702254,0
DFI.V,D,20220613,000000,1.67792,1.68293,1.337,1.3731,458847.11677863775,0
DFI.V,D,20220614,000000,1.37808,1.37808,1.21854,1.23052,228073.15356906512,0
DFI.V,D,20220615,000000,1.22754,1.26954,1.03613,1.18822,543949.1052406762,0
DFI.V,D,20220616,000000,1.18123,1.18845,1.06172,1.07849,1113085.2958735877,0
DFI.V,D,20220617,000000,1.02758,1.07721,1.0116,1.05773,130211.90294886798,0
DFI.V,D,20220618,000000,1.05473,1.08271,0.90255,0.94246,454954.7627636568,0
DFI.V,D,20220619,000000,0.93448,1.02976,0.91772,1.02267,146588.7518306448,0
DFI.V,D,20220620,000000,1.02377,1.05084,0.98681,1.01388,126331.2575343236,0
DFI.V,D,20220621,000000,1.00689,1.06472,0.9959,1.01898,259559.7702446841,0
DFI.V,D,20220622,000000,1.01898,1.03596,0.96494,0.97403,151503.95681912178,0
DFI.V,D,20220623,000000,0.97802,1,0.96603,0.99201,173578.76297635157,0
DFI.V,D,20220624,000000,0.99401,1.02329,0.98911,1.0092,419262.84981405933,0
DFI.V,D,20220625,000000,1.00699,1.03232,1.0012,1.02728,203431.62012746747,0
DFI.V,D,20220626,000000,1.02726,1.05435,1.01039,1.04036,93617.90310661057,0
DFI.V,D,20220627,000000,1.03538,1.03639,0.98741,1.0021,199923.5156374608,0
DFI.V,D,20220628,000000,1.00105,1.01708,0.97378,0.9758,110591.64425714266,0
DFI.V,D,20220629,000000,0.97879,0.99881,0.94959,0.96684,115861.86102062704,0
DFI.V,D,20220630,000000,0.96784,0.96784,0.86596,0.886934,261096.88197454097,0
DFI.V,D,20220701,000000,0.877945,0.956043,0.876946,0.896013,121393.82676734302,0
DFI.V,D,20220702,000000,0.895924,0.898011,0.843901,0.843986,114545.63272520747,0
DFI.V,D,20220703,000000,0.843901,0.868869,0.81602,0.862877,169653.05279087657,0
DFI.V,D,20220704,000000,0.862877,0.9159,0.838824,0.904913,148453.617807088,0
DFI.V,D,20220705,000000,0.912903,0.941963,0.882939,0.926979,71563.2104026057,0
DFI.V,D,20220706,000000,0.930975,0.97383,0.913994,0.967934,263639.7311132302,0
DFI.V,D,20220707,000000,0.966935,1.04895,0.957945,1.037377,106155.8570465802,0
DFI.V,D,20220708,000000,1.037377,1.073356,1.029073,1.053368,68585.04739672653,0
DFI.V,D,20220709,000000,1.052368,1.061363,1.030381,1.037377,17641.962986598,0
DFI.V,D,20220710,000000,1.037377,1.042374,0.9993,1.010393,8198.911660174737,0
DFI.V,D,20220711,000000,1.009394,1.021387,0.976218,0.984113,131511.04658019872,0
