<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DOT.V,D,20200821,000000,2.913,3.011,2.82,2.957,0,0
DOT.V,D,20200822,000000,2.957,4.49,2.957,4.49,0,0
DOT.V,D,20200823,000000,4.49,4.511,3.717,3.981,0,0
DOT.V,D,20200824,000000,3.981,4.78,3.806,4.574,0,0
DOT.V,D,20200825,000000,4.574,5.758,4.485,5.559,0,0
DOT.V,D,20200826,000000,5.559,6.581,5.108,6.089,0,0
DOT.V,D,20200827,000000,6.089,6.809,5.249,5.658,0,0
DOT.V,D,20200828,000000,5.658,6.352,5.502,6.183,0,0
DOT.V,D,20200829,000000,6.183,6.563,6.021,6.146,0,0
DOT.V,D,20200830,000000,6.146,6.227,5.721,5.897,0,0
DOT.V,D,20200831,000000,5.897,6.464,5.765,6.28,0,0
DOT.V,D,20200901,000000,6.28,6.849,6.141,6.25,0,0
DOT.V,D,20200902,000000,6.25,6.445,5.65,6.145,0,0
DOT.V,D,20200903,000000,6.145,6.329,5.643,5.721,0,0
DOT.V,D,20200904,000000,5.721,5.991,4.553,5.114,0,0
DOT.V,D,20200905,000000,5.114,5.317,3.596,4.152,0,0
DOT.V,D,20200906,000000,4.152,4.914,3.741,4.787,0,0
DOT.V,D,20200907,000000,4.787,4.838,4.015,4.598,0,0
DOT.V,D,20200908,000000,4.598,4.628,4.115,4.272,0,0
DOT.V,D,20200909,000000,4.272,4.785,4.142,4.699,0,0
DOT.V,D,20200910,000000,4.699,4.883,4.423,4.571,0,0
DOT.V,D,20200911,000000,4.571,4.727,4.319,4.641,0,0
DOT.V,D,20200912,000000,4.641,5.281,4.496,5.128,0,0
DOT.V,D,20200913,000000,5.128,5.459,4.776,5.318,0,0
DOT.V,D,20200914,000000,5.318,5.565,5.098,5.358,0,0
DOT.V,D,20200915,000000,5.358,5.443,5.046,5.057,0,0
DOT.V,D,20200916,000000,5.057,5.276,4.97,5.07,0,0
DOT.V,D,20200917,000000,5.07,5.407,5.04,5.321,0,0
DOT.V,D,20200918,000000,5.321,5.422,5.07,5.227,0,0
DOT.V,D,20200919,000000,5.227,5.242,4.778,4.894,0,0
DOT.V,D,20200920,000000,4.894,4.956,4.426,4.645,0,0
DOT.V,D,20200921,000000,4.645,4.688,3.927,4.069,0,0
