<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTM.V,D,20181219,000000,0.006003,0.006209,0.005806,0.006098,0,0
FTM.V,D,20181220,000000,0.006098,0.007079,0.006098,0.006858,0,0
FTM.V,D,20181221,000000,0.006858,0.006895,0.006293,0.006479,0,0
FTM.V,D,20181222,000000,0.006479,0.007421,0.006479,0.007137,0,0
FTM.V,D,20181223,000000,0.007137,0.008196,0.007137,0.007736,0,0
FTM.V,D,20181224,000000,0.007736,0.00841,0.007438,0.007917,0,0
FTM.V,D,20181225,000000,0.007917,0.007917,0.007021,0.007401,0,0
FTM.V,D,20181226,000000,0.007401,0.00801,0.007174,0.007652,0,0
FTM.V,D,20181227,000000,0.007575,0.007676,0.006363,0.006464,0,0
FTM.V,D,20181228,000000,0.006464,0.007878,0.006262,0.007676,0,0
FTM.V,D,20181229,000000,0.007676,0.007676,0.006666,0.006767,0,0
FTM.V,D,20181230,000000,0.006767,0.006868,0.006363,0.006464,0,0
FTM.V,D,20181231,000000,0.006464,0.006795,0.006095,0.006395,0,0
FTM.V,D,20190101,000000,0.006395,0.006666,0.006262,0.006363,0,0
FTM.V,D,20190102,000000,0.006363,0.006767,0.006161,0.006666,0,0
FTM.V,D,20190103,000000,0.006666,0.006666,0.005959,0.00606,0,0
FTM.V,D,20190104,000000,0.00606,0.006464,0.00606,0.006363,0,0
FTM.V,D,20190105,000000,0.006363,0.006464,0.005959,0.005959,0,0
FTM.V,D,20190106,000000,0.005959,0.005959,0.004444,0.005555,0,0
FTM.V,D,20190107,000000,0.005555,0.006262,0.005151,0.005858,0,0
FTM.V,D,20190108,000000,0.005858,0.005959,0.005757,0.005757,0,0
FTM.V,D,20190109,000000,0.005757,0.005959,0.005656,0.005757,0,0
FTM.V,D,20190110,000000,0.005757,0.005858,0.004949,0.005151,0,0
FTM.V,D,20190111,000000,0.005151,0.005252,0.004949,0.005252,0,0
FTM.V,D,20190112,000000,0.005252,0.005252,0.004949,0.004949,0,0
FTM.V,D,20190113,000000,0.004949,0.00505,0.004646,0.004747,0,0
FTM.V,D,20190114,000000,0.004747,0.00505,0.004343,0.004949,0,0
FTM.V,D,20190115,000000,0.004949,0.00505,0.004545,0.004646,0,0
FTM.V,D,20190116,000000,0.004646,0.004646,0.0045,0.0046,0,0
FTM.V,D,20190117,000000,0.0046,0.004646,0.004545,0.004646,0,0
FTM.V,D,20190118,000000,0.004646,0.004646,0.0044,0.0045,0,0
FTM.V,D,20190119,000000,0.0045,0.0047,0.0044,0.0046,0,0
FTM.V,D,20190120,000000,0.0046,0.0047,0.0043,0.0045,0,0
FTM.V,D,20190121,000000,0.0045,0.0045,0.0043,0.0044,0,0
FTM.V,D,20190122,000000,0.0044,0.0044,0.0041,0.0044,0,0
FTM.V,D,20190123,000000,0.0044,0.0044,0.0036,0.0041,0,0
FTM.V,D,20190124,000000,0.0041,0.0042,0.0032,0.004,0,0
FTM.V,D,20190125,000000,0.004,0.004195,0.003795,0.003995,0,0
FTM.V,D,20190126,000000,0.003995,0.003998,0.003798,0.003798,0,0
FTM.V,D,20190127,000000,0.003798,0.003798,0.003584,0.003584,0,0
FTM.V,D,20190128,000000,0.003584,0.003598,0.003098,0.003598,0,0
FTM.V,D,20190129,000000,0.003598,0.003598,0.003186,0.003485,0,0
FTM.V,D,20190130,000000,0.003485,0.003485,0.003379,0.003479,0,0
FTM.V,D,20190131,000000,0.003479,0.00348,0.003083,0.003182,0,0
FTM.V,D,20190201,000000,0.003182,0.003275,0.002878,0.003176,0,0
FTM.V,D,20190202,000000,0.003176,0.003662,0.003068,0.003167,0,0
FTM.V,D,20190203,000000,0.003167,0.003167,0.002965,0.003063,0,0
FTM.V,D,20190204,000000,0.003063,0.003351,0.002957,0.003154,0,0
FTM.V,D,20190205,000000,0.003154,0.004447,0.003063,0.003755,0,0
FTM.V,D,20190206,000000,0.003755,0.004448,0.003657,0.004251,0,0
FTM.V,D,20190207,000000,0.004251,0.004449,0.003361,0.003361,0,0
FTM.V,D,20190208,000000,0.003361,0.003959,0.003361,0.003959,0,0
FTM.V,D,20190209,000000,0.003959,0.004056,0.003463,0.00366,0,0
FTM.V,D,20190210,000000,0.00366,0.003969,0.003473,0.003671,0,0
FTM.V,D,20190211,000000,0.003671,0.003671,0.003163,0.00336,0,0
FTM.V,D,20190212,000000,0.00336,0.003361,0.003163,0.003361,0,0
FTM.V,D,20190213,000000,0.003361,0.00366,0.003361,0.00366,0,0
FTM.V,D,20190214,000000,0.00366,0.003664,0.003367,0.003466,0,0
FTM.V,D,20190215,000000,0.003466,0.003664,0.003466,0.003664,0,0
FTM.V,D,20190216,000000,0.003664,0.003961,0.003565,0.003862,0,0
FTM.V,D,20190217,000000,0.003862,0.003956,0.003561,0.003956,0,0
FTM.V,D,20190218,000000,0.003956,0.004367,0.003672,0.004168,0,0
FTM.V,D,20190219,000000,0.004168,0.004263,0.003966,0.003966,0,0
FTM.V,D,20190220,000000,0.003966,0.004164,0.003966,0.004065,0,0
FTM.V,D,20190221,000000,0.004065,0.004158,0.003663,0.003861,0,0
FTM.V,D,20190222,000000,0.003861,0.004071,0.003574,0.004071,0,0
FTM.V,D,20190223,000000,0.004071,0.004693,0.003994,0.004294,0,0
FTM.V,D,20190224,000000,0.004294,0.004789,0.003792,0.003792,0,0
FTM.V,D,20190225,000000,0.003792,0.003988,0.003689,0.003888,0,0
FTM.V,D,20190226,000000,0.003888,0.003889,0.003789,0.003789,0,0
FTM.V,D,20190227,000000,0.003789,0.00398,0.003582,0.003681,0,0
FTM.V,D,20190228,000000,0.003681,0.00378,0.003681,0.003681,0,0
FTM.V,D,20190301,000000,0.003681,0.003882,0.003681,0.003782,0,0
FTM.V,D,20190302,000000,0.003782,0.00389,0.003691,0.003791,0,0
FTM.V,D,20190303,000000,0.003791,0.003978,0.003779,0.003779,0,0
FTM.V,D,20190304,000000,0.003779,0.003985,0.003686,0.003786,0,0
FTM.V,D,20190305,000000,0.003786,0.004287,0.003689,0.004187,0,0
FTM.V,D,20190306,000000,0.004187,0.005479,0.003985,0.004981,0,0
FTM.V,D,20190307,000000,0.004981,0.006073,0.00448,0.005973,0,0
FTM.V,D,20190308,000000,0.005973,0.006062,0.005267,0.005565,0,0
FTM.V,D,20190309,000000,0.005565,0.005869,0.005371,0.00557,0,0
FTM.V,D,20190310,000000,0.00557,0.006671,0.005476,0.006472,0,0
FTM.V,D,20190311,000000,0.006472,0.007272,0.005454,0.006464,0,0
FTM.V,D,20190312,000000,0.006464,0.007676,0.006464,0.007474,0,0
FTM.V,D,20190313,000000,0.007474,0.0077,0.0058,0.006,0,0
FTM.V,D,20190314,000000,0.006,0.0063,0.006,0.0062,0,0
FTM.V,D,20190315,000000,0.0062,0.007171,0.005555,0.007171,0,0
FTM.V,D,20190316,000000,0.007171,0.007777,0.006666,0.00707,0,0
FTM.V,D,20190317,000000,0.00707,0.007272,0.006868,0.007171,0,0
FTM.V,D,20190318,000000,0.007171,0.007575,0.006969,0.007575,0,0
FTM.V,D,20190319,000000,0.007575,0.009999,0.007474,0.009393,0,0
FTM.V,D,20190320,000000,0.009393,0.0103,0.008888,0.0103,0,0
FTM.V,D,20190321,000000,0.0103,0.0103,0.0089,0.0093,0,0
FTM.V,D,20190322,000000,0.0093,0.01111,0.00909,0.01101,0,0
FTM.V,D,20190323,000000,0.01101,0.0111,0.0089,0.0095,0,0
FTM.V,D,20190324,000000,0.0095,0.0098,0.0091,0.0097,0,0
FTM.V,D,20190325,000000,0.0097,0.01061,0.009292,0.009696,0,0
FTM.V,D,20190326,000000,0.009696,0.009797,0.009292,0.009797,0,0
FTM.V,D,20190327,000000,0.009797,0.0121,0.0092,0.0119,0,0
FTM.V,D,20190328,000000,0.0119,0.014,0.0114,0.0134,0,0
FTM.V,D,20190329,000000,0.0134,0.015,0.013,0.0138,0,0
FTM.V,D,20190330,000000,0.0138,0.01485,0.01212,0.01374,0,0
FTM.V,D,20190331,000000,0.01374,0.0139,0.0113,0.0113,0,0
FTM.V,D,20190401,000000,0.0113,0.013,0.0113,0.0118,0,0
FTM.V,D,20190402,000000,0.0118,0.01646,0.01172,0.01475,0,0
FTM.V,D,20190403,000000,0.01475,0.01596,0.01343,0.01363,0,0
FTM.V,D,20190404,000000,0.01363,0.0143,0.0126,0.0137,0,0
FTM.V,D,20190405,000000,0.0137,0.01434,0.01303,0.01424,0,0
FTM.V,D,20190406,000000,0.01424,0.01535,0.01394,0.01505,0,0
FTM.V,D,20190407,000000,0.01505,0.01697,0.01505,0.01666,0,0
FTM.V,D,20190408,000000,0.01666,0.01798,0.01485,0.01606,0,0
FTM.V,D,20190409,000000,0.01606,0.01798,0.01465,0.01505,0,0
FTM.V,D,20190410,000000,0.01505,0.0151,0.0138,0.0148,0,0
FTM.V,D,20190411,000000,0.0148,0.01495,0.01091,0.01151,0,0
FTM.V,D,20190412,000000,0.01151,0.0125,0.0101,0.0115,0,0
FTM.V,D,20190413,000000,0.0115,0.01222,0.01141,0.01172,0,0
FTM.V,D,20190414,000000,0.01172,0.01172,0.01101,0.01121,0,0
FTM.V,D,20190415,000000,0.01121,0.01121,0.0098,0.0101,0,0
FTM.V,D,20190416,000000,0.0101,0.01111,0.009393,0.01101,0,0
FTM.V,D,20190417,000000,0.01101,0.01101,0.0087,0.0101,0,0
FTM.V,D,20190418,000000,0.0101,0.0102,0.008787,0.009595,0,0
FTM.V,D,20190419,000000,0.009595,0.01323,0.008787,0.0105,0,0
FTM.V,D,20190420,000000,0.0105,0.01162,0.009999,0.01131,0,0
FTM.V,D,20190421,000000,0.01131,0.01151,0.009898,0.0101,0,0
FTM.V,D,20190422,000000,0.0101,0.0104,0.009898,0.0103,0,0
FTM.V,D,20190423,000000,0.0103,0.0105,0.009393,0.009393,0,0
FTM.V,D,20190424,000000,0.009393,0.009494,0.008383,0.009393,0,0
FTM.V,D,20190425,000000,0.009393,0.009597,0.008212,0.008212,0,0
FTM.V,D,20190426,000000,0.008212,0.008871,0.008173,0.008671,0,0
FTM.V,D,20190427,000000,0.008671,0.009797,0.008671,0.009393,0,0
FTM.V,D,20190428,000000,0.009393,0.009393,0.008841,0.008841,0,0
FTM.V,D,20190429,000000,0.008841,0.00918,0.00867,0.008976,0,0
FTM.V,D,20190430,000000,0.008976,0.009282,0.008874,0.00918,0,0
FTM.V,D,20190501,000000,0.00918,0.009494,0.008989,0.009292,0,0
FTM.V,D,20190502,000000,0.009292,0.009898,0.009292,0.009797,0,0
FTM.V,D,20190503,000000,0.009797,0.0102,0.009588,0.0101,0,0
FTM.V,D,20190504,000000,0.0101,0.0105,0.008888,0.009191,0,0
FTM.V,D,20190505,000000,0.009191,0.009373,0.009064,0.009167,0,0
FTM.V,D,20190506,000000,0.009167,0.009282,0.008772,0.008874,0,0
FTM.V,D,20190507,000000,0.008874,0.00969,0.00867,0.008772,0,0
FTM.V,D,20190508,000000,0.008772,0.008787,0.00808,0.008181,0,0
FTM.V,D,20190509,000000,0.008181,0.008282,0.007777,0.00808,0,0
FTM.V,D,20190510,000000,0.00808,0.0089,0.008,0.0087,0,0
FTM.V,D,20190511,000000,0.0087,0.0096,0.0085,0.0091,0,0
FTM.V,D,20190512,000000,0.0091,0.0094,0.0077,0.0077,0,0
FTM.V,D,20190513,000000,0.0077,0.008593,0.007694,0.008193,0,0
FTM.V,D,20190514,000000,0.008193,0.00927,0.007974,0.008971,0,0
FTM.V,D,20190515,000000,0.008971,0.01059,0.008793,0.01019,0,0
FTM.V,D,20190516,000000,0.01019,0.01139,0.009794,0.01129,0,0
