<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CELO.V,D,20200625,000000,1.806,1.853,1.806,1.832,0,0
CELO.V,D,20200626,000000,1.832,1.834,1.8,1.83,0,0
CELO.V,D,20200627,000000,1.83,1.832,1.752,1.823,0,0
CELO.V,D,20200628,000000,1.823,1.835,1.773,1.81,0,0
CELO.V,D,20200629,000000,1.81,1.828,1.741,1.762,0,0
CELO.V,D,20200630,000000,1.762,1.831,1.705,1.774,0,0
CELO.V,D,20200701,000000,1.774,1.856,1.773,1.804,0,0
CELO.V,D,20200702,000000,1.804,1.877,1.798,1.844,0,0
CELO.V,D,20200703,000000,1.843,2.131,1.831,1.833,0,0
CELO.V,D,20200704,000000,1.842,1.862,1.841,1.851,0,0
CELO.V,D,20200705,000000,1.851,1.866,1.823,1.843,0,0
CELO.V,D,20200706,000000,1.843,1.926,1.84,1.924,0,0
CELO.V,D,20200707,000000,1.924,1.938,1.907,1.917,0,0
CELO.V,D,20200708,000000,1.917,1.926,1.8,1.894,0,0
CELO.V,D,20200709,000000,1.894,1.898,1.66,1.808,0,0
CELO.V,D,20200710,000000,1.808,1.811,1.701,1.786,0,0
CELO.V,D,20200711,000000,1.786,1.794,1.622,1.724,0,0
CELO.V,D,20200712,000000,1.78,1.784,1.681,1.703,0,0
CELO.V,D,20200713,000000,1.708,1.861,1.677,1.787,0,0
CELO.V,D,20200714,000000,1.787,1.816,1.67,1.741,0,0
CELO.V,D,20200715,000000,1.741,1.876,1.713,1.839,0,0
CELO.V,D,20200716,000000,1.839,1.894,1.781,1.841,0,0
CELO.V,D,20200717,000000,1.817,1.888,1.753,1.814,0,0
CELO.V,D,20200718,000000,1.818,1.881,1.799,1.814,0,0
CELO.V,D,20200719,000000,1.812,1.92,1.749,1.769,0,0
CELO.V,D,20200720,000000,1.776,1.793,1.77,1.778,0,0
CELO.V,D,20200721,000000,1.787,1.832,1.742,1.744,0,0
CELO.V,D,20200722,000000,1.749,1.755,1.692,1.723,0,0
CELO.V,D,20200723,000000,1.723,1.781,1.702,1.766,0,0
CELO.V,D,20200724,000000,1.766,1.797,1.754,1.78,0,0
CELO.V,D,20200725,000000,1.778,1.793,1.765,1.781,0,0
CELO.V,D,20200726,000000,1.782,1.805,1.775,1.791,0,0
CELO.V,D,20200727,000000,1.791,1.844,1.782,1.782,0,0
CELO.V,D,20200728,000000,1.782,1.81,1.767,1.789,0,0
CELO.V,D,20200729,000000,1.789,1.795,1.774,1.776,0,0
CELO.V,D,20200730,000000,1.78,1.8,1.779,1.8,0,0
CELO.V,D,20200731,000000,1.796,1.856,1.778,1.778,0,0
CELO.V,D,20200801,000000,1.794,1.825,1.794,1.811,0,0
CELO.V,D,20200802,000000,1.817,1.83,1.66,1.782,0,0
CELO.V,D,20200803,000000,1.804,1.81,1.776,1.791,0,0
CELO.V,D,20200804,000000,1.793,1.838,1.754,1.8,0,0
CELO.V,D,20200805,000000,1.772,1.921,1.771,1.804,0,0
CELO.V,D,20200806,000000,1.801,1.811,1.768,1.804,0,0
CELO.V,D,20200807,000000,1.804,1.901,1.732,1.843,0,0
CELO.V,D,20200808,000000,1.843,2.107,1.84,2.107,0,0
CELO.V,D,20200809,000000,2.107,2.108,2.064,2.101,0,0
CELO.V,D,20200810,000000,2.101,2.122,1.954,2.101,0,0
CELO.V,D,20200811,000000,2.101,2.155,2.019,2.055,0,0
CELO.V,D,20200812,000000,2.055,2.24,2.025,2.229,0,0
CELO.V,D,20200813,000000,2.229,2.49,2.049,2.437,0,0
CELO.V,D,20200814,000000,2.437,2.633,2.434,2.599,0,0
CELO.V,D,20200815,000000,2.6,2.619,2.45,2.469,0,0
CELO.V,D,20200816,000000,2.472,2.551,2.433,2.529,0,0
CELO.V,D,20200817,000000,2.531,2.662,2.527,2.588,0,0
CELO.V,D,20200818,000000,2.588,2.856,2.468,2.689,0,0
CELO.V,D,20200819,000000,2.689,2.734,2.486,2.563,0,0
CELO.V,D,20200820,000000,2.563,2.622,2.563,2.598,0,0
CELO.V,D,20200821,000000,2.598,2.598,2.24,2.431,0,0
CELO.V,D,20200822,000000,2.431,2.486,2.163,2.328,0,0
CELO.V,D,20200823,000000,2.328,2.4,2.322,2.365,0,0
CELO.V,D,20200824,000000,2.369,2.458,2.369,2.455,0,0
CELO.V,D,20200825,000000,2.453,3,2.453,2.879,0,0
CELO.V,D,20200826,000000,2.879,4.497,2.828,4.458,0,0
CELO.V,D,20200827,000000,4.458,4.624,3.736,3.97,0,0
CELO.V,D,20200828,000000,3.97,4.291,3.944,4.224,0,0
CELO.V,D,20200829,000000,4.224,4.324,3.954,4.035,0,0
CELO.V,D,20200830,000000,4.035,4.273,3.901,4.107,0,0
CELO.V,D,20200831,000000,4.107,4.11,3.884,3.913,0,0
CELO.V,D,20200901,000000,3.913,4.294,3.698,4.065,0,0
CELO.V,D,20200902,000000,4.057,4.199,3.673,3.854,0,0
CELO.V,D,20200903,000000,3.854,4.761,3.421,4.191,0,0
CELO.V,D,20200904,000000,4.191,4.753,3.891,4.002,0,0
CELO.V,D,20200905,000000,4.002,4.324,3.079,3.342,0,0
CELO.V,D,20200906,000000,3.342,3.688,3.062,3.471,0,0
CELO.V,D,20200907,000000,3.471,3.529,3.114,3.312,0,0
CELO.V,D,20200908,000000,3.312,3.369,3.001,3.078,0,0
CELO.V,D,20200909,000000,3.078,3.211,3.001,3.119,0,0
CELO.V,D,20200910,000000,3.119,3.26,3.054,3.08,0,0
CELO.V,D,20200911,000000,3.08,3.085,2.925,2.966,0,0
CELO.V,D,20200912,000000,2.966,3.068,2.904,2.968,0,0
CELO.V,D,20200913,000000,2.968,3.019,2.786,2.795,0,0
CELO.V,D,20200914,000000,2.795,2.931,2.76,2.78,0,0
CELO.V,D,20200915,000000,2.78,2.821,2.474,2.563,0,0
