<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEI.V,D,20220512,000000,0.962631,0.986924,0.936734,0.980447,11646.137141,0
FEI.V,D,20220513,000000,0.982641,0.987117,0.97184,0.972344,72870.639326,0
FEI.V,D,20220514,000000,0.971848,0.995764,0.96127,0.994746,6936.505707,0
FEI.V,D,20220515,000000,0.986347,0.995504,0.97383,0.97383,3906.546547,0
FEI.V,D,20220516,000000,0.983799,0.983799,0.978588,0.978876,10770.654386,0
FEI.V,D,20220517,000000,0.978766,0.987425,0.976928,0.986615,59750.601839,0
FEI.V,D,20220518,000000,0.985617,0.986615,0.980923,0.98352,6039.596828,0
FEI.V,D,20220519,000000,0.984618,0.986812,0.981221,0.982315,77493.200258,0
FEI.V,D,20220520,000000,0.982815,0.994524,0.980921,0.985616,67537.196567,0
FEI.V,D,20220521,000000,0.981421,0.986615,0.980823,0.981123,8898.404231,0
FEI.V,D,20220522,000000,0.981123,0.986516,0.980725,0.98182,7839.957942,0
FEI.V,D,20220523,000000,0.98212,0.986515,0.98102,0.984018,7718.438126,0
FEI.V,D,20220524,000000,0.9907,1.007171,0.983119,0.985238,39130.300841,0
FEI.V,D,20220525,000000,0.984999,0.990671,0.98222,0.985516,12596.612978,0
FEI.V,D,20220526,000000,0.98112,0.986713,0.980921,0.981418,20770.516736,0
FEI.V,D,20220527,000000,0.982816,0.991029,0.976355,0.97856,82987.462116,0
FEI.V,D,20220528,000000,0.989271,0.990599,0.977834,0.978334,18806.710419,0
FEI.V,D,20220529,000000,0.981721,0.985923,0.98099,0.981768,64363.154038,0
FEI.V,D,20220530,000000,0.982697,0.984513,0.98103,0.983513,8933.94811,0
FEI.V,D,20220531,000000,0.981413,0.989007,0.981216,0.98701,18978.722012,0
FEI.V,D,20220601,000000,0.98621,0.988618,0.98102,0.981516,32209.4578063,0
FEI.V,D,20220602,000000,0.981418,0.983114,0.981118,0.981216,7380.5950036,0
FEI.V,D,20220603,000000,0.984113,0.985511,0.979878,0.982025,2423.539838,0
FEI.V,D,20220604,000000,0.982094,0.985311,0.979377,0.981853,36354.2937199,0
FEI.V,D,20220605,000000,0.983062,0.983121,0.97932,0.982305,17219.0506727,0
FEI.V,D,20220606,000000,0.981087,0.98701,0.979698,0.981565,57901.675854,0
FEI.V,D,20220607,000000,0.984063,0.987039,0.981265,0.987039,44465.8990844,0
FEI.V,D,20220608,000000,0.98701,0.987464,0.981462,0.987158,66448.1053324,0
FEI.V,D,20220609,000000,0.986668,0.987168,0.981246,0.981565,64963.185843,0
FEI.V,D,20220610,000000,0.981265,0.987128,0.981255,0.98266,17633.8945223,0
FEI.V,D,20220611,000000,0.985846,0.986763,0.98103,0.984286,51346.730793,0
FEI.V,D,20220612,000000,0.986674,0.986694,0.981103,0.984088,31686.072366,0
FEI.V,D,20220613,000000,0.98259,0.986585,0.979694,0.98404,123518.353034,0
FEI.V,D,20220614,000000,0.982832,0.990249,0.980656,0.99012,34695.088527,0
FEI.V,D,20220615,000000,0.978246,0.993306,0.97803,0.984917,363863.017807,0
FEI.V,D,20220616,000000,0.994675,0.994675,0.975432,0.975432,8514.4678381,0
FEI.V,D,20220617,000000,0.981673,0.98436,0.973746,0.978738,30721.2805163,0
FEI.V,D,20220618,000000,0.97693,0.993028,0.976269,0.976416,1656136.357353,0
FEI.V,D,20220619,000000,0.982632,1.000197,0.982632,0.997302,40410.049372,0
FEI.V,D,20220620,000000,0.997402,0.997901,0.997202,0.997502,24760.711828,0
FEI.V,D,20220621,000000,0.993306,0.993306,0.976826,0.981518,5013.569113,0
FEI.V,D,20220622,000000,0.985813,1.002796,0.985015,0.992706,69682.153359,0
FEI.V,D,20220623,000000,0.994205,0.997002,0.985314,0.991108,13607.038213,0
FEI.V,D,20220624,000000,0.990009,0.994005,0.981616,0.987529,56059.522718,0
FEI.V,D,20220625,000000,0.981852,0.98196,0.981303,0.981303,6729.000706,0
FEI.V,D,20220626,000000,0.987967,0.988894,0.98541,0.985698,20415.72221,0
FEI.V,D,20220627,000000,0.986418,0.993655,0.985163,0.985712,13262.606475,0
FEI.V,D,20220628,000000,0.986891,0.994444,0.984907,0.985626,8357.6449233,0
FEI.V,D,20220629,000000,0.984877,0.991599,0.984631,0.985416,19495.022846,0
FEI.V,D,20220630,000000,0.985616,0.986464,0.984729,0.984917,158703.639076,0
FEI.V,D,20220701,000000,0.986415,0.98941,0.984818,0.98941,41241.139489,0
FEI.V,D,20220702,000000,0.986414,1.014881,0.984818,0.991209,171124.056098,0
FEI.V,D,20220703,000000,0.988612,1.002795,0.918712,0.947067,2351604.924072,0
FEI.V,D,20220704,000000,0.945669,1.003794,0.932786,0.995404,88661.262275,0
FEI.V,D,20220705,000000,0.989012,1.005292,0.927778,0.977524,101174.017962,0
FEI.V,D,20220706,000000,0.976724,1.000698,0.940071,0.991908,347908.189584,0
FEI.V,D,20220707,000000,0.990609,0.999699,0.926986,0.994003,29415.3576293,0
FEI.V,D,20220708,000000,0.998401,0.999,0.981011,0.987607,32571.473342,0
FEI.V,D,20220709,000000,0.990905,0.996602,0.98311,0.993603,39433.570804,0
