<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACH.V,D,20220524,000000,0.0219458,0.0374051,0.0211467,0.0222111,1461920113.0892,0
ACH.V,D,20220525,000000,0.0222111,0.026668,0.0208649,0.021654,546237303.87652,0
ACH.V,D,20220526,000000,0.021674,0.0224253,0.0173227,0.0176723,279620648.60161,0
ACH.V,D,20220527,000000,0.0175707,0.017972,0.015994,0.0166433,120567259.4693,0
ACH.V,D,20220528,000000,0.0166109,0.0178716,0.0163176,0.0176393,148864200.62902,0
ACH.V,D,20220529,000000,0.017449,0.0178889,0.0168316,0.017091,80915932.500303,0
ACH.V,D,20220530,000000,0.0170907,0.0184671,0.0169816,0.0183253,96867237.39862,0
ACH.V,D,20220531,000000,0.0183053,0.0184053,0.0171663,0.0174243,127628588.23958,0
ACH.V,D,20220601,000000,0.0173764,0.017807,0.0155744,0.0156943,125227827.62651,0
ACH.V,D,20220602,000000,0.0156959,0.0160156,0.0152662,0.0156559,92587558.034221,0
ACH.V,D,20220603,000000,0.0156759,0.0157878,0.0147432,0.0153466,88748637.436335,0
ACH.V,D,20220604,000000,0.0154066,0.0158173,0.0149779,0.0152384,236723646.35765,0
ACH.V,D,20220605,000000,0.0152387,0.0158067,0.0149874,0.0153655,233058381.35137,0
ACH.V,D,20220606,000000,0.0153655,0.016135,0.015087,0.0153671,489261554.55442,0
ACH.V,D,20220607,000000,0.0153871,0.0155266,0.0144481,0.0151677,525601892.48408,0
ACH.V,D,20220608,000000,0.0151886,0.0157293,0.0148403,0.0152101,285226602.17343,0
ACH.V,D,20220609,000000,0.0152301,0.0157677,0.0146085,0.0147076,290583772.55118,0
ACH.V,D,20220610,000000,0.0146975,0.0153861,0.0140555,0.0144716,367797357.06142,0
ACH.V,D,20220611,000000,0.0144814,0.0145515,0.0126843,0.013265,97325191.609059,0
ACH.V,D,20220612,000000,0.0132748,0.0133649,0.0119431,0.0127243,60795291.605888,0
ACH.V,D,20220613,000000,0.0127143,0.0160779,0.0105782,0.0121732,1166114256.8507,0
ACH.V,D,20220614,000000,0.0121732,0.0149468,0.0114931,0.0118258,1805611324.1137,0
ACH.V,D,20220615,000000,0.0118157,0.0124259,0.0109403,0.0123514,715462522.95752,0
ACH.V,D,20220616,000000,0.0123415,0.0124863,0.0113963,0.0119664,353911266.33585,0
ACH.V,D,20220617,000000,0.0120922,0.012797,0.0118773,0.012091,755546073.70322,0
ACH.V,D,20220618,000000,0.01209,0.012212,0.0107848,0.0114215,1002963953.0715,0
ACH.V,D,20220619,000000,0.0114313,0.012515,0.0108444,0.0124838,317698123.84455,0
ACH.V,D,20220620,000000,0.0124351,0.0125162,0.0118745,0.0122465,147677770.34408,0
ACH.V,D,20220621,000000,0.0122265,0.0142971,0.0121654,0.0134865,230308111.28813,0
ACH.V,D,20220622,000000,0.0134965,0.0136963,0.0120679,0.0122178,148793225.09904,0
ACH.V,D,20220623,000000,0.0122278,0.012676,0.0119081,0.0121466,168633772.22778,0
ACH.V,D,20220624,000000,0.0120979,0.0127101,0.0116689,0.0121104,620774571.6301,0
ACH.V,D,20220625,000000,0.0121578,0.0126313,0.0119219,0.0124613,269282404.01916,0
ACH.V,D,20220626,000000,0.0124714,0.0127531,0.0120926,0.0125423,168681043.69234,0
ACH.V,D,20220627,000000,0.0125325,0.0130682,0.011969,0.0129386,147670861.8657,0
ACH.V,D,20220628,000000,0.0128886,0.0140573,0.012045,0.012155,249671164.06264,0
ACH.V,D,20220629,000000,0.0121754,0.0121754,0.0113152,0.0119056,165334305.75669,0
ACH.V,D,20220630,000000,0.0118757,0.0139831,0.0110047,0.0122153,515115330.74286,0
ACH.V,D,20220701,000000,0.0121754,0.0128732,0.0115538,0.0121266,269091272.86647,0
ACH.V,D,20220702,000000,0.0121266,0.0128246,0.0119656,0.0121354,103563389.27211,0
ACH.V,D,20220703,000000,0.0121654,0.0122753,0.0118646,0.0120443,50133122.081503,0
ACH.V,D,20220704,000000,0.0120443,0.0125549,0.0117247,0.0122153,52583172.924665,0
ACH.V,D,20220705,000000,0.0122453,0.0123651,0.0117858,0.0120367,39818859.950328,0
ACH.V,D,20220706,000000,0.0120367,0.0121966,0.0118158,0.0121566,28375822.598117,0
ACH.V,D,20220707,000000,0.0121566,0.0125861,0.0120567,0.0124026,53390814.78315,0
ACH.V,D,20220708,000000,0.0123926,0.0139316,0.0121427,0.0129122,162143317.02788,0
ACH.V,D,20220709,000000,0.0129222,0.0138317,0.0129222,0.0131221,82181918.00197,0
ACH.V,D,20220710,000000,0.0130821,0.0131521,0.0122327,0.0125225,36759336.645676,0
ACH.V,D,20220711,000000,0.0125225,0.0126212,0.0117383,0.0117594,47730228.057113,0
ACH.V,D,20220712,000000,0.0117494,0.0124176,0.0116172,0.0118869,70105882.499652,0
ACH.V,D,20220713,000000,0.0118986,0.011998,0.0112288,0.0116495,122944982.06107,0
ACH.V,D,20220714,000000,0.0116595,0.0122127,0.0115508,0.0119828,49453162.039095,0
ACH.V,D,20220715,000000,0.0119828,0.0125625,0.0119428,0.0123363,44560015.283246,0
ACH.V,D,20220716,000000,0.0123463,0.0129261,0.0121551,0.0125362,44367069.620276,0
ACH.V,D,20220717,000000,0.0125367,0.0133572,0.0122166,0.0125867,99249956.709989,0
ACH.V,D,20220718,000000,0.0125766,0.0132983,0.0123763,0.0126971,67837410.08512,0
ACH.V,D,20220719,000000,0.0127071,0.02272,0.0126379,0.0195231,2452048400.3565,0
ACH.V,D,20220720,000000,0.0194831,0.0223007,0.0170903,0.0185209,1862080624.7957,0
ACH.V,D,20220721,000000,0.0185211,0.0201216,0.0148913,0.0160839,933461087.13314,0
ACH.V,D,20220722,000000,0.0160839,0.0174449,0.0158,0.0168937,406445389.64496,0
ACH.V,D,20220723,000000,0.01686,0.0169039,0.0146903,0.0148528,226818320.32268,0
ACH.V,D,20220724,000000,0.014853,0.0154411,0.0137821,0.0142027,268696565.78406,0
ACH.V,D,20220725,000000,0.0142028,0.0148403,0.0135915,0.0140211,244535988.05891,0
ACH.V,D,20220726,000000,0.0139814,0.0158408,0.0131809,0.0137121,535114595.94306,0
ACH.V,D,20220727,000000,0.0137319,0.0145541,0.0135192,0.0143232,215522903.66836,0
ACH.V,D,20220728,000000,0.0143537,0.0160934,0.0140927,0.0154631,322956416.07361,0
ACH.V,D,20220729,000000,0.015444,0.015988,0.0148548,0.0153063,276550163.55816,0
ACH.V,D,20220730,000000,0.0153063,0.0163861,0.0149952,0.0157353,190679944.53173,0
ACH.V,D,20220731,000000,0.0157347,0.0187943,0.0153151,0.0163838,425753269.49557,0
ACH.V,D,20220801,000000,0.0163866,0.0163939,0.0142233,0.0148044,303522379.90986,0
ACH.V,D,20220802,000000,0.0148044,0.0163124,0.014344,0.0154726,299027318.0586,0
ACH.V,D,20220803,000000,0.0155029,0.0171051,0.0150038,0.015974,230913497.23046,0
ACH.V,D,20220804,000000,0.0159737,0.0161244,0.0153808,0.0155205,112641002.94077,0
ACH.V,D,20220805,000000,0.0154906,0.0167213,0.0154906,0.0162931,169450756.51967,0
ACH.V,D,20220806,000000,0.0162931,0.0164133,0.0158125,0.0160437,103679075.50417,0
ACH.V,D,20220807,000000,0.0160537,0.0161824,0.0157235,0.0160029,79324655.964051,0
ACH.V,D,20220808,000000,0.016041,0.0170943,0.015804,0.0161419,218764322.20597,0
ACH.V,D,20220809,000000,0.0161219,0.0161934,0.0149536,0.0153431,203234563.65651,0
ACH.V,D,20220810,000000,0.0153632,0.0160574,0.0149537,0.0157146,117910542.33925,0
ACH.V,D,20220811,000000,0.0157144,0.0165061,0.0156553,0.0160876,133099895.79131,0
ACH.V,D,20220812,000000,0.016058,0.0179672,0.0157879,0.0161374,267480585.94012,0
ACH.V,D,20220813,000000,0.0161473,0.0165581,0.0159953,0.0161765,99234356.491622,0
ACH.V,D,20220814,000000,0.0161962,0.0165566,0.0155239,0.0157049,53671893.474074,0
ACH.V,D,20220815,000000,0.0157447,0.0163028,0.0155737,0.0160939,62191844.5907,0
ACH.V,D,20220816,000000,0.016074,0.0161829,0.0156513,0.0157714,47129029.791831,0
ACH.V,D,20220817,000000,0.0157714,0.0160823,0.0154205,0.0154811,54123808.597521,0
ACH.V,D,20220818,000000,0.0154612,0.0155871,0.0149176,0.0151532,40261541.894155,0
ACH.V,D,20220819,000000,0.0151585,0.0153705,0.0131113,0.013747,69398436.682774,0
ACH.V,D,20220820,000000,0.0136005,0.0168018,0.0135291,0.0148999,384336850.93262,0
ACH.V,D,20220821,000000,0.0149097,0.0150956,0.0144681,0.0147396,64306074.9741,0
ACH.V,D,20220822,000000,0.0147004,0.0149079,0.0137692,0.0141275,106005089.58126,0
ACH.V,D,20220823,000000,0.0141179,0.0146197,0.0138299,0.0145401,39256813.581295,0
ACH.V,D,20220824,000000,0.014607,0.0149907,0.0138331,0.0145113,89251068.138095,0
