<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GALA.V,D,20210930,000000,0.08599,0.1017,0.08599,0.1008,0,0
GALA.V,D,20211001,000000,0.1008,0.118,0.09585,0.1007,0,0
GALA.V,D,20211002,000000,0.1007,0.1101,0.09963,0.1015,0,0
GALA.V,D,20211003,000000,0.1015,0.1244,0.0984,0.1143,0,0
GALA.V,D,20211004,000000,0.1143,0.1232,0.1074,0.1124,0,0
GALA.V,D,20211005,000000,0.1124,0.1185,0.104,0.1046,0,0
GALA.V,D,20211006,000000,0.1046,0.1151,0.09796,0.09907,0,0
GALA.V,D,20211007,000000,0.09906,0.1011,0.09307,0.0963,0,0
GALA.V,D,20211008,000000,0.0963,0.1052,0.09549,0.09981,0,0
GALA.V,D,20211009,000000,0.09981,0.1094,0.09784,0.09894,0,0
GALA.V,D,20211010,000000,0.09894,0.09955,0.09026,0.09026,0,0
GALA.V,D,20211011,000000,0.09026,0.09602,0.08625,0.08855,0,0
GALA.V,D,20211012,000000,0.08855,0.08855,0.07898,0.08626,0,0
GALA.V,D,20211013,000000,0.08626,0.09294,0.08376,0.08491,0,0
GALA.V,D,20211014,000000,0.08491,0.09866,0.08374,0.0912,0,0
GALA.V,D,20211015,000000,0.0912,0.0987,0.08574,0.08944,0,0
GALA.V,D,20211016,000000,0.08944,0.09071,0.08523,0.08706,0,0
GALA.V,D,20211017,000000,0.08706,0.09105,0.08305,0.08367,0,0
GALA.V,D,20211018,000000,0.08367,0.08499,0.08127,0.08375,0,0
GALA.V,D,20211019,000000,0.08375,0.08807,0.08228,0.08293,0,0
GALA.V,D,20211020,000000,0.08293,0.09177,0.08293,0.08715,0,0
GALA.V,D,20211021,000000,0.08715,0.08715,0.08097,0.08346,0,0
GALA.V,D,20211022,000000,0.08346,0.08436,0.07951,0.08436,0,0
GALA.V,D,20211023,000000,0.08436,0.08645,0.08339,0.084,0,0
GALA.V,D,20211024,000000,0.084,0.08582,0.08095,0.08156,0,0
GALA.V,D,20211025,000000,0.08156,0.08517,0.08156,0.08517,0,0
GALA.V,D,20211026,000000,0.08517,0.09108,0.08082,0.09047,0,0
GALA.V,D,20211027,000000,0.09047,0.09413,0.07016,0.07542,0,0
GALA.V,D,20211028,000000,0.07542,0.08364,0.07542,0.08122,0,0
GALA.V,D,20211029,000000,0.08122,0.09903,0.08122,0.0928,0,0
GALA.V,D,20211030,000000,0.0928,0.1157,0.09098,0.1046,0,0
