<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCHSV.V,D,20181119,000000,71,72.9,65.2,70,0,0
BCHSV.V,D,20181120,000000,66.28,66.28,47.22,51.61,0,0
BCHSV.V,D,20181121,000000,51.75,56.45,50.34,52.41,0,0
BCHSV.V,D,20181122,000000,52.41,52.41,41.23,42.72,0,0
BCHSV.V,D,20181123,000000,42.74,63.59,38.04,54.73,0,0
BCHSV.V,D,20181124,000000,54.73,63.13,45.25,58.51,0,0
BCHSV.V,D,20181125,000000,57.43,96.96,54.45,88.88,0,0
BCHSV.V,D,20181126,000000,88.96,130.97,86.14,115.56,0,0
BCHSV.V,D,20181127,000000,115.41,125.17,84.02,95.6,0,0
BCHSV.V,D,20181128,000000,94.91,109.8,81.74,99.05,0,0
BCHSV.V,D,20181129,000000,99.05,101.41,90.52,97.97,0,0
BCHSV.V,D,20181130,000000,97.97,105.71,91.19,94.02,0,0
BCHSV.V,D,20181201,000000,94.02,95.71,86.55,92.47,0,0
BCHSV.V,D,20181202,000000,92.48,102.39,90.97,98.91,0,0
BCHSV.V,D,20181203,000000,98.91,99.7,90.45,93.82,0,0
BCHSV.V,D,20181204,000000,93.82,94.14,88.82,89.32,0,0
BCHSV.V,D,20181205,000000,89.87,89.87,81.52,85.85,0,0
BCHSV.V,D,20181206,000000,85.85,105.29,79.85,103.06,0,0
BCHSV.V,D,20181207,000000,103.06,116.98,95.09,103.47,0,0
BCHSV.V,D,20181208,000000,103.47,106.39,96.7,98.36,0,0
BCHSV.V,D,20181209,000000,96.93,98.79,90.99,95.67,0,0
BCHSV.V,D,20181210,000000,97.19,98.47,92.95,94.72,0,0
BCHSV.V,D,20181211,000000,93.96,93.96,85.83,88.97,0,0
BCHSV.V,D,20181212,000000,89.48,91.98,88.67,88.74,0,0
BCHSV.V,D,20181213,000000,87.95,87.95,76,77.44,0,0
BCHSV.V,D,20181214,000000,77.44,81.17,68.54,69.55,0,0
BCHSV.V,D,20181215,000000,70.24,72.99,65.36,68.08,0,0
BCHSV.V,D,20181216,000000,67.21,79.41,66.8,76.59,0,0
BCHSV.V,D,20181217,000000,76.59,81.74,74.52,81.2,0,0
BCHSV.V,D,20181218,000000,81.2,85.13,76.62,83.75,0,0
BCHSV.V,D,20181219,000000,83.75,96.91,81.47,84.84,0,0
BCHSV.V,D,20181220,000000,84.84,125.07,84.31,111.24,0,0
BCHSV.V,D,20181221,000000,111.24,129.06,101.26,107,0,0
BCHSV.V,D,20181222,000000,107,114.56,102.17,108.75,0,0
BCHSV.V,D,20181223,000000,108.75,112.54,102.92,105.65,0,0
BCHSV.V,D,20181224,000000,105.65,112.89,100.91,102.34,0,0
BCHSV.V,D,20181225,000000,102.34,102.56,88.75,92.98,0,0
BCHSV.V,D,20181226,000000,92.98,99.56,90.23,94.08,0,0
BCHSV.V,D,20181227,000000,94.08,97.99,82.99,84.4,0,0
BCHSV.V,D,20181228,000000,84.4,93.52,81.47,92.6,0,0
BCHSV.V,D,20181229,000000,92.6,93.44,86.63,87.49,0,0
BCHSV.V,D,20181230,000000,87.49,89.41,86.17,87.87,0,0
BCHSV.V,D,20181231,000000,87.87,87.87,82.5,83.88,0,0
BCHSV.V,D,20190101,000000,83.88,95.79,83.88,91.6,0,0
BCHSV.V,D,20190102,000000,91.6,95.12,89.66,93.74,0,0
BCHSV.V,D,20190103,000000,93.74,95.76,86.27,87.88,0,0
BCHSV.V,D,20190104,000000,87.88,89.7,84.97,87.05,0,0
BCHSV.V,D,20190105,000000,87.05,91.16,85.78,87.84,0,0
BCHSV.V,D,20190106,000000,87.84,90.54,86.4,89.25,0,0
BCHSV.V,D,20190107,000000,89.25,89.66,87.22,87.67,0,0
BCHSV.V,D,20190108,000000,87.67,88.19,85.61,86.86,0,0
BCHSV.V,D,20190109,000000,86.86,87.37,85.91,86.4,0,0
BCHSV.V,D,20190110,000000,86.4,89.37,73.75,74.8,0,0
BCHSV.V,D,20190111,000000,75.78,75.88,73.68,74.81,0,0
BCHSV.V,D,20190112,000000,74.04,84.79,73.91,81.93,0,0
BCHSV.V,D,20190113,000000,81.93,87.18,73.83,76.94,0,0
BCHSV.V,D,20190114,000000,76.94,81.81,75.53,79.7,0,0
BCHSV.V,D,20190115,000000,79.7,81.2,75.67,76.76,0,0
BCHSV.V,D,20190116,000000,76.76,77.97,75.39,76.9,0,0
BCHSV.V,D,20190117,000000,76.9,77.85,75.88,77.55,0,0
BCHSV.V,D,20190118,000000,77.55,77.55,74.17,74.86,0,0
BCHSV.V,D,20190119,000000,74.86,77.15,74.74,76.18,0,0
BCHSV.V,D,20190120,000000,76.18,76.21,73.17,74.09,0,0
BCHSV.V,D,20190121,000000,74.09,76.35,73.41,74.08,0,0
BCHSV.V,D,20190122,000000,74.08,76.13,71.95,75.24,0,0
BCHSV.V,D,20190123,000000,75.24,76.02,74.33,74.87,0,0
BCHSV.V,D,20190124,000000,75.3,76,74.2,74.49,0,0
