<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AURORA.V,D,20220515,000000,3.67685,3.89533,3.45501,3.75671,12672.1231546603,0
AURORA.V,D,20220516,000000,3.88094,3.88094,3.36516,3.60565,9317.052727999999,0
AURORA.V,D,20220517,000000,3.66746,4.62398,3.45546,4.56681,74545.97647849997,0
AURORA.V,D,20220518,000000,4.44216,5.25776,3.89622,4.67994,95615.03780619997,0
AURORA.V,D,20220519,000000,4.81803,4.89254,4.14913,4.30589,24000.294656000002,0
AURORA.V,D,20220520,000000,4.30023,4.76321,3.53276,3.53276,32736.186886130075,0
AURORA.V,D,20220521,000000,3.64063,3.81234,3.43817,3.72415,29432.719047030092,0
AURORA.V,D,20220522,000000,3.76402,3.9218,3.70055,3.79434,11531.0394324803,0
AURORA.V,D,20220523,000000,3.84059,4.12297,3.66733,3.70235,14759.989561290406,0
AURORA.V,D,20220524,000000,3.66683,3.66683,3.21806,3.3515,19774.19663209997,0
AURORA.V,D,20220525,000000,3.34924,3.72435,3.24772,3.36426,40030.838665620126,0
AURORA.V,D,20220526,000000,3.36376,3.36556,3.02727,3.17003,173719.08942310052,0
AURORA.V,D,20220527,000000,3.1997,3.30899,2.74358,3.01019,551196.4348388988,0
AURORA.V,D,20220528,000000,2.96279,3.29367,2.7758,2.85476,813298.7185049911,0
AURORA.V,D,20220529,000000,2.8573,3.18529,2.82936,3.03616,494586.52330913895,0
AURORA.V,D,20220530,000000,3.03273,3.48656,2.95929,3.19704,667938.2838218708,0
AURORA.V,D,20220531,000000,3.20354,3.74825,3.16968,3.28224,745473.1083249291,0
AURORA.V,D,20220601,000000,3.28037,3.61511,3.03946,3.04745,517638.22072909924,0
AURORA.V,D,20220602,000000,3.05347,3.28804,2.72185,2.82306,680590.4436925013,0
AURORA.V,D,20220603,000000,2.82306,2.91767,2.60629,2.71514,779409.1136905012,0
AURORA.V,D,20220604,000000,2.71943,2.73921,2.58316,2.61361,657859.1391665012,0
AURORA.V,D,20220605,000000,2.61194,2.64186,2.48928,2.53544,672009.5722319012,0
AURORA.V,D,20220606,000000,2.53531,2.68175,2.28479,2.32954,908510.0526485011,0
AURORA.V,D,20220607,000000,2.33491,2.36571,2.17162,2.18531,1019922.2872400007,0
AURORA.V,D,20220608,000000,2.18443,2.27575,2.1214,2.17838,1440743.2849957964,0
AURORA.V,D,20220609,000000,2.17748,2.23346,2.12654,2.17977,1260576.0542108004,0
AURORA.V,D,20220610,000000,2.18025,2.28556,2.0717,2.07174,1536724.4537111802,0
AURORA.V,D,20220611,000000,2.07197,2.09576,1.89157,1.91104,1044497.6566682006,0
AURORA.V,D,20220612,000000,1.91154,1.9489,1.66453,1.73426,1212944.6788517025,0
AURORA.V,D,20220613,000000,1.72707,1.73357,1.39606,1.44918,1549375.4370350034,0
AURORA.V,D,20220614,000000,1.44759,1.59176,1.37141,1.45434,2253397.6989049376,0
AURORA.V,D,20220615,000000,1.43027,1.51638,1.19665,1.41607,3153897.6425565914,0
AURORA.V,D,20220616,000000,1.41727,1.46688,1.25532,1.3062,1680509.4913880485,0
AURORA.V,D,20220617,000000,1.27435,1.71342,1.25505,1.3314,792283.263759424,0
AURORA.V,D,20220618,000000,1.3311,1.63722,1.12343,1.17957,2183715.208859474,0
AURORA.V,D,20220619,000000,1.17977,1.68959,1.13177,1.29551,1412336.5396307213,0
AURORA.V,D,20220620,000000,1.29551,1.70792,1.2456,1.46988,1115178.9738976974,0
AURORA.V,D,20220621,000000,1.46963,1.64768,1.39546,1.46758,801335.8011631004,0
AURORA.V,D,20220622,000000,1.47138,1.54959,1.33866,1.38921,846908.0937407194,0
AURORA.V,D,20220623,000000,1.38621,1.48851,1.36993,1.45824,794843.6712092012,0
AURORA.V,D,20220624,000000,1.45909,1.63654,1.43676,1.60595,917764.6548932695,0
AURORA.V,D,20220625,000000,1.60559,1.75315,1.48795,1.57829,760191.176507049,0
AURORA.V,D,20220626,000000,1.57969,1.64725,1.54117,1.55444,715438.0773884004,0
AURORA.V,D,20220627,000000,1.55485,1.6888,1.36502,1.37419,690325.8136573009,0
AURORA.V,D,20220628,000000,1.37349,1.48919,1.31583,1.36038,756686.8675324471,0
AURORA.V,D,20220629,000000,1.3704,1.38799,1.29287,1.33169,738181.8059030101,0
AURORA.V,D,20220630,000000,1.3299,1.44345,1.22076,1.2451,429553.5572820733,0
AURORA.V,D,20220701,000000,1.22633,1.31812,1.22633,1.28598,58842.13867326999,0
AURORA.V,D,20220702,000000,1.28548,1.31302,1.26531,1.31302,70351.19872392013,0
AURORA.V,D,20220703,000000,1.30353,1.34525,1.26438,1.28253,62034.9024305401,0
AURORA.V,D,20220704,000000,1.27574,1.77806,1.26535,1.4978,113044.17298650005,0
AURORA.V,D,20220705,000000,1.50529,1.59604,1.3286,1.40401,111047.84929833998,0
AURORA.V,D,20220706,000000,1.41874,1.44536,1.36899,1.44536,6405.734605670098,0
AURORA.V,D,20220707,000000,1.4504,1.69728,1.43442,1.68189,14906.445764459992,0
AURORA.V,D,20220708,000000,1.68189,1.69898,1.49885,1.58935,30319.768134099995,0
AURORA.V,D,20220709,000000,1.58909,1.64891,1.55417,1.5728,8720.5529727,0
AURORA.V,D,20220710,000000,1.56676,1.57326,1.43744,1.44353,14578.690356866846,0
AURORA.V,D,20220711,000000,1.44353,1.47462,1.43314,1.4435,8910.598401599991,0
AURORA.V,D,20220712,000000,1.4467,1.4467,1.31775,1.31788,10676.231338670035,0
AURORA.V,D,20220713,000000,1.31783,1.41359,1.30661,1.38146,13300.52287125002,0
AURORA.V,D,20220714,000000,1.39844,1.69957,1.38176,1.53788,28297.02369633991,0
AURORA.V,D,20220715,000000,1.53098,1.58895,1.47192,1.51065,14070.88179773,0
AURORA.V,D,20220716,000000,1.50175,1.60328,1.42137,1.59088,11915.886223890084,0
AURORA.V,D,20220717,000000,1.59087,1.67407,1.54148,1.54898,8020.135500410007,0
AURORA.V,D,20220718,000000,1.55969,1.7511,1.52889,1.63202,27420.352523259975,0
AURORA.V,D,20220719,000000,1.63141,1.92011,1.63121,1.9057,21819.519692210037,0
AURORA.V,D,20220720,000000,1.905,2.02114,1.70557,1.73959,29377.084320422033,0
AURORA.V,D,20220721,000000,1.73959,1.78725,1.65115,1.77864,16937.533084289997,0
AURORA.V,D,20220722,000000,1.77323,1.93393,1.71256,1.73586,27560.758182900176,0
AURORA.V,D,20220723,000000,1.7364,1.78424,1.64103,1.64103,18558.438821353993,0
AURORA.V,D,20220724,000000,1.64056,1.79399,1.61999,1.71354,16362.393161919978,0
AURORA.V,D,20220725,000000,1.71393,1.76133,1.54908,1.56853,28999.938950449952,0
AURORA.V,D,20220726,000000,1.56433,1.59504,1.44009,1.47512,14033.142249310002,0
AURORA.V,D,20220727,000000,1.47481,1.72056,1.47481,1.69371,20546.41512372101,0
AURORA.V,D,20220728,000000,1.68679,1.80922,1.65912,1.75995,26490.193753632,0
AURORA.V,D,20220729,000000,1.75956,1.80562,1.66303,1.7106,13148.001227252957,0
AURORA.V,D,20220730,000000,1.7108,1.78272,1.67827,1.7595,10849.813838849997,0
AURORA.V,D,20220731,000000,1.75862,1.79025,1.66557,1.76491,10751.541357386024,0
AURORA.V,D,20220801,000000,1.76571,1.78047,1.62694,1.6624,16465.03227801198,0
AURORA.V,D,20220802,000000,1.6625,1.68837,1.59796,1.66618,22164.665250374015,0
AURORA.V,D,20220803,000000,1.66608,1.71302,1.60589,1.69461,22245.038199022136,0
AURORA.V,D,20220804,000000,1.69067,1.72908,1.61377,1.62348,21520.89649514099,0
AURORA.V,D,20220805,000000,1.62256,1.84293,1.61556,1.81524,45706.45516810986,0
AURORA.V,D,20220806,000000,1.81534,1.83012,1.68622,1.7514,24127.78963220003,0
AURORA.V,D,20220807,000000,1.75169,1.75199,1.67732,1.70511,15416.908935000058,0
AURORA.V,D,20220808,000000,1.70482,2.09652,1.68564,2.00124,97624.5423541949,0
AURORA.V,D,20220809,000000,2.00194,2.04587,1.87167,1.92228,36640.91072009204,0
AURORA.V,D,20220810,000000,1.93339,2.21807,1.81662,2.18983,38277.35869322299,0
AURORA.V,D,20220811,000000,2.18983,2.23194,2.02983,2.06647,38985.61006559783,0
AURORA.V,D,20220812,000000,2.06633,2.10935,1.97849,2.07515,22590.333544864894,0
AURORA.V,D,20220813,000000,2.07575,2.17624,1.9981,2.02449,25618.748157143968,0
AURORA.V,D,20220814,000000,2.02459,2.03389,1.8461,1.87316,22275.334516361,0
AURORA.V,D,20220815,000000,1.87378,1.96399,1.86047,1.87645,34089.90529576009,0
AURORA.V,D,20220816,000000,1.88065,1.90206,1.81751,1.82386,18677.071861350014,0
AURORA.V,D,20220817,000000,1.83166,1.88316,1.69755,1.72212,18359.80902007797,0
AURORA.V,D,20220818,000000,1.71822,1.78789,1.6686,1.69082,42623.58409823001,0
AURORA.V,D,20220819,000000,1.69107,1.70637,1.38824,1.3907,93782.44989910019,0
AURORA.V,D,20220820,000000,1.38243,1.42803,1.32,1.35079,31951.31320991003,0
AURORA.V,D,20220821,000000,1.35366,1.41017,1.28902,1.40396,12731.009202209987,0
AURORA.V,D,20220822,000000,1.39967,1.42696,1.28551,1.30277,102388.74528230005,0
AURORA.V,D,20220823,000000,1.30387,1.40022,1.28929,1.31414,37036.97982799996,0
AURORA.V,D,20220824,000000,1.3009,1.33827,1.27174,1.31432,18774.33519506002,0
AURORA.V,D,20220825,000000,1.31271,1.32418,1.27832,1.29954,43371.51300887001,0
AURORA.V,D,20220826,000000,1.30881,1.33762,1.18982,1.20061,49882.23553711992,0
AURORA.V,D,20220827,000000,1.20121,1.23232,1.14048,1.16622,19985.32778831001,0
AURORA.V,D,20220828,000000,1.16722,1.21082,1.15732,1.189,11411.099625499995,0
AURORA.V,D,20220829,000000,1.1884,1.34382,1.14722,1.27489,53100.64081527107,0
AURORA.V,D,20220830,000000,1.28713,1.38075,1.20012,1.35391,103008.18403529974,0
