<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KAVA.V,D,20220117,000000,5.51621,5.53421,5.23957,5.29912,940086.1323108831,0
KAVA.V,D,20220118,000000,5.30612,5.78231,4.92648,5.06302,5633324.047059564,0
KAVA.V,D,20220119,000000,5.06252,5.06452,4.52691,4.58538,3250549.639850262,0
KAVA.V,D,20220120,000000,4.58838,4.59038,4.10082,4.17784,3185472.37841735,0
KAVA.V,D,20220121,000000,4.17884,4.19826,3.66873,3.77013,4212798.68840837,0
KAVA.V,D,20220122,000000,3.77876,4.09523,3.0156,3.21696,4266014.475140728,0
KAVA.V,D,20220123,000000,3.21496,3.47304,3.16363,3.23365,2140024.0153371897,0
KAVA.V,D,20220124,000000,3.23965,3.39768,2.80784,3.18996,3468251.027700307,0
KAVA.V,D,20220125,000000,3.18295,3.321,3.11856,3.15157,2566599.718812246,0
KAVA.V,D,20220126,000000,3.15452,3.46108,3.12456,3.16858,2370533.9047480496,0
KAVA.V,D,20220127,000000,3.1719,3.31666,3.01581,3.11356,2322971.2694129725,0
KAVA.V,D,20220128,000000,3.12125,3.30065,3.07792,3.16995,1651421.1890269688,0
KAVA.V,D,20220129,000000,3.16863,3.32567,3.16863,3.24097,1409748.9882212703,0
KAVA.V,D,20220130,000000,3.23197,3.37001,3.15795,3.18496,989550.1126314913,0
KAVA.V,D,20220131,000000,3.18727,3.2603,3.04122,3.24595,1759518.4324650832,0
KAVA.V,D,20220201,000000,3.24862,3.39203,3.2403,3.29865,1354993.7715202214,0
KAVA.V,D,20220202,000000,3.29898,3.4037,3.12925,3.17954,2842523.9394433647,0
KAVA.V,D,20220203,000000,3.18354,3.31566,3.10355,3.30465,2163021.142831257,0
KAVA.V,D,20220204,000000,3.30165,3.64782,3.28664,3.58386,1840035.4499476051,0
KAVA.V,D,20220205,000000,3.58386,3.74887,3.55985,3.73624,2619242.9748262665,0
KAVA.V,D,20220206,000000,3.73624,3.86031,3.62217,3.70748,1970582.3898962631,0
KAVA.V,D,20220207,000000,3.70548,4.02622,3.67757,3.91674,3386483.0387406866,0
KAVA.V,D,20220208,000000,3.91974,3.97117,3.61489,3.75237,2580256.0876634596,0
KAVA.V,D,20220209,000000,3.75638,3.84723,3.67557,3.81319,2018109.0335047098,0
KAVA.V,D,20220210,000000,3.81181,3.8781,3.57922,3.7196,2848804.904337076,0
KAVA.V,D,20220211,000000,3.7176,3.75062,3.321,3.327,2258299.9328402556,0
KAVA.V,D,20220212,000000,3.325,3.45307,3.26163,3.32166,2515513.5930441823,0
KAVA.V,D,20220213,000000,3.31866,3.35601,3.15489,3.25563,2913928.5892129396,0
KAVA.V,D,20220214,000000,3.25062,3.35701,3.15889,3.29565,1575818.7121304201,0
KAVA.V,D,20220215,000000,3.29598,3.46108,3.28997,3.45207,1428591.8581504736,0
KAVA.V,D,20220216,000000,3.45407,3.73862,3.44241,3.6088,4429360.047135536,0
KAVA.V,D,20220217,000000,3.61617,3.76964,3.338,3.39838,1898469.6234241475,0
KAVA.V,D,20220218,000000,3.39738,3.54348,3.22025,3.23594,1106777.0861513978,0
KAVA.V,D,20220219,000000,3.23894,3.48009,3.23094,3.4047,1816104.628253859,0
KAVA.V,D,20220220,000000,3.40536,3.46773,3.14526,3.25563,1312598.1805573655,0
KAVA.V,D,20220221,000000,3.25763,3.30065,2.9942,3.01451,2241112.9720868603,0
KAVA.V,D,20220222,000000,3.0105,3.05422,2.79684,3.0015,1520301.8979752066,0
KAVA.V,D,20220223,000000,3.0058,3.1759,2.97048,3.0098,1367356.8227208187,0
KAVA.V,D,20220224,000000,3.01181,3.06453,2.55928,2.95418,1927048.010337471,0
KAVA.V,D,20220225,000000,2.96689,3.15626,2.92788,3.15526,1960469.9961456917,0
KAVA.V,D,20220226,000000,3.15057,3.24162,3.09924,3.16427,938669.1263724419,0
KAVA.V,D,20220227,000000,3.16358,3.29665,2.96719,3.04052,1905240.5073531063,0
KAVA.V,D,20220228,000000,3.04152,3.35067,2.96118,3.30565,1503931.7741463888,0
KAVA.V,D,20220301,000000,3.30732,3.64682,3.30732,3.56807,3354659.8519527726,0
KAVA.V,D,20220302,000000,3.55907,3.64609,3.43403,3.5217,1835627.1945001518,0
KAVA.V,D,20220303,000000,3.52006,3.62609,3.32266,3.38468,1992475.5874568503,0
KAVA.V,D,20220304,000000,3.38502,3.43403,3.11762,3.15463,2092416.5895610824,0
KAVA.V,D,20220305,000000,3.15695,3.23197,3.03761,3.22097,770747.0688725947,0
KAVA.V,D,20220306,000000,3.20796,3.27198,3.06961,3.18996,587829.0438557339,0
KAVA.V,D,20220307,000000,3.19096,3.20396,2.95959,3.02091,1205111.144497102,0
KAVA.V,D,20220308,000000,3.02391,3.32567,2.9909,3.0216,2558507.991564114,0
KAVA.V,D,20220309,000000,3.0196,3.33467,3.0176,3.22232,1078690.1829149623,0
KAVA.V,D,20220310,000000,3.22532,3.24765,3.0116,3.14026,858276.138516475,0
KAVA.V,D,20220311,000000,3.14326,3.21629,3.0196,3.07962,992972.0507118538,0
KAVA.V,D,20220312,000000,3.07762,3.13431,3.04461,3.08031,319087.08074515854,0
KAVA.V,D,20220313,000000,3.08092,3.12863,2.93488,2.94388,429722.1757688278,0
KAVA.V,D,20220314,000000,2.93159,3.05231,2.92229,3.02761,908714.0247127949,0
KAVA.V,D,20220315,000000,3.0273,3.07531,2.9513,3.03491,568221.4079592155,0
KAVA.V,D,20220316,000000,3.03491,3.17695,2.9919,3.15295,863116.1216057984,0
KAVA.V,D,20220317,000000,3.15395,3.26298,3.12394,3.1986,600126.955055557,0
KAVA.V,D,20220318,000000,3.1946,3.38569,3.17227,3.30565,1853236.4193435756,0
KAVA.V,D,20220319,000000,3.31032,3.48674,3.30431,3.39736,1141536.7795069674,0
KAVA.V,D,20220320,000000,3.3987,3.59544,3.36568,3.53377,1598104.92240258,0
KAVA.V,D,20220321,000000,3.52476,3.59744,3.38735,3.53777,1051419.0907415953,0
KAVA.V,D,20220322,000000,3.53541,3.78289,3.50475,3.72049,1791143.3262283572,0
KAVA.V,D,20220323,000000,3.71786,3.92857,3.67784,3.86655,1784429.8273917686,0
KAVA.V,D,20220324,000000,3.86693,3.90695,3.71148,3.8059,996194.4989211258,0
KAVA.V,D,20220325,000000,3.8039,3.83392,3.68784,3.71886,840990.911051719,0
KAVA.V,D,20220326,000000,3.71886,4.01301,3.71248,3.88494,2143590.7159895403,0
KAVA.V,D,20220327,000000,3.88694,4.13765,3.82953,4.10364,1525788.5371198407,0
KAVA.V,D,20220328,000000,4.10623,4.84394,4.04721,4.47279,9352359.525873046,0
KAVA.V,D,20220329,000000,4.47424,4.93097,4.3383,4.48124,4492668.959313479,0
KAVA.V,D,20220330,000000,4.47724,4.65533,4.39376,4.52436,1769931.5745554387,0
KAVA.V,D,20220331,000000,4.53036,4.67794,4.35831,4.4899,1799113.5385730802,0
KAVA.V,D,20220401,000000,4.49335,4.97099,4.25328,4.44333,5703325.185291266,0
KAVA.V,D,20220402,000000,4.45189,4.65186,4.38932,4.57083,1906378.8723632472,0
KAVA.V,D,20220403,000000,4.56783,4.61238,4.3483,4.56837,1320527.4235920585,0
KAVA.V,D,20220404,000000,4.58237,4.64686,4.27128,4.44333,1410607.0917359274,0
KAVA.V,D,20220405,000000,4.44833,4.55837,4.28443,4.34143,957201.096483897,0
KAVA.V,D,20220406,000000,4.34187,4.53245,4.06241,4.475,3240913.0866636937,0
KAVA.V,D,20220407,000000,4.47345,4.78648,4.149,4.59246,4632230.819032652,0
KAVA.V,D,20220408,000000,4.59446,5.02501,4.58046,4.70788,4685556.8320799,0
KAVA.V,D,20220409,000000,4.70788,5.02751,4.48535,4.60238,5102102.646620914,0
KAVA.V,D,20220410,000000,4.61038,4.90547,4.3473,4.75795,3307490.5146056,0
