<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STRAX.V,D,20220515,000000,0.684971,0.787974,0.609207,0.67612,1045875.259425766,0
STRAX.V,D,20220516,000000,0.679184,0.681182,0.567205,0.588234,352896.6718342335,0
STRAX.V,D,20220517,000000,0.590232,0.606272,0.573196,0.59928,184043.55076252532,0
STRAX.V,D,20220518,000000,0.606211,0.615261,0.538353,0.550284,181879.48432091455,0
STRAX.V,D,20220519,000000,0.548231,0.591171,0.504344,0.555444,812138.1366633818,0
STRAX.V,D,20220520,000000,0.553446,0.573541,0.522372,0.535357,114670.82112790017,0
STRAX.V,D,20220521,000000,0.53236,0.55328,0.530363,0.548286,90289.41635522674,0
STRAX.V,D,20220522,000000,0.547233,0.621254,0.546289,0.592229,408968.820635,0
STRAX.V,D,20220523,000000,0.602276,0.626373,0.590291,0.598281,198235.8280005949,0
STRAX.V,D,20220524,000000,0.587294,0.833083,0.550339,0.579188,2990988.501726534,0
STRAX.V,D,20220525,000000,0.582242,0.660273,0.568317,0.580361,1008864.4635831723,0
STRAX.V,D,20220526,000000,0.581302,0.647287,0.530416,0.559384,991519.1547019964,0
STRAX.V,D,20220527,000000,0.561382,0.666266,0.545399,0.555444,1007942.9521562322,0
STRAX.V,D,20220528,000000,0.556365,0.568277,0.54732,0.558352,137699.14707272718,0
STRAX.V,D,20220529,000000,0.557336,0.604334,0.55434,0.576388,410048.9733010116,0
STRAX.V,D,20220530,000000,0.576354,0.616568,0.573374,0.61357,218956.36402000085,0
STRAX.V,D,20220531,000000,0.612571,0.620503,0.591526,0.600519,123749.31638726992,0
STRAX.V,D,20220601,000000,0.600531,0.693382,0.58847,0.593465,1176855.640186885,0
STRAX.V,D,20220602,000000,0.590409,0.645419,0.589469,0.627435,479846.3246928159,0
STRAX.V,D,20220603,000000,0.628434,0.64442,0.599436,0.612467,118483.00733908368,0
STRAX.V,D,20220604,000000,0.612473,0.616414,0.588382,0.603541,3125236.9954639217,0
STRAX.V,D,20220605,000000,0.604546,0.776347,0.597516,0.656389,6405370.554969519,0
STRAX.V,D,20220606,000000,0.656382,0.675446,0.626442,0.65445,8632280.970323246,0
STRAX.V,D,20220607,000000,0.65445,0.667446,0.613478,0.643498,4739849.466253227,0
STRAX.V,D,20220608,000000,0.643517,0.646457,0.618542,0.6246,2337859.0773896975,0
STRAX.V,D,20220609,000000,0.6246,0.673481,0.619541,0.628472,2151731.46320359,0
STRAX.V,D,20220610,000000,0.628465,0.629464,0.570406,0.581261,1836187.0529173645,0
STRAX.V,D,20220611,000000,0.580256,0.604359,0.529338,0.541377,520147.38446783856,0
STRAX.V,D,20220612,000000,0.542381,0.550366,0.496299,0.51536,937709.5719168461,0
STRAX.V,D,20220613,000000,0.510366,0.51534,0.420369,0.447364,3810000.775486632,0
STRAX.V,D,20220614,000000,0.447382,0.447382,0.37645,0.412504,15823925.993785331,0
