<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EGLD.V,D,20200903,000000,18.02,21.53,16.93,17.79,0,0
EGLD.V,D,20200904,000000,17.79,20.12,16.74,17.62,0,0
EGLD.V,D,20200905,000000,17.62,17.74,10.42,12.34,0,0
EGLD.V,D,20200906,000000,12.34,16.02,11.29,13.38,0,0
EGLD.V,D,20200907,000000,13.38,13.66,11.52,13.23,0,0
EGLD.V,D,20200908,000000,13.23,15.52,13.22,14.04,0,0
EGLD.V,D,20200909,000000,14.04,15.38,13.7,15.1,0,0
EGLD.V,D,20200910,000000,15.1,15.69,13.81,13.95,0,0
EGLD.V,D,20200911,000000,13.95,15.31,13.49,14.32,0,0
EGLD.V,D,20200912,000000,14.32,14.42,13.14,13.93,0,0
EGLD.V,D,20200913,000000,13.93,14.3,12.8,13.31,0,0
EGLD.V,D,20200914,000000,13.31,14.41,12.43,13.98,0,0
EGLD.V,D,20200915,000000,13.98,14.95,12.86,13.06,0,0
EGLD.V,D,20200916,000000,13.06,13.06,11.83,12.59,0,0
EGLD.V,D,20200917,000000,12.59,12.88,11.76,12.07,0,0
EGLD.V,D,20200918,000000,12.07,12.31,10.81,11.23,0,0
EGLD.V,D,20200919,000000,11.23,12.24,11.19,11.96,0,0
EGLD.V,D,20200920,000000,11.96,12.21,9.782,10.73,0,0
EGLD.V,D,20200921,000000,10.73,10.94,8.438,8.818,0,0
EGLD.V,D,20200922,000000,8.818,9.109,8.18,8.718,0,0
EGLD.V,D,20200923,000000,8.718,9.507,8.309,8.819,0,0
EGLD.V,D,20200924,000000,8.819,9.256,8.718,9.246,0,0
EGLD.V,D,20200925,000000,9.246,10.49,9.148,10.01,0,0
EGLD.V,D,20200926,000000,10.01,10.81,9.975,10.42,0,0
EGLD.V,D,20200927,000000,10.42,10.51,9.623,10.05,0,0
EGLD.V,D,20200928,000000,10.05,10.51,9.868,10.01,0,0
EGLD.V,D,20200929,000000,10.01,10.34,9.944,10.27,0,0
EGLD.V,D,20200930,000000,10.27,10.62,10.08,10.37,0,0
