<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRX.V,D,20171010,000000,0.00179,0.00256,0.00168,0.00255,0,0
TRX.V,D,20171011,000000,0.00255,0.00339,0.00166,0.0025,0,0
TRX.V,D,20171012,000000,0.0025,0.00293,0.0018,0.0018,0,0
TRX.V,D,20171013,000000,0.0018,0.00288,0.0018,0.00201,0,0
TRX.V,D,20171014,000000,0.00201,0.00293,0.00199,0.00274,0,0
TRX.V,D,20171015,000000,0.00274,0.00292,0.00199,0.00225,0,0
TRX.V,D,20171016,000000,0.00297,0.00392,0.00198,0.00253,0,0
TRX.V,D,20171017,000000,0.00253,0.00253,0.00177,0.00218,0,0
TRX.V,D,20171018,000000,0.002,0.00216,0.00184,0.00192,0,0
TRX.V,D,20171019,000000,0.00192,0.00217,0.00178,0.0018,0,0
TRX.V,D,20171020,000000,0.0018,0.00214,0.00178,0.00213,0,0
TRX.V,D,20171021,000000,0.00213,0.00256,0.00183,0.00234,0,0
TRX.V,D,20171022,000000,0.00234,0.00265,0.00205,0.00265,0,0
TRX.V,D,20171023,000000,0.00265,0.00319,0.00217,0.00312,0,0
TRX.V,D,20171024,000000,0.00312,0.00314,0.00215,0.00266,0,0
TRX.V,D,20171025,000000,0.00266,0.004,0.00266,0.004,0,0
TRX.V,D,20171026,000000,0.004,0.00412,0.00252,0.00296,0,0
TRX.V,D,20171027,000000,0.00296,0.00379,0.00261,0.00312,0,0
TRX.V,D,20171028,000000,0.00312,0.00369,0.0029,0.00368,0,0
TRX.V,D,20171029,000000,0.00368,0.00469,0.00264,0.00269,0,0
TRX.V,D,20171030,000000,0.00269,0.0037,0.00228,0.00262,0,0
TRX.V,D,20171031,000000,0.00262,0.0034,0.00249,0.00278,0,0
TRX.V,D,20171101,000000,0.00278,0.00283,0.00221,0.00222,0,0
TRX.V,D,20171102,000000,0.00222,0.0027,0.00202,0.00212,0,0
TRX.V,D,20171103,000000,0.00212,0.00263,0.00212,0.00217,0,0
TRX.V,D,20171104,000000,0.00217,0.0026,0.00215,0.00218,0,0
TRX.V,D,20171105,000000,0.00218,0.00255,0.00215,0.00248,0,0
TRX.V,D,20171106,000000,0.00248,0.00248,0.00182,0.00183,0,0
TRX.V,D,20171107,000000,0.00183,0.00234,0.00183,0.00231,0,0
TRX.V,D,20171108,000000,0.00231,0.00247,0.00215,0.00236,0,0
TRX.V,D,20171109,000000,0.00236,0.00246,0.00225,0.00243,0,0
TRX.V,D,20171110,000000,0.00243,0.00243,0.002,0.00228,0,0
TRX.V,D,20171111,000000,0.00228,0.00233,0.00181,0.00225,0,0
TRX.V,D,20171112,000000,0.00225,0.0031,0.00157,0.00185,0,0
TRX.V,D,20171113,000000,0.00185,0.0023,0.00177,0.00215,0,0
TRX.V,D,20171114,000000,0.00215,0.00263,0.00203,0.0025,0,0
TRX.V,D,20171115,000000,0.0025,0.00262,0.0021,0.0023,0,0
TRX.V,D,20171116,000000,0.0023,0.00235,0.0019,0.0022,0,0
TRX.V,D,20171117,000000,0.0022,0.0023,0.002,0.002,0,0
TRX.V,D,20171118,000000,0.002,0.0022,0.00175,0.00193,0,0
TRX.V,D,20171119,000000,0.00193,0.00206,0.00192,0.00196,0,0
TRX.V,D,20171120,000000,0.00196,0.00224,0.00196,0.00215,0,0
TRX.V,D,20171121,000000,0.00215,0.00225,0.00183,0.00212,0,0
TRX.V,D,20171122,000000,0.00212,0.003,0.00212,0.00253,0,0
TRX.V,D,20171123,000000,0.00253,0.003,0.0022,0.00233,0,0
TRX.V,D,20171124,000000,0.00233,0.0026,0.00195,0.0021,0,0
TRX.V,D,20171125,000000,0.0021,0.00227,0.00196,0.002,0,0
TRX.V,D,20171126,000000,0.002,0.00248,0.002,0.00208,0,0
TRX.V,D,20171127,000000,0.00208,0.00235,0.00201,0.00209,0,0
TRX.V,D,20171128,000000,0.00209,0.00275,0.00201,0.00226,0,0
TRX.V,D,20171129,000000,0.00226,0.00294,0.00186,0.00215,0,0
TRX.V,D,20171130,000000,0.00215,0.00242,0.00204,0.0022,0,0
TRX.V,D,20171201,000000,0.0022,0.00239,0.00205,0.00206,0,0
TRX.V,D,20171202,000000,0.00206,0.0022,0.002,0.00202,0,0
TRX.V,D,20171203,000000,0.00202,0.0022,0.00195,0.002,0,0
TRX.V,D,20171204,000000,0.002,0.00219,0.0019,0.00212,0,0
TRX.V,D,20171205,000000,0.00212,0.0022,0.00202,0.00204,0,0
TRX.V,D,20171206,000000,0.00204,0.00419,0.00204,0.00386,0,0
TRX.V,D,20171207,000000,0.00386,0.00591,0.00294,0.00364,0,0
TRX.V,D,20171208,000000,0.00364,0.00414,0.00287,0.00404,0,0
