<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DGB.V,D,20220514,000000,0.0125673,0.0128008,0.0111277,0.0125724,61324797.581533,0
DGB.V,D,20220515,000000,0.0125923,0.013354,0.0123028,0.013354,27857894.547318,0
DGB.V,D,20220516,000000,0.0133526,0.0137848,0.0118222,0.0121542,49848544.590113,0
DGB.V,D,20220517,000000,0.0122141,0.0132741,0.0117723,0.0129731,21896564.202599,0
DGB.V,D,20220518,000000,0.0130031,0.0133926,0.0113452,0.0114251,27581320.42725,0
DGB.V,D,20220519,000000,0.011424,0.0124088,0.0109358,0.0122477,20227144.79945,0
DGB.V,D,20220520,000000,0.012209,0.0129058,0.0112454,0.0114662,26061875.210049,0
DGB.V,D,20220521,000000,0.0114851,0.0125537,0.0113164,0.0120843,33603866.928626,0
DGB.V,D,20220522,000000,0.0120431,0.0129644,0.0120132,0.0126648,28157165.273689,0
DGB.V,D,20220523,000000,0.0127147,0.0134665,0.0123252,0.012515,26409679.070901,0
DGB.V,D,20220524,000000,0.0124351,0.0126661,0.0115673,0.0121841,26314454.833569,0
DGB.V,D,20220525,000000,0.0121742,0.0125649,0.011817,0.0121953,30612255.866954,0
DGB.V,D,20220526,000000,0.0122265,0.0122265,0.0106971,0.0113586,36295524.969557,0
DGB.V,D,20220527,000000,0.0113475,0.0114186,0.0105994,0.010969,23317753.533123,0
DGB.V,D,20220528,000000,0.0109175,0.0112565,0.0107084,0.0110172,33248214.019094,0
DGB.V,D,20220529,000000,0.0110069,0.0118569,0.0107292,0.0118379,31153110.24405,0
DGB.V,D,20220530,000000,0.0118468,0.012791,0.011787,0.0126599,25134671.507641,0
DGB.V,D,20220531,000000,0.0126499,0.0129496,0.0121303,0.0126798,21473224.225381,0
DGB.V,D,20220601,000000,0.0127001,0.0129608,0.0111888,0.0112399,25711456.934179,0
DGB.V,D,20220602,000000,0.0112203,0.0115896,0.0110201,0.0112499,33538752.197462,0
DGB.V,D,20220603,000000,0.0112499,0.0114814,0.0105716,0.0110205,24765364.05197,0
DGB.V,D,20220604,000000,0.0110105,0.0113308,0.010569,0.0110516,138577165.15136,0
DGB.V,D,20220605,000000,0.0110718,0.0114508,0.0108625,0.0113293,166949709.46179,0
DGB.V,D,20220606,000000,0.0113193,0.0121002,0.0111494,0.0116502,355415425.71998,0
DGB.V,D,20220607,000000,0.0116502,0.0135678,0.0107908,0.0127196,321884974.39082,0
DGB.V,D,20220608,000000,0.0127194,0.0129603,0.0116717,0.0120522,194917071.5565,0
DGB.V,D,20220609,000000,0.0120322,0.0128901,0.0117213,0.0121898,172071424.32076,0
DGB.V,D,20220610,000000,0.0121696,0.012439,0.0112281,0.0116652,368269651.20218,0
DGB.V,D,20220611,000000,0.011665,0.0118672,0.0102182,0.0105179,112755413.24887,0
DGB.V,D,20220612,000000,0.010518,0.0108654,0.0096782,0.0102074,55709181.977905,0
DGB.V,D,20220613,000000,0.0101775,0.0102275,0.0086143,0.009337,478954071.82326,0
DGB.V,D,20220614,000000,0.0093471,0.0102346,0.008647,0.0090791,883217424.30541,0
DGB.V,D,20220615,000000,0.0090691,0.0097773,0.0085654,0.0097154,517910312.51263,0
DGB.V,D,20220616,000000,0.0097154,0.00985914,0.00901916,0.00917805,285525168.32327,0
DGB.V,D,20220617,000000,0.00893756,0.0095275,0.00884777,0.00922891,233301395.74852,0
DGB.V,D,20220618,000000,0.00922891,0.00942886,0.00800813,0.00868591,693626600.36942,0
DGB.V,D,20220619,000000,0.00867592,0.00964841,0.00852634,0.00946768,162159666.18755,0
DGB.V,D,20220620,000000,0.00946862,0.00980019,0.0089883,0.00949954,128468233.30425,0
DGB.V,D,20220621,000000,0.00952855,0.01056942,0.00938872,0.0100789,76994000.954004,0
DGB.V,D,20220622,000000,0.01012986,0.01036962,0.0093906,0.00951048,74244576.372286,0
DGB.V,D,20220623,000000,0.00956043,0.01037961,0.0093906,0.01020978,55208577.758356,0
DGB.V,D,20220624,000000,0.01022976,0.01136113,0.0101898,0.01131117,300741706.83422,0
DGB.V,D,20220625,000000,0.01130868,0.01137203,0.01037284,0.01133206,187136144.09417,0
DGB.V,D,20220626,000000,0.01133206,0.01146209,0.01053368,0.01078342,135781616.25838,0
DGB.V,D,20220627,000000,0.01078342,0.01078342,0.0099908,0.01013108,39481670.238437,0
DGB.V,D,20220628,000000,0.01019102,0.01035005,0.00942029,0.00944836,56988488.742734,0
DGB.V,D,20220629,000000,0.00945816,0.00949878,0.00893604,0.00935876,150058892.63376,0
DGB.V,D,20220630,000000,0.00937873,0.0094086,0.00857935,0.00903914,92894642.503439,0
DGB.V,D,20220701,000000,0.00903914,0.00945054,0.00879855,0.00913902,219316455.56611,0
DGB.V,D,20220702,000000,0.0091699,0.00927978,0.00891019,0.00924889,272026810.6489,0
DGB.V,D,20220703,000000,0.00924889,0.00948765,0.00888843,0.00931787,126897561.24467,0
DGB.V,D,20220704,000000,0.00931787,0.00958848,0.00903824,0.00946862,29413897.290758,0
DGB.V,D,20220705,000000,0.00945864,0.00967934,0.00904913,0.00950953,34580742.718749,0
DGB.V,D,20220706,000000,0.00951856,0.00986913,0.00920986,0.00963939,44278319.178449,0
DGB.V,D,20220707,000000,0.00964841,0.01064361,0.00964841,0.01042374,44695510.332561,0
DGB.V,D,20220708,000000,0.01037377,0.01084349,0.0101639,0.01057365,55760665.224202,0
DGB.V,D,20220709,000000,0.01059364,0.01093344,0.01033276,0.01085348,34023361.937304,0
DGB.V,D,20220710,000000,0.01085348,0.01091345,0.00997401,0.01014391,19290686.955272,0
DGB.V,D,20220711,000000,0.01014513,0.01018389,0.00931161,0.00934159,47119587.497761,0
DGB.V,D,20220712,000000,0.00934159,0.00935064,0.00894105,0.00894105,141273190.91305,0
DGB.V,D,20220713,000000,0.00894141,0.00920079,0.0084407,0.0089919,775718212.35259,0
DGB.V,D,20220714,000000,0.0089919,0.00940435,0.00885291,0.00923446,580698684.19131,0
DGB.V,D,20220715,000000,0.00923446,0.01042687,0.00922354,0.01042687,775916093.81295,0
DGB.V,D,20220716,000000,0.01041687,0.01172648,0.00993602,0.010157,2502651338.2893,0
DGB.V,D,20220717,000000,0.010158,0.0106076,0.0099681,0.0101273,875874905.79588,0
DGB.V,D,20220718,000000,0.0101273,0.011069,0.0099767,0.0106376,958321669.49531,0
DGB.V,D,20220719,000000,0.0106376,0.01159,0.0106374,0.0115518,508898629.39218,0
DGB.V,D,20220720,000000,0.01152,0.0120616,0.0107505,0.0110306,590204568.99789,0
DGB.V,D,20220721,000000,0.0110306,0.011152,0.0105305,0.0110827,664071708.258,0
DGB.V,D,20220722,000000,0.0111227,0.0116834,0.0106314,0.0106523,885067982.20404,0
DGB.V,D,20220723,000000,0.01067,0.0109924,0.0104014,0.010642,755310436.66461,0
DGB.V,D,20220724,000000,0.0106211,0.0109491,0.0105707,0.010742,578263856.86406,0
DGB.V,D,20220725,000000,0.0107521,0.0109909,0.0101916,0.0104508,1001814370.8458,0
DGB.V,D,20220726,000000,0.0104508,0.010461,0.0095604,0.0099015,894023445.41557,0
DGB.V,D,20220727,000000,0.0099,0.0105527,0.0098407,0.0105124,625812072.92074,0
DGB.V,D,20220728,000000,0.0105325,0.0112637,0.0104617,0.0111222,651776574.63833,0
DGB.V,D,20220729,000000,0.0110929,0.0118141,0.0110829,0.0113046,892833150.92306,0
DGB.V,D,20220730,000000,0.0113046,0.0120542,0.0111644,0.0115838,717708613.86033,0
DGB.V,D,20220731,000000,0.0115939,0.0132727,0.0112531,0.0127529,1141853456.0595,0
DGB.V,D,20220801,000000,0.0125538,0.012555,0.0112821,0.0113532,885170052.71482,0
DGB.V,D,20220802,000000,0.0114534,0.0115443,0.0107731,0.0112519,657528095.5415,0
DGB.V,D,20220803,000000,0.0112521,0.0116129,0.0108729,0.0114929,983696937.56475,0
DGB.V,D,20220804,000000,0.0114626,0.0119511,0.0110823,0.0116904,753783763.86446,0
DGB.V,D,20220805,000000,0.0116704,0.0127117,0.0115703,0.0125924,1160243471.5185,0
DGB.V,D,20220806,000000,0.0125924,0.0126304,0.012252,0.0126229,814200530.21492,0
DGB.V,D,20220807,000000,0.0126128,0.0128632,0.0121915,0.0124722,907346532.85419,0
DGB.V,D,20220808,000000,0.0124724,0.0127518,0.0122415,0.0125816,557259841.06343,0
DGB.V,D,20220809,000000,0.0125915,0.0168329,0.0123721,0.0130826,3706906213.0047,0
DGB.V,D,20220810,000000,0.0130726,0.0131034,0.0122024,0.0128737,1342815171.8055,0
DGB.V,D,20220811,000000,0.0128639,0.013246,0.0128337,0.0131362,744372532.99436,0
DGB.V,D,20220812,000000,0.0131362,0.0138469,0.0126763,0.0133862,673180989.53169,0
DGB.V,D,20220813,000000,0.0133862,0.0135681,0.0131658,0.0133552,679576067.4967,0
DGB.V,D,20220814,000000,0.0133852,0.0139038,0.0129734,0.0134342,698731277.99693,0
DGB.V,D,20220815,000000,0.0134342,0.0135637,0.012412,0.0126129,741999546.17917,0
DGB.V,D,20220816,000000,0.0126232,0.0130417,0.0124017,0.0126311,670246752.63964,0
DGB.V,D,20220817,000000,0.0126311,0.013111,0.0117109,0.0117109,615211499.73584,0
DGB.V,D,20220818,000000,0.0117508,0.0122602,0.0117311,0.0120704,468682947.79579,0
DGB.V,D,20220819,000000,0.0120712,0.0121112,0.01044,0.0105311,688086602.23625,0
DGB.V,D,20220820,000000,0.0105305,0.0134909,0.0102092,0.0104099,1400074883.2708,0
DGB.V,D,20220821,000000,0.0103198,0.0108797,0.0103095,0.0108398,460317321.20434,0
DGB.V,D,20220822,000000,0.0108498,0.0129995,0.010159,0.0106482,1679052011.6154,0
DGB.V,D,20220823,000000,0.0106481,0.0111684,0.0105097,0.0110002,851484740.06053,0
DGB.V,D,20220824,000000,0.0109989,0.0112207,0.0108392,0.011161,615887008.1365,0
DGB.V,D,20220825,000000,0.0111509,0.0115798,0.0108505,0.0112303,898788155.34617,0
DGB.V,D,20220826,000000,0.0112303,0.0112603,0.0102791,0.010321,660974562.6729,0
DGB.V,D,20220827,000000,0.0103709,0.0103809,0.0098804,0.0099803,643961561.21592,0
DGB.V,D,20220828,000000,0.0099803,0.0102703,0.0099588,0.01022,665939026.27431,0
DGB.V,D,20220829,000000,0.01022,0.0104011,0.009769,0.0103206,613024344.29819,0
DGB.V,D,20220830,000000,0.010311,0.0115798,0.0098801,0.0101908,1626899683.533,0
DGB.V,D,20220831,000000,0.0102008,0.0109099,0.0101307,0.0107499,827771917.1743,0
DGB.V,D,20220901,000000,0.0107498,0.0107703,0.0101397,0.0104895,840958666.79083,0
DGB.V,D,20220902,000000,0.0104895,0.0106305,0.0103016,0.0103115,754617890.23878,0
DGB.V,D,20220903,000000,0.0103116,0.0105111,0.0103115,0.01039,593646497.80199,0
DGB.V,D,20220904,000000,0.01039,0.0106911,0.01022,0.01057,584530766.47722,0
DGB.V,D,20220905,000000,0.01063,0.0107811,0.01032,0.010381,606861244.43093,0
DGB.V,D,20220906,000000,0.010371,0.0106511,0.0094991,0.00962,632786431.24152,0
DGB.V,D,20220907,000000,0.00962,0.0099407,0.0092794,0.0099207,770330562.8068,0
DGB.V,D,20220908,000000,0.0099307,0.0100418,0.0097101,0.0100315,817387628.47547,0
DGB.V,D,20220909,000000,0.01003,0.010813,0.009991,0.0106236,791445728.96643,0
DGB.V,D,20220910,000000,0.0106238,0.0108655,0.0105535,0.010712,585676152.20828,0
DGB.V,D,20220911,000000,0.0106621,0.0109735,0.0106528,0.0107827,765759258.13067,0
DGB.V,D,20220912,000000,0.0107927,0.0111622,0.0105522,0.010922,734540484.78232,0
DGB.V,D,20220913,000000,0.0109233,0.0110922,0.0099501,0.0099702,810072348.77566,0
DGB.V,D,20220914,000000,0.009971,0.0100814,0.00978,0.0100125,583131637.53383,0
DGB.V,D,20220915,000000,0.0100125,0.0101527,0.0096576,0.0097191,889141905.27103,0
DGB.V,D,20220916,000000,0.0097194,0.00978,0.009519,0.00969903,499494401.22246,0
DGB.V,D,20220917,000000,0.00971,0.010031,0.00970903,0.009981,720583062.76314,0
DGB.V,D,20220918,000000,0.00998,0.010031,0.00908909,0.00916,874407113.30256,0
DGB.V,D,20220919,000000,0.00916,0.00941188,0.00891911,0.00940188,699868046.57968,0
DGB.V,D,20220920,000000,0.00940094,0.0094819,0.00917,0.00922092,638433635.62563,0
DGB.V,D,20220921,000000,0.00921018,0.00959096,0.00886,0.00886,578907102.97154,0
DGB.V,D,20220922,000000,0.00886,0.00949,0.00883,0.00948,605611151.62128,0
DGB.V,D,20220923,000000,0.00946095,0.00979,0.00917908,0.00939,591780004.8159,0
DGB.V,D,20220924,000000,0.00952933,0.00964,0.00943953,0.00952076,666260736.78388,0
DGB.V,D,20220925,000000,0.00952,0.00953057,0.00922972,0.00923,482475538.93498,0
DGB.V,D,20220926,000000,0.00923,0.00927093,0.00899,0.00921,483256680.99963,0
DGB.V,D,20220927,000000,0.00921,0.01006,0.00916908,0.00935906,823317591.9983,0
DGB.V,D,20220928,000000,0.00935906,0.00955,0.0090491,0.00954,473416156.02962,0
DGB.V,D,20220929,000000,0.00954,0.00955,0.00924907,0.00945095,555859546.80294,0
