<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CTSI.V,D,20220514,000000,0.192372,0.19415,0.165751,0.181645,4733634.9382171,0
CTSI.V,D,20220515,000000,0.181745,0.20691,0.181228,0.194347,7121156.9046244,0
CTSI.V,D,20220516,000000,0.194647,0.202477,0.177968,0.191151,3658446.7970104,0
CTSI.V,D,20220517,000000,0.193548,0.205374,0.18612,0.203755,3878477.6541403,0
CTSI.V,D,20220518,000000,0.203735,0.211525,0.183661,0.185758,3406601.7904293,0
CTSI.V,D,20220519,000000,0.186457,0.199021,0.174925,0.190928,3639463.0926273,0
CTSI.V,D,20220520,000000,0.18941,0.197222,0.177769,0.18278,2214473.6678325,0
CTSI.V,D,20220521,000000,0.18308,0.193348,0.178785,0.182263,3123313.6883024,0
CTSI.V,D,20220522,000000,0.182245,0.196844,0.180665,0.189972,4616105.8118549,0
CTSI.V,D,20220523,000000,0.190571,0.200399,0.178086,0.180084,11066814.608568,0
CTSI.V,D,20220524,000000,0.179884,0.191651,0.170096,0.191451,10703530.369229,0
CTSI.V,D,20220525,000000,0.191651,0.193767,0.18288,0.189073,4674670.7380501,0
CTSI.V,D,20220526,000000,0.189073,0.19089,0.171993,0.183416,5914864.3568496,0
CTSI.V,D,20220527,000000,0.183616,0.186214,0.171428,0.176705,5954877.8526511,0
CTSI.V,D,20220528,000000,0.176099,0.18421,0.173583,0.180389,5996598.566138,0
CTSI.V,D,20220529,000000,0.180185,0.194797,0.174823,0.192786,5203975.4258052,0
CTSI.V,D,20220530,000000,0.193306,0.205992,0.190428,0.198561,8940189.8271377,0
CTSI.V,D,20220531,000000,0.19976,0.218247,0.193526,0.209511,15686789.95095,0
CTSI.V,D,20220601,000000,0.210332,0.216246,0.179402,0.189329,12290178.386106,0
CTSI.V,D,20220602,000000,0.189329,0.203517,0.187013,0.20002,9859905.5352527,0
CTSI.V,D,20220603,000000,0.19932,0.2126,0.184053,0.207919,13892134.122375,0
CTSI.V,D,20220604,000000,0.207919,0.226062,0.198733,0.201347,42993725.40779,0
CTSI.V,D,20220605,000000,0.201349,0.224595,0.196141,0.220792,30568732.580475,0
CTSI.V,D,20220606,000000,0.220992,0.238699,0.210323,0.215017,61948703.051958,0
