<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLOW.V,D,20210128,000000,6.55,7.94,6.011,7,0,0
FLOW.V,D,20210129,000000,7,7.295,6.228,6.25,0,0
FLOW.V,D,20210130,000000,6.25,9.361,6.21,9.023,0,0
FLOW.V,D,20210131,000000,9.023,12.21,8.526,9.74,0,0
FLOW.V,D,20210201,000000,9.74,12.1,9.64,9.835,0,0
FLOW.V,D,20210202,000000,9.835,11.64,8.8,9.383,0,0
FLOW.V,D,20210203,000000,9.383,9.601,8.789,8.789,0,0
FLOW.V,D,20210204,000000,8.789,9.025,7.931,8.694,0,0
FLOW.V,D,20210205,000000,8.694,10.99,8.588,10.79,0,0
FLOW.V,D,20210206,000000,10.79,11,9.611,10.44,0,0
FLOW.V,D,20210207,000000,10.44,10.66,9.917,10.09,0,0
FLOW.V,D,20210208,000000,10.09,10.67,9.9,10.08,0,0
FLOW.V,D,20210209,000000,10.08,11.37,10.05,11.36,0,0
FLOW.V,D,20210210,000000,11.36,12,11.1,11.42,0,0
FLOW.V,D,20210211,000000,11.42,12.66,11.41,12.66,0,0
FLOW.V,D,20210212,000000,12.66,15,12.66,14.68,0,0
FLOW.V,D,20210213,000000,14.68,15.18,13.9,14.77,0,0
FLOW.V,D,20210214,000000,14.77,18.74,14.38,17.87,0,0
FLOW.V,D,20210215,000000,17.87,20.17,16.2,19.2,0,0
FLOW.V,D,20210216,000000,19.2,19.39,17.33,19.18,0,0
FLOW.V,D,20210217,000000,19.18,19.55,16.83,17.23,0,0
FLOW.V,D,20210218,000000,17.23,19.79,17.14,19.12,0,0
FLOW.V,D,20210219,000000,19.12,19.15,18.42,18.82,0,0
FLOW.V,D,20210220,000000,18.82,19,18.31,18.74,0,0
FLOW.V,D,20210221,000000,18.74,30,18.56,21.9,0,0
FLOW.V,D,20210222,000000,21.9,23.3,18.5,22.63,0,0
FLOW.V,D,20210223,000000,22.63,23.8,18.65,21.41,0,0
FLOW.V,D,20210224,000000,21.41,23,19.9,20.94,0,0
FLOW.V,D,20210225,000000,20.94,21.91,19.42,20.33,0,0
FLOW.V,D,20210226,000000,20.33,20.69,18.38,19.87,0,0
FLOW.V,D,20210227,000000,19.87,21.3,19.41,20.54,0,0
FLOW.V,D,20210228,000000,20.54,22,19.27,20.86,0,0
FLOW.V,D,20210301,000000,20.86,30,20.85,28.47,0,0
FLOW.V,D,20210302,000000,28.47,30.2,26.7,29.82,0,0
FLOW.V,D,20210303,000000,29.82,38,28.85,32.46,0,0
FLOW.V,D,20210304,000000,32.46,41.28,31.85,39.03,0,0
FLOW.V,D,20210305,000000,39.03,39.43,34.61,34.75,0,0
FLOW.V,D,20210306,000000,34.75,35.46,30.69,34.77,0,0
FLOW.V,D,20210307,000000,34.77,36.5,32.98,34.25,0,0
FLOW.V,D,20210308,000000,34.25,35.74,31.67,32.1,0,0
FLOW.V,D,20210309,000000,32.1,38.41,32.1,35.49,0,0
FLOW.V,D,20210310,000000,35.49,35.59,33.1,34.38,0,0
FLOW.V,D,20210311,000000,34.38,34.38,31.17,32.46,0,0
FLOW.V,D,20210312,000000,32.46,35.29,30.14,35.29,0,0
FLOW.V,D,20210313,000000,35.29,39.02,34.44,37.37,0,0
FLOW.V,D,20210314,000000,37.37,37.62,34.06,36.27,0,0
FLOW.V,D,20210315,000000,36.27,37.18,32.89,34.7,0,0
FLOW.V,D,20210316,000000,34.7,34.81,32.33,33.35,0,0
FLOW.V,D,20210317,000000,33.35,34,31.09,32.23,0,0
FLOW.V,D,20210318,000000,32.11,32.84,31.5,31.54,0,0
FLOW.V,D,20210319,000000,31.54,32.7,31.03,31.62,0,0
FLOW.V,D,20210320,000000,31.62,32.4,31.31,31.31,0,0
FLOW.V,D,20210321,000000,31.31,31.6,29.29,30.12,0,0
