<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WEMIX.V,D,20220514,000000,1.84744,1.84744,1.84744,1.84744,1.18301619,0
WEMIX.V,D,20220515,000000,1.96633,2.09901,1.9257,2.0383,17938.140815824,0
WEMIX.V,D,20220516,000000,2.04498,2.08463,1.87575,1.96519,15238.438754678,0
WEMIX.V,D,20220517,000000,1.96543,2.10215,1.90813,2.04642,16934.561746582,0
WEMIX.V,D,20220518,000000,2.04578,2.08507,1.54507,1.79748,23227.88552032,0
WEMIX.V,D,20220519,000000,1.78103,2.04014,1.69831,1.90234,22429.43092334,0
WEMIX.V,D,20220520,000000,1.89873,2.23346,1.89873,2.15667,35408.982962719,0
WEMIX.V,D,20220521,000000,2.16535,3.0226,2.1137,2.95134,90273.024529046,0
WEMIX.V,D,20220522,000000,2.96173,3.29395,2.81006,3.05238,42736.42270844,0
WEMIX.V,D,20220523,000000,3.05832,3.47608,2.92057,3.38671,31805.922477843,0
WEMIX.V,D,20220524,000000,3.38635,3.49206,2.96503,3.38148,39012.651617572,0
WEMIX.V,D,20220525,000000,3.38114,4.25497,3.28975,4.23598,47563.630272562,0
WEMIX.V,D,20220526,000000,4.23811,4.69323,3.95659,4.48379,64325.321535997,0
WEMIX.V,D,20220527,000000,4.4953,749250.58325,4.14415,4.32624,31811.012062514,0
WEMIX.V,D,20220528,000000,4.34934,4.39209,3.96228,4.13002,23078.07744622,0
WEMIX.V,D,20220529,000000,4.13113,4.31606,3.65318,4.27702,28432.924533963,0
WEMIX.V,D,20220530,000000,4.29158,74933.08197,4.26466,4.56962,29927.379182724,0
WEMIX.V,D,20220531,000000,4.54643,1850.45476,4.21571,4.31517,37564.628294339,0
WEMIX.V,D,20220601,000000,4.3144,300.31312,3.82653,3.8827,29619.677143644,0
WEMIX.V,D,20220602,000000,3.88449,37.62186,3.56145,3.71959,28124.490813811,0
WEMIX.V,D,20220603,000000,3.73707,3.98597,3.48344,3.61179,22211.733955455,0
WEMIX.V,D,20220604,000000,3.60686,3.88459,3.54536,3.82905,15171.844135268,0
WEMIX.V,D,20220605,000000,3.80744,3.89933,3.59923,3.64398,5589.19502529,0
WEMIX.V,D,20220606,000000,3.66171,3.78059,3.63902,3.69781,8991.7293529619,0
WEMIX.V,D,20220607,000000,3.69773,3.70181,3.19179,3.47048,10982.977531197,0
WEMIX.V,D,20220608,000000,3.4879,4.94685,3.137,3.18736,37938.378505926,0
WEMIX.V,D,20220609,000000,3.22654,3.22657,2.94584,3.1326,53855.317868335,0
WEMIX.V,D,20220610,000000,3.05989,4.99575,3.02501,3.47488,16909.26252994,0
WEMIX.V,D,20220611,000000,3.48093,3.78565,3.43231,3.5959,23493.151705939,0
WEMIX.V,D,20220612,000000,3.6277,3.6854,3.15876,3.47811,21747.99722117,0
