<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALICE.V,D,20220517,000000,2.83631,3.15621,2.82604,3.12624,3975163.7813802143,0
ALICE.V,D,20220518,000000,3.13592,3.30603,2.9162,2.9961,6657238.920051937,0
ALICE.V,D,20220519,000000,3.00579,3.12718,2.71728,3.01698,4430797.581385452,0
ALICE.V,D,20220520,000000,3.01728,3.1175,2.75641,2.83659,3377127.64598528,0
ALICE.V,D,20220521,000000,2.83631,3.04603,2.78637,2.93618,2839372.0766641353,0
ALICE.V,D,20220522,000000,2.93618,3.18585,2.88624,3.00639,17921588.912050657,0
ALICE.V,D,20220523,000000,3.00639,3.17682,2.90651,2.94646,10848118.875776764,0
ALICE.V,D,20220524,000000,2.94646,2.96673,2.72672,2.92619,2753014.0028826892,0
ALICE.V,D,20220525,000000,2.91591,2.9964,2.8169,2.9068,3367907.342213854,0
ALICE.V,D,20220526,000000,2.90651,2.94676,2.46704,2.65734,5766294.467968242,0
ALICE.V,D,20220527,000000,2.65707,2.68731,2.43732,2.53721,4532968.076531471,0
ALICE.V,D,20220528,000000,2.51713,2.69711,2.48661,2.66688,2808646.894470459,0
ALICE.V,D,20220529,000000,2.65683,2.89698,2.60736,2.88679,2023798.4453771603,0
ALICE.V,D,20220530,000000,2.89678,3.27639,2.86696,3.11451,7195815.491349443,0
ALICE.V,D,20220531,000000,3.1338,3.32534,2.95493,3.1205,6415834.2486371305,0
ALICE.V,D,20220601,000000,3.1275,3.23863,2.73798,2.79248,3529029.244604878,0
ALICE.V,D,20220602,000000,2.79246,2.89739,2.75724,2.84344,4548122.796224755,0
ALICE.V,D,20220603,000000,2.84743,2.90638,2.6519,2.83653,4509129.834017347,0
ALICE.V,D,20220604,000000,2.83753,3.02543,2.75713,2.96574,6367264.677691358,0
ALICE.V,D,20220605,000000,2.96774,2.98934,2.78763,2.84235,4086593.980243915,0
ALICE.V,D,20220606,000000,2.84732,3.01849,2.78863,2.88055,8054328.117514309,0
ALICE.V,D,20220607,000000,2.87258,2.88757,2.6158,2.79571,6631018.757292038,0
ALICE.V,D,20220608,000000,2.79773,2.9641,2.66227,2.84515,7324932.051680727,0
ALICE.V,D,20220609,000000,2.84615,2.99578,2.75593,2.88657,4804261.169072578,0
ALICE.V,D,20220610,000000,2.88657,2.90059,2.63226,2.69255,6964318.417670589,0
ALICE.V,D,20220611,000000,2.69357,2.71412,2.3331,2.43325,5219537.29057958,0
ALICE.V,D,20220612,000000,2.43422,2.46122,2.15396,2.27819,5793873.057502218,0
ALICE.V,D,20220613,000000,2.27819,2.27819,1.91196,2.05314,19441304.40595668,0
ALICE.V,D,20220614,000000,2.05714,2.18767,1.89917,1.97862,19866778.746654905,0
ALICE.V,D,20220615,000000,1.97663,2.44606,1.84369,2.37543,17524224.625050507,0
ALICE.V,D,20220616,000000,2.38542,2.40439,1.88174,2.0004,5591970.8615831705,0
ALICE.V,D,20220617,000000,1.98723,2.10904,1.95825,2.05753,12656202.15458,0
ALICE.V,D,20220618,000000,2.069,2.07642,1.84658,1.97979,9631491.198095525,0
ALICE.V,D,20220619,000000,1.97979,2.20369,1.97478,2.16718,6968205.812755519,0
ALICE.V,D,20220620,000000,2.16918,2.36264,2.08429,2.14963,3286018.3662698264,0
ALICE.V,D,20220621,000000,2.14763,2.47502,2.12844,2.32044,3990603.5865464387,0
ALICE.V,D,20220622,000000,2.31645,2.36064,2.14064,2.28371,3260819.252216938,0
ALICE.V,D,20220623,000000,2.28371,2.75324,2.28349,2.66034,4262517.42048474,0
ALICE.V,D,20220624,000000,2.66107,2.77322,2.5837,2.68688,3439918.229561026,0
ALICE.V,D,20220625,000000,2.68931,2.859,2.57422,2.79504,3007307.361626837,0
ALICE.V,D,20220626,000000,2.79904,2.92204,2.66038,2.72534,3290578.056730652,0
ALICE.V,D,20220627,000000,2.72534,2.75723,2.54765,2.57371,2065404.1869877148,0
ALICE.V,D,20220628,000000,2.57473,2.70777,2.47897,2.69468,2091153.9388570595,0
ALICE.V,D,20220629,000000,2.68866,2.81467,2.57859,2.64579,3197793.900215348,0
ALICE.V,D,20220630,000000,2.64879,2.66377,2.1702,2.22633,3804624.7109102556,0
ALICE.V,D,20220701,000000,2.23032,2.36563,2.20513,2.24453,1801957.969472846,0
ALICE.V,D,20220702,000000,2.23953,2.26251,2.13444,2.22133,1164596.96054395,0
ALICE.V,D,20220703,000000,2.22533,2.25629,2.14599,2.22011,1820074.327119117,0
ALICE.V,D,20220704,000000,2.22927,2.34175,2.17427,2.30623,1071495.0226614752,0
ALICE.V,D,20220705,000000,2.30223,2.34618,2.16262,2.25751,1388687.7999888558,0
ALICE.V,D,20220706,000000,2.25652,2.31245,2.18637,2.29647,1152963.8382740493,0
ALICE.V,D,20220707,000000,2.29647,2.48726,2.28748,2.41555,2196960.0548148393,0
ALICE.V,D,20220708,000000,2.41555,2.47027,2.28563,2.36058,1380726.4209649093,0
ALICE.V,D,20220709,000000,2.35858,2.42554,2.33836,2.39956,845134.577306945,0
ALICE.V,D,20220710,000000,2.39732,2.41255,2.21867,2.23966,649006.1729913601,0
ALICE.V,D,20220711,000000,2.24265,2.24265,2.11709,2.11809,928952.7692799132,0
