<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STX.V,D,20150513,000000,0.01691,0.01691,0.01655,0.01655,0,0
STX.V,D,20150514,000000,0.01655,0.01658,0.01655,0.01658,0,0
STX.V,D,20150515,000000,0.01658,0.0166,0.01658,0.0166,0,0
STX.V,D,20150516,000000,0.0166,0.0166,0.01654,0.01654,0,0
STX.V,D,20150517,000000,0.01654,0.01654,0.01654,0.01654,0,0
STX.V,D,20150519,000000,0.01628,0.01628,0.01624,0.01624,0,0
STX.V,D,20150520,000000,0.01624,0.02269,0.005863,0.01636,0,0
STX.V,D,20150521,000000,0.01636,0.01671,0.01262,0.01297,0,0
STX.V,D,20150522,000000,0.01297,0.01487,0.006653,0.008656,0,0
STX.V,D,20150523,000000,0.008656,0.01001,0.00675,0.00675,0,0
STX.V,D,20150524,000000,0.00675,0.009851,0.00675,0.009842,0,0
STX.V,D,20150525,000000,0.009842,0.01372,0.007599,0.009853,0,0
STX.V,D,20150526,000000,0.009853,0.01374,0.009853,0.0107,0,0
STX.V,D,20150527,000000,0.0107,0.0107,0.004746,0.00522,0,0
STX.V,D,20150528,000000,0.00522,0.009493,0.003595,0.004996,0,0
STX.V,D,20150529,000000,0.004996,0.004996,0.003591,0.003591,0,0
STX.V,D,20150530,000000,0.003591,0.00465,0.001691,0.001691,0,0
STX.V,D,20150531,000000,0.001691,0.00433,0.001691,0.004326,0,0
STX.V,D,20150602,000000,0.000623,0.000623,0.000567,0.000623,0,0
STX.V,D,20150603,000000,0.000623,0.000623,0.000623,0.000623,0,0
STX.V,D,20150604,000000,0.000623,0.000673,0.000619,0.000673,0,0
STX.V,D,20150605,000000,0.000673,0.000687,0.000673,0.000678,0,0
STX.V,D,20150606,000000,0.000678,0.000678,0.000589,0.000589,0,0
STX.V,D,20150607,000000,0.000589,0.000592,0.000585,0.000592,0,0
STX.V,D,20150608,000000,0.000592,0.000686,0.000592,0.000606,0,0
STX.V,D,20150609,000000,0.000606,0.001836,0.000606,0.000753,0,0
STX.V,D,20150610,000000,0.000753,0.001938,0.00075,0.001938,0,0
STX.V,D,20150612,000000,0.001947,0.001952,0.000754,0.000754,0,0
STX.V,D,20150613,000000,0.000754,0.001532,0.000614,0.000614,0,0
STX.V,D,20150614,000000,0.000616,0.000619,0.000616,0.000619,0,0
STX.V,D,20150615,000000,0.000619,0.001066,0.000483,0.000483,0,0
STX.V,D,20150616,000000,0.000483,0.000585,0.000483,0.000575,0,0
STX.V,D,20150617,000000,0.000575,0.000575,0.000302,0.000302,0,0
STX.V,D,20150619,000000,0.000303,0.000303,0.000298,0.000303,0,0
STX.V,D,20150621,000000,0.000304,0.000818,0.000303,0.000818,0,0
STX.V,D,20150622,000000,0.000818,0.000829,0.000307,0.000307,0,0
STX.V,D,20150623,000000,0.000307,0.000817,0.000302,0.000487,0,0
STX.V,D,20150629,000000,0.000498,0.000514,0.000498,0.000514,0,0
STX.V,D,20150703,000000,0.000133,0.000133,0.000133,0.000133,0,0
STX.V,D,20150708,000000,0.000527,0.000532,0.000527,0.000532,0,0
STX.V,D,20150709,000000,0.000532,0.000538,0.000532,0.000538,0,0
STX.V,D,20150712,000000,0.000438,0.000466,0.000438,0.000466,0,0
STX.V,D,20150716,000000,0.000425,0.000553,0.000415,0.000553,0,0
STX.V,D,20150717,000000,0.00023,0.000232,0.00023,0.000232,0,0
STX.V,D,20150718,000000,0.000232,0.00026,0.000228,0.00026,0,0
STX.V,D,20150719,000000,0.00026,0.00026,0.00026,0.00026,0,0
STX.V,D,20150721,000000,0.000264,0.000267,0.000261,0.000267,0,0
STX.V,D,20150722,000000,0.000162,0.000163,0.000162,0.000163,0,0
STX.V,D,20150724,000000,0.00096,0.00096,0.00096,0.00096,0,0
STX.V,D,20150730,000000,0.000208,0.000208,0.000207,0.000207,0,0
STX.V,D,20170726,000000,0.05,0.11,0.05,0.11,0,0
