<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LQTY.V,D,20220515,000000,1.56201,1.63261,1.55178,1.57601,3814.6204048600007,0
LQTY.V,D,20220516,000000,1.59598,1.6924,1.47618,1.69223,16056.669675339994,0
LQTY.V,D,20220517,000000,1.68,1.95,1.62,1.7,42892.761620410034,0
LQTY.V,D,20220518,000000,1.7,1.75,1.57,1.6,18402.672070890047,0
LQTY.V,D,20220519,000000,1.6,1.67,1.56,1.67,19572.30043325008,0
LQTY.V,D,20220520,000000,1.67,1.69,1.56,1.58,5289.14729090397,0
LQTY.V,D,20220521,000000,1.58,1.62,1.56,1.61,5855.25020007998,0
LQTY.V,D,20220522,000000,1.61,1.77,1.57,1.64,21339.83558399999,0
LQTY.V,D,20220523,000000,1.30311,1.44325,1.30311,1.30324,24700.360209199996,0
LQTY.V,D,20220524,000000,1.30324,1.30337,1.30298,1.30298,36942.69161129998,0
LQTY.V,D,20220525,000000,1.45,1.47,1.30298,1.30324,7676.188701041004,0
LQTY.V,D,20220526,000000,1.30324,1.41464,1.30324,1.30351,6516.845942799999,0
LQTY.V,D,20220527,000000,1.30351,1.30675,1.19,1.30351,16905.255992060003,0
LQTY.V,D,20220528,000000,1.19,1.34,1.18,1.26,19461.48144006999,0
LQTY.V,D,20220529,000000,1.25,1.25,1.18,1.21,10426.01384024,0
LQTY.V,D,20220530,000000,1.21,1.29,1.19,1.25,9029.152504029997,0
LQTY.V,D,20220531,000000,1.27,1.5,1.27,1.34,34831.61351603001,0
LQTY.V,D,20220601,000000,1.32,1.32,1.2,1.2,4230.388769070002,0
LQTY.V,D,20220602,000000,1.2159,1.26966,1.16895,1.17234,11720.634203810003,0
LQTY.V,D,20220603,000000,1.18513,1.28749,1.16828,1.28749,8311.305439700001,0
LQTY.V,D,20220604,000000,1.20822,1.20884,1.12394,1.20884,10017.64197308,0
LQTY.V,D,20220605,000000,1.19822,1.21982,1.14,1.16,140210.55521323008,0
LQTY.V,D,20220606,000000,1.17,1.29,1.14,1.15,759737.838546379,0
LQTY.V,D,20220607,000000,1.17,1.24,1.1,1.24,562240.039220728,0
LQTY.V,D,20220608,000000,1.25,1.27,1.10815,1.10969,1905093.0120148207,0
LQTY.V,D,20220609,000000,1.0968,1.22318,1.07688,1.07688,1997143.4971434672,0
LQTY.V,D,20220610,000000,1.09209,1.12088,1.04331,1.06076,177520.90715965023,0
LQTY.V,D,20220611,000000,1.05,1.06,0.88,0.99,73061.16425095004,0
LQTY.V,D,20220612,000000,0.98,1.03,0.89,0.89,28294.192254110003,0
LQTY.V,D,20220613,000000,0.91,0.91,0.71,0.78,11672875.859638337,0
LQTY.V,D,20220614,000000,0.77,1.01,0.72,0.9,12205217.351028113,0
LQTY.V,D,20220615,000000,0.88,1.36,0.75,1.05,21910688.16735024,0
LQTY.V,D,20220616,000000,1.04084,1.33972,0.95785,1.19942,1940696.5202932076,0
LQTY.V,D,20220617,000000,1.35095,1.38828,1.02,1.08,7027687.011967298,0
LQTY.V,D,20220618,000000,1.08,1.12,0.85,0.92,5343544.811402271,0
LQTY.V,D,20220619,000000,0.950477,0.959658,0.858211,0.953255,84508.34714760998,0
LQTY.V,D,20220620,000000,0.97,1.12,0.92,0.99,146771.1312137899,0
LQTY.V,D,20220621,000000,0.97,1.07,0.94,0.96,524012.5224420697,0
LQTY.V,D,20220622,000000,0.96,1.05,0.93,0.96,326255.9255831998,0
LQTY.V,D,20220623,000000,0.94,1.07,0.89,1,199484.94406679017,0
LQTY.V,D,20220624,000000,0.98,1.03,0.97,1.02,1001445.4510844032,0
LQTY.V,D,20220625,000000,1.04,1.14,0.98,1.06,1015454.0964720026,0
LQTY.V,D,20220626,000000,1.05,1.13,1.03,1.07,306737.12372600037,0
LQTY.V,D,20220627,000000,1.07,1.16,1.01,1.12,240299.42069390047,0
LQTY.V,D,20220628,000000,1.094337,1.098945,1.025297,1.044824,135115.29061034002,0
LQTY.V,D,20220629,000000,1.04,1.1,1.01,1.03,119316.37853322002,0
LQTY.V,D,20220630,000000,1.04,1.08,0.971733,0.986515,550086.3557457062,0
LQTY.V,D,20220701,000000,0.984417,1.010787,0.943771,0.96224,670210.9902270526,0
LQTY.V,D,20220702,000000,0.95,0.99,0.93,0.96,114278.50015523982,0
LQTY.V,D,20220703,000000,0.99,1.12,0.9,0.97,146881.50003747013,0
LQTY.V,D,20220704,000000,0.97,1.000298,0.92,0.976826,40100.33115416,0
LQTY.V,D,20220705,000000,0.977725,1.028764,0.918988,0.974027,23288.761633159986,0
LQTY.V,D,20220706,000000,0.974027,1.009089,0.91709,0.93507,126979.03810733036,0
LQTY.V,D,20220707,000000,0.94466,1.001098,0.920586,0.964821,19933.91384307999,0
LQTY.V,D,20220708,000000,0.961423,1.079352,0.951743,1,18641.84524595,0
LQTY.V,D,20220709,000000,1.0001,1.078752,0.950829,0.97072,26677.095615020015,0
LQTY.V,D,20220710,000000,0.98,0.99,0.93,0.939636,20056.43571057,0
LQTY.V,D,20220711,000000,0.939636,0.949835,0.923253,0.930462,7156.84903802,0
LQTY.V,D,20220712,000000,0.926872,1.21878,0.907392,1.04045,112874.57974523008,0
LQTY.V,D,20220713,000000,1.07377,1.09031,0.93307,0.93316,45988.39107386999,0
LQTY.V,D,20220714,000000,0.93376,0.9953,0.92746,0.94634,24492.441696659997,0
LQTY.V,D,20220715,000000,0.94643,0.959724,0.917058,0.932527,36483.203021750014,0
LQTY.V,D,20220716,000000,0.939718,1.020194,0.905719,0.929914,36165.71364190001,0
LQTY.V,D,20220717,000000,0.929758,0.952887,0.909527,0.915444,22955.186315600007,0
LQTY.V,D,20220718,000000,0.918923,0.986152,0.918923,0.931586,74104.79769379998,0
LQTY.V,D,20220719,000000,0.931576,0.98081,0.925698,0.947652,36906.09501720002,0
LQTY.V,D,20220720,000000,0.946405,0.979951,0.929907,0.931047,38500.4618507,0
LQTY.V,D,20220721,000000,0.93053,0.973053,0.920255,0.968503,19343.9092676,0
LQTY.V,D,20220722,000000,0.964477,1.088416,0.95341,0.969213,64536.16148920001,0
LQTY.V,D,20220723,000000,0.969984,0.982159,0.950519,0.960425,15586.178654600002,0
LQTY.V,D,20220724,000000,0.983539,0.983618,0.93674,0.953191,9291.570144199999,0
LQTY.V,D,20220725,000000,0.943389,1.0799,0.911,0.934184,20679.382285699998,0
LQTY.V,D,20220726,000000,0.931293,0.999,0.8992,0.910982,38265.82596568802,0
LQTY.V,D,20220727,000000,0.907627,0.94263,0.885538,0.91872,30246.207217063995,0
LQTY.V,D,20220728,000000,0.917075,0.923309,0.9068,0.915674,24830.772322300007,0
LQTY.V,D,20220729,000000,0.927032,0.933903,0.912919,0.916376,22228.670651949997,0
LQTY.V,D,20220730,000000,0.916366,0.940329,0.898569,0.911792,20882.925958789994,0
LQTY.V,D,20220731,000000,0.914947,0.928723,0.911464,0.923231,16740.221974,0
LQTY.V,D,20220801,000000,0.928751,0.93301,0.898997,0.898997,9864.842479500003,0
LQTY.V,D,20220802,000000,0.900361,0.940257,0.893441,0.898162,15305.844696499984,0
LQTY.V,D,20220803,000000,0.898989,0.927148,0.891058,0.897615,17482.960384470003,0
LQTY.V,D,20220804,000000,0.897606,0.940175,0.888107,0.92402,30289.966736220013,0
LQTY.V,D,20220805,000000,0.898136,0.954243,0.892346,0.908273,48023.80852680001,0
LQTY.V,D,20220806,000000,0.912983,0.929486,0.908764,0.916965,35604.867926499996,0
LQTY.V,D,20220807,000000,0.938916,0.939525,0.897526,0.919975,20704.9428437,0
LQTY.V,D,20220808,000000,0.928576,1.250237,0.901426,1.199644,187060.1660049,0
LQTY.V,D,20220809,000000,1.179342,1.722862,1.090264,1.09743,899754.8003459095,0
LQTY.V,D,20220810,000000,1.102331,1.280976,1.027498,1.194858,132557.6187869102,0
LQTY.V,D,20220811,000000,1.195659,1.255214,1.105953,1.146104,85159.60699900005,0
LQTY.V,D,20220812,000000,1.132466,1.18149,1.123862,1.148216,29196.814094919988,0
LQTY.V,D,20220813,000000,1.153261,1.29951,1.068298,1.15844,122904.07273261997,0
LQTY.V,D,20220814,000000,1.157251,1.157263,0.991868,1.072632,83950.43990299995,0
LQTY.V,D,20220815,000000,1.0704,1.14961,1.032427,1.037739,63468.28988239995,0
LQTY.V,D,20220816,000000,1.04205,1.06028,1.00889,1.03088,40695.421084699985,0
LQTY.V,D,20220817,000000,1.03089,1.058,1.0064,1.02137,22173.623296230002,0
LQTY.V,D,20220818,000000,1.02128,1.0478,1.01271,1.03034,19299.185378920003,0
LQTY.V,D,20220819,000000,1.0237,1.0318,0.91189,0.9211,34635.822003099995,0
LQTY.V,D,20220820,000000,0.91847,0.97568,0.88088,0.94837,95874.77062750002,0
LQTY.V,D,20220821,000000,0.92046,0.92046,0.89444,0.89488,11588.178901,0
LQTY.V,D,20220822,000000,0.90603,0.94505,0.87902,0.89927,69486.06277790008,0
LQTY.V,D,20220823,000000,0.89926,0.93072,0.88718,0.91903,29411.326350800024,0
LQTY.V,D,20220824,000000,0.91899,1.01329,0.89777,0.93697,96491.08957887998,0
LQTY.V,D,20220825,000000,0.93696,1.07711,0.92486,0.99108,122282.27306876,0
LQTY.V,D,20220826,000000,0.99096,1.07543,0.94461,0.9589,44157.96033464,0
LQTY.V,D,20220827,000000,0.95859,1.04055,0.94022,0.94743,47740.05895010002,0
LQTY.V,D,20220828,000000,0.94003,0.96253,0.94003,0.9426,10445.023458999996,0
LQTY.V,D,20220829,000000,0.94182,0.95406,0.93235,0.95406,832.2705530000001,0
LQTY.V,D,20220830,000000,0.95247,0.954629,0.922046,0.936712,22315.550153000007,0
LQTY.V,D,20220831,000000,0.624702,0.731877,0.624702,0.73078,20727.437335,0
LQTY.V,D,20220901,000000,0.730587,0.930181,0.717358,0.911745,45317.822405199986,0
LQTY.V,D,20220902,000000,0.914891,0.962944,0.9036,0.907691,55344.838136000064,0
LQTY.V,D,20220903,000000,0.918147,0.919274,0.9094,0.9172,12312.725913700002,0
LQTY.V,D,20220904,000000,0.727588,0.727588,0.727515,0.727515,2520.014204,0
