<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEOPLE.V,D,20220520,000000,0.0191999,0.019984,0.0170795,0.0180765,1135627952.1517,0
PEOPLE.V,D,20220521,000000,0.0180783,0.0433436,0.0178785,0.0321581,7827194597.3403,0
PEOPLE.V,D,20220522,000000,0.0321581,0.0414461,0.0273671,0.0284658,5352044506.6981,0
PEOPLE.V,D,20220523,000000,0.0284658,0.031968,0.0261686,0.0264682,1806719294.8336,0
PEOPLE.V,D,20220524,000000,0.0263297,0.0288862,0.0246374,0.0270917,1174309859.8855,0
PEOPLE.V,D,20220525,000000,0.0271057,0.028411,0.0240775,0.0252597,809128275.01547,0
PEOPLE.V,D,20220526,000000,0.0252966,0.025465,0.0204215,0.0224545,588076423.48762,0
PEOPLE.V,D,20220527,000000,0.0224593,0.0231428,0.018149,0.0189312,553895716.14195,0
PEOPLE.V,D,20220528,000000,0.0189342,0.024982,0.0188854,0.0231669,1681674568.8076,0
PEOPLE.V,D,20220529,000000,0.0231698,0.0244551,0.0209141,0.021813,838102220.73128,0
PEOPLE.V,D,20220530,000000,0.0218411,0.0258391,0.0218411,0.0238959,1189013917.0039,0
PEOPLE.V,D,20220531,000000,0.0239842,0.0252888,0.0219077,0.0225789,976299626.59967,0
PEOPLE.V,D,20220601,000000,0.0225686,0.0244751,0.0191989,0.0197522,1046875135.8101,0
PEOPLE.V,D,20220602,000000,0.0197422,0.0214906,0.0192427,0.0206014,1232467992.525,0
PEOPLE.V,D,20220603,000000,0.0206314,0.0213825,0.0187254,0.0199127,1170741204.6051,0
PEOPLE.V,D,20220604,000000,0.0199726,0.0204326,0.0190907,0.0201247,1609323133.4586,0
PEOPLE.V,D,20220605,000000,0.0200849,0.0206618,0.0191445,0.0197414,1298850011.0105,0
PEOPLE.V,D,20220606,000000,0.0197714,0.0244095,0.0195416,0.0229607,2694594816.4924,0
PEOPLE.V,D,20220607,000000,0.0229107,0.0248396,0.0203941,0.0243702,1539638253.5081,0
PEOPLE.V,D,20220608,000000,0.0244604,0.024981,0.0211545,0.0216259,1042469043.1151,0
PEOPLE.V,D,20220609,000000,0.0216359,0.0222908,0.0204542,0.0208725,788890430.50427,0
PEOPLE.V,D,20220610,000000,0.0208623,0.0213525,0.0189128,0.020484,921324727.7085,0
PEOPLE.V,D,20220611,000000,0.0204738,0.0206978,0.0170898,0.0180196,1111188328.2506,0
PEOPLE.V,D,20220612,000000,0.0179995,0.020775,0.0156596,0.0198855,2606135345.4748,0
PEOPLE.V,D,20220613,000000,0.0199055,0.0210709,0.0162453,0.0179051,3733666852.465,0
PEOPLE.V,D,20220614,000000,0.0179053,0.0206731,0.0171832,0.019177,2570170849.0228,0
