<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FIL.V,D,20180212,000000,20.09,20.33,19.86,19.88,0,0
FIL.V,D,20180213,000000,19.88,20.96,19.76,20.93,0,0
FIL.V,D,20180214,000000,20.93,21.31,19.8,20.93,0,0
FIL.V,D,20180215,000000,21.32,22.49,20.92,22.46,0,0
FIL.V,D,20180216,000000,22.18,22.18,22.18,22.18,0,0
FIL.V,D,20180217,000000,22.18,22.62,21.97,22.46,0,0
FIL.V,D,20180218,000000,22.46,23.83,21.24,22.39,0,0
FIL.V,D,20180219,000000,22.39,23,21.5,23,0,0
FIL.V,D,20180220,000000,23,23.19,21.49,21.49,0,0
FIL.V,D,20180221,000000,21.49,21.61,19.88,19.88,0,0
FIL.V,D,20180222,000000,19.88,21.69,18.45,19.7,0,0
FIL.V,D,20180223,000000,19.7,19.97,18.51,19.57,0,0
FIL.V,D,20180224,000000,19.66,19.94,18.2,18.79,0,0
FIL.V,D,20180225,000000,18.53,19.26,17.39,18.32,0,0
FIL.V,D,20180226,000000,18.32,19.21,17.08,18.48,0,0
FIL.V,D,20180227,000000,18.48,19.21,18.05,19.21,0,0
FIL.V,D,20180228,000000,19.21,19.55,18.4,18.77,0,0
FIL.V,D,20180301,000000,18.77,19.55,17.34,18.73,0,0
FIL.V,D,20180302,000000,19.05,20.34,18,18.34,0,0
FIL.V,D,20180303,000000,18.34,18.78,17.82,18.25,0,0
FIL.V,D,20180304,000000,18.57,19.11,17.85,18.43,0,0
FIL.V,D,20180305,000000,18.43,18.75,17.39,18.52,0,0
FIL.V,D,20180306,000000,18.52,18.52,16.8,16.8,0,0
FIL.V,D,20180307,000000,16.8,17.3,15.32,15.32,0,0
FIL.V,D,20180308,000000,15.2,15.9,13.01,13.37,0,0
FIL.V,D,20180309,000000,13.37,14.26,12.19,14.18,0,0
FIL.V,D,20180310,000000,14.18,14.26,13.11,13.11,0,0
FIL.V,D,20180311,000000,13.39,14.26,12.51,14.17,0,0
FIL.V,D,20180312,000000,14.17,14.26,13.5,13.5,0,0
FIL.V,D,20180313,000000,13.5,14.03,13.08,13.09,0,0
FIL.V,D,20180314,000000,13,13,11.92,12.94,0,0
FIL.V,D,20180315,000000,12.94,12.97,11.43,11.63,0,0
FIL.V,D,20180316,000000,11.87,13,11.7,12,0,0
FIL.V,D,20180317,000000,12,12.41,10,11.02,0,0
FIL.V,D,20180318,000000,11.02,11.02,5.236,10.16,0,0
FIL.V,D,20180319,000000,10.16,10.22,8.2,9.22,0,0
FIL.V,D,20180320,000000,9.22,9.29,8.54,9.16,0,0
FIL.V,D,20180321,000000,9.16,11.2,9.1,9.3,0,0
FIL.V,D,20180322,000000,9.3,9.98,9.02,9.41,0,0
