<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SUSHI.V,D,20200901,000000,11,11.5,8.609,8.823,0,0
SUSHI.V,D,20200902,000000,8.823,9.509,5.986,7.257,0,0
SUSHI.V,D,20200903,000000,7.257,8.926,4.679,4.875,0,0
SUSHI.V,D,20200904,000000,4.875,5.754,4.361,4.575,0,0
SUSHI.V,D,20200905,000000,4.575,5.073,1.333,1.885,0,0
SUSHI.V,D,20200906,000000,1.885,3.502,1.131,3.183,0,0
SUSHI.V,D,20200907,000000,3.183,3.373,2.194,2.855,0,0
SUSHI.V,D,20200908,000000,2.855,2.972,2.282,2.374,0,0
SUSHI.V,D,20200909,000000,2.374,3.189,2.16,2.88,0,0
SUSHI.V,D,20200910,000000,2.88,3.142,2.258,2.388,0,0
SUSHI.V,D,20200911,000000,2.388,2.949,2.038,2.716,0,0
SUSHI.V,D,20200912,000000,2.716,2.733,2.316,2.626,0,0
SUSHI.V,D,20200913,000000,2.626,2.639,2.187,2.329,0,0
SUSHI.V,D,20200914,000000,2.329,2.666,2.16,2.467,0,0
SUSHI.V,D,20200915,000000,2.467,2.646,1.69,1.76,0,0
SUSHI.V,D,20200916,000000,1.76,1.823,1.469,1.518,0,0
SUSHI.V,D,20200917,000000,1.518,1.659,1.32,1.538,0,0
SUSHI.V,D,20200918,000000,1.538,1.867,1.534,1.695,0,0
SUSHI.V,D,20200919,000000,1.695,1.947,1.609,1.774,0,0
SUSHI.V,D,20200920,000000,1.774,1.938,1.575,1.644,0,0
SUSHI.V,D,20200921,000000,1.644,1.743,1.365,1.411,0,0
SUSHI.V,D,20200922,000000,1.411,1.463,1.324,1.392,0,0
SUSHI.V,D,20200923,000000,1.392,1.453,1.223,1.264,0,0
SUSHI.V,D,20200924,000000,1.264,1.475,1.248,1.409,0,0
SUSHI.V,D,20200925,000000,1.409,1.444,1.337,1.403,0,0
SUSHI.V,D,20200926,000000,1.403,1.444,1.357,1.398,0,0
SUSHI.V,D,20200927,000000,1.398,1.451,1.332,1.373,0,0
SUSHI.V,D,20200928,000000,1.373,1.393,1.255,1.271,0,0
SUSHI.V,D,20200929,000000,1.271,1.289,1.2,1.255,0,0
SUSHI.V,D,20200930,000000,1.255,1.327,1.242,1.283,0,0
SUSHI.V,D,20201001,000000,1.283,1.35,1.208,1.252,0,0
SUSHI.V,D,20201002,000000,1.252,1.263,1.045,1.117,0,0
SUSHI.V,D,20201003,000000,1.117,1.128,1.051,1.059,0,0
SUSHI.V,D,20201004,000000,1.059,1.069,0.8612,0.8787,0,0
SUSHI.V,D,20201005,000000,0.8787,0.9457,0.8232,0.8461,0,0
SUSHI.V,D,20201006,000000,0.8461,0.8522,0.627,0.6398,0,0
SUSHI.V,D,20201007,000000,0.6398,0.6824,0.5513,0.6776,0,0
SUSHI.V,D,20201008,000000,0.6776,0.7986,0.5994,0.7764,0,0
SUSHI.V,D,20201009,000000,0.7764,0.8647,0.7368,0.8277,0,0
SUSHI.V,D,20201010,000000,0.8277,0.8718,0.7343,0.7481,0,0
SUSHI.V,D,20201011,000000,0.7481,0.7857,0.6974,0.7615,0,0
SUSHI.V,D,20201012,000000,0.7615,0.8015,0.7302,0.7623,0,0
SUSHI.V,D,20201013,000000,0.7623,0.7701,0.7122,0.7366,0,0
SUSHI.V,D,20201014,000000,0.7366,0.7663,0.6925,0.72,0,0
SUSHI.V,D,20201015,000000,0.72,0.7218,0.6673,0.7045,0,0
SUSHI.V,D,20201016,000000,0.7045,0.7075,0.6427,0.6577,0,0
SUSHI.V,D,20201017,000000,0.6577,0.679,0.6439,0.6635,0,0
SUSHI.V,D,20201018,000000,0.6635,0.7174,0.6615,0.7141,0,0
SUSHI.V,D,20201019,000000,0.7141,0.7253,0.6676,0.6762,0,0
SUSHI.V,D,20201020,000000,0.6762,0.6781,0.6122,0.6266,0,0
SUSHI.V,D,20201021,000000,0.6266,0.6981,0.6219,0.6644,0,0
SUSHI.V,D,20201022,000000,0.6644,0.718,0.6599,0.6666,0,0
SUSHI.V,D,20201023,000000,0.6666,0.6963,0.6457,0.664,0,0
SUSHI.V,D,20201024,000000,0.664,0.672,0.6456,0.6576,0,0
SUSHI.V,D,20201025,000000,0.6576,0.6592,0.6162,0.6236,0,0
SUSHI.V,D,20201026,000000,0.6236,0.6425,0.5893,0.6251,0,0
SUSHI.V,D,20201027,000000,0.6251,0.7151,0.6237,0.6958,0,0
SUSHI.V,D,20201028,000000,0.6958,0.7036,0.6094,0.637,0,0
SUSHI.V,D,20201029,000000,0.637,0.6775,0.6199,0.6435,0,0
