<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UMA.V,D,20200525,000000,1.352,1.382,1.351,1.374,0,0
UMA.V,D,20200526,000000,1.374,1.374,1.354,1.368,0,0
UMA.V,D,20200527,000000,1.368,1.43,1.368,1.374,0,0
UMA.V,D,20200528,000000,1.374,1.456,1.364,1.364,0,0
UMA.V,D,20200529,000000,1.364,1.368,1.353,1.368,0,0
UMA.V,D,20200530,000000,1.368,1.514,1.368,1.481,0,0
UMA.V,D,20200531,000000,1.481,1.481,1.373,1.373,0,0
UMA.V,D,20200601,000000,1.373,1.479,1.373,1.462,0,0
UMA.V,D,20200602,000000,1.462,1.462,1.4,1.401,0,0
UMA.V,D,20200603,000000,1.401,1.453,1.401,1.453,0,0
UMA.V,D,20200604,000000,1.453,1.504,1.437,1.494,0,0
UMA.V,D,20200605,000000,1.494,1.494,1.471,1.479,0,0
UMA.V,D,20200606,000000,1.479,1.495,1.464,1.465,0,0
UMA.V,D,20200607,000000,1.465,1.481,1.424,1.456,0,0
UMA.V,D,20200608,000000,1.456,1.486,1.456,1.471,0,0
UMA.V,D,20200609,000000,1.471,1.502,1.451,1.492,0,0
UMA.V,D,20200610,000000,1.492,1.555,1.404,1.409,0,0
UMA.V,D,20200611,000000,1.409,1.409,1.278,1.28,0,0
UMA.V,D,20200612,000000,1.28,1.331,1.28,1.295,0,0
UMA.V,D,20200613,000000,1.295,1.3,1.284,1.293,0,0
UMA.V,D,20200614,000000,1.293,1.293,1.243,1.252,0,0
UMA.V,D,20200615,000000,1.252,1.257,1.237,1.247,0,0
UMA.V,D,20200616,000000,1.247,1.278,1.247,1.261,0,0
UMA.V,D,20200617,000000,1.261,1.333,1.246,1.321,0,0
UMA.V,D,20200618,000000,1.321,1.353,1.307,1.353,0,0
UMA.V,D,20200619,000000,1.353,1.353,1.203,1.316,0,0
UMA.V,D,20200620,000000,1.316,1.357,1.316,1.355,0,0
UMA.V,D,20200621,000000,1.355,1.435,1.337,1.433,0,0
UMA.V,D,20200622,000000,1.433,1.777,1.433,1.777,0,0
UMA.V,D,20200623,000000,1.777,1.91,1.745,1.903,0,0
UMA.V,D,20200624,000000,1.903,2.112,1.836,2.112,0,0
UMA.V,D,20200625,000000,2.112,2.235,2.087,2.206,0,0
UMA.V,D,20200626,000000,2.206,2.347,2.173,2.297,0,0
UMA.V,D,20200627,000000,2.297,2.371,2.196,2.23,0,0
UMA.V,D,20200628,000000,2.23,2.284,1.711,1.941,0,0
UMA.V,D,20200629,000000,1.941,1.969,1.832,1.839,0,0
UMA.V,D,20200630,000000,1.839,1.947,1.821,1.947,0,0
UMA.V,D,20200701,000000,1.947,2.07,1.947,2.07,0,0
UMA.V,D,20200702,000000,2.07,2.153,1.915,2.146,0,0
UMA.V,D,20200703,000000,2.146,2.146,2.133,2.135,0,0
UMA.V,D,20200704,000000,2.135,2.181,2.135,2.16,0,0
UMA.V,D,20200705,000000,2.16,2.16,2.107,2.107,0,0
UMA.V,D,20200706,000000,2.107,2.279,2.107,2.257,0,0
UMA.V,D,20200707,000000,2.257,2.257,2.146,2.146,0,0
UMA.V,D,20200708,000000,2.146,2.216,2.133,2.205,0,0
