<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ELF.V,D,20220515,000000,0.15986,0.164852,0.155551,0.164303,1246450.5700875,0
ELF.V,D,20220516,000000,0.164003,0.168814,0.14989,0.155098,1057805.1935618,0
ELF.V,D,20220517,000000,0.155198,0.162621,0.154998,0.161406,1470736.5706976,0
ELF.V,D,20220518,000000,0.16169,0.177769,0.148107,0.149605,2427678.1332223,0
ELF.V,D,20220519,000000,0.14959,0.15566,0.137535,0.151663,7344142.6756008,0
ELF.V,D,20220520,000000,0.151763,0.173709,0.145511,0.152302,19343307.250843,0
ELF.V,D,20220521,000000,0.152317,0.155697,0.148422,0.153001,1675728.2468598,0
ELF.V,D,20220522,000000,0.153101,0.166899,0.152701,0.161106,4818035.6269429,0
ELF.V,D,20220523,000000,0.161206,0.17033,0.161206,0.164885,7173199.208186,0
ELF.V,D,20220524,000000,0.162788,0.162804,0.147223,0.158594,1947141.3161873,0
ELF.V,D,20220525,000000,0.158494,0.162173,0.154015,0.159908,1516220.111409,0
ELF.V,D,20220526,000000,0.160008,0.162305,0.145126,0.153946,2131378.4380406,0
ELF.V,D,20220527,000000,0.154046,0.237538,0.148052,0.154645,47300154.608021,0
ELF.V,D,20220528,000000,0.154822,0.15824,0.146339,0.151424,11474476.999011,0
ELF.V,D,20220529,000000,0.151619,0.153231,0.147652,0.150333,2713614.5823558,0
ELF.V,D,20220530,000000,0.150631,0.163685,0.150239,0.16207,11116942.956154,0
ELF.V,D,20220531,000000,0.16177,0.165468,0.157874,0.160871,4326468.6492307,0
ELF.V,D,20220601,000000,0.161479,0.183246,0.158541,0.158541,9773826.8022279,0
ELF.V,D,20220602,000000,0.158564,0.252572,0.157358,0.174643,52098621.452346,0
ELF.V,D,20220603,000000,0.174842,0.187857,0.169639,0.174348,6919323.7319339,0
ELF.V,D,20220604,000000,0.17435,0.189412,0.170265,0.170572,13289000.014584,0
ELF.V,D,20220605,000000,0.17067,0.210119,0.166865,0.179931,23917918.244527,0
ELF.V,D,20220606,000000,0.179731,0.20191,0.179049,0.187442,47809115.561894,0
ELF.V,D,20220607,000000,0.18824,0.197634,0.171463,0.18186,27384466.009204,0
ELF.V,D,20220608,000000,0.182054,0.184291,0.172383,0.174287,19224054.830181,0
ELF.V,D,20220609,000000,0.174387,0.209624,0.172772,0.175652,16518354.097591,0
ELF.V,D,20220610,000000,0.175451,0.179446,0.159025,0.16369,16564647.142681,0
ELF.V,D,20220611,000000,0.163692,0.167519,0.145419,0.151028,3968024.119794,0
ELF.V,D,20220612,000000,0.151627,0.152627,0.137629,0.142723,4252662.2143729,0
ELF.V,D,20220613,000000,0.142724,0.145315,0.119421,0.124327,39485032.142739,0
