<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XCH.V,D,20220513,000000,39.56865,39.57261,39.56468,39.56865,0,0
XCH.V,D,20220514,000000,35.03032,40.57335,35.03032,39.97655,4630.5281448064,0
XCH.V,D,20220515,000000,39.84694,40.85343,37.64305,39.94311,4513.1187457426,0
XCH.V,D,20220516,000000,39.9515,39.99345,36.85922,38.89148,4417.6285304914,0
XCH.V,D,20220517,000000,38.82256,39.19898,37.75464,39.01921,6195.6306163064,0
XCH.V,D,20220518,000000,39.02312,39.44865,36.46254,38.0167,8182.3291568191,0
XCH.V,D,20220519,000000,38.00053,38.3178,35.97317,38.03193,7685.3762234726,0
XCH.V,D,20220520,000000,38.03193,38.08569,36.35268,36.58604,16652.099943281,0
XCH.V,D,20220521,000000,36.58604,37.33514,35.55372,36.00314,24886.162951642,0
XCH.V,D,20220522,000000,36.0331,37.24525,35.34399,36.33634,21138.462025729,0
XCH.V,D,20220523,000000,36.36631,37.14282,35.80698,36.05307,15579.793297583,0
XCH.V,D,20220524,000000,36.05668,36.09026,34.20234,35.82977,13978.305360442,0
XCH.V,D,20220525,000000,35.82977,36.14657,33.9626,34.89158,12988.760063651,0
XCH.V,D,20220526,000000,34.90806,36.75952,32.42105,34.79517,21535.958078582,0
XCH.V,D,20220527,000000,34.75173,34.99497,32.54416,33.07689,14247.68189822,0
XCH.V,D,20220528,000000,33.07225,33.59267,32.62949,33.37091,12431.591304321,0
XCH.V,D,20220529,000000,33.35027,33.76586,32.93736,33.73252,9152.454378975,0
XCH.V,D,20220530,000000,33.7122,35.7214,33.35327,35.37168,17550.973375887,0
XCH.V,D,20220531,000000,35.35523,35.61149,33.98619,34.55234,16322.669157795,0
XCH.V,D,20220601,000000,34.52374,34.69396,31.70509,32.37084,11367.805984007,0
XCH.V,D,20220602,000000,32.37052,33.49982,31.68146,33.48983,18681.678924927,0
XCH.V,D,20220603,000000,33.46985,33.56976,31.76852,32.47172,9331.1750672198,0
XCH.V,D,20220604,000000,32.47172,32.61898,31.82814,32.10558,7824.8473087537,0
XCH.V,D,20220605,000000,32.09623,32.29091,31.70366,32.02986,6075.0225706408,0
XCH.V,D,20220606,000000,32.1085,32.93264,31.82006,32.4398,19360.258806828,0
XCH.V,D,20220607,000000,32.34958,32.93391,30.96459,31.77003,175756.96590651,0
XCH.V,D,20220608,000000,31.84419,31.84419,30.28917,31.13975,27375.591931259,0
XCH.V,D,20220609,000000,31.15494,31.15525,30.30743,30.76953,24086.393979158,0
XCH.V,D,20220610,000000,30.74924,30.88972,28.54111,29.9616,56417.016170799,0
XCH.V,D,20220611,000000,30.08674,30.08674,27.26806,28.91639,34163.86256706,0
XCH.V,D,20220612,000000,28.33766,29.20023,26.8421,28.54485,33033.958250757,0
XCH.V,D,20220613,000000,28.44468,29.19936,25.8991,28.46038,1158308.2167114,0
XCH.V,D,20220614,000000,28.5106,28.75651,26.97057,27.70671,160626.74264137,0
XCH.V,D,20220615,000000,27.73695,30.99344,27.03153,30.99344,365172.64688729,0
XCH.V,D,20220616,000000,31.16768,31.93903,28.77543,29.71834,128492.09561333,0
XCH.V,D,20220617,000000,30.04878,31.29272,29.48895,31.11262,150604.86106427,0
XCH.V,D,20220618,000000,31.11293,37.48842,29.64053,37.12938,310658.541243,0
XCH.V,D,20220619,000000,37.09943,50.02986,36.02877,45.04137,135597.18421839,0
XCH.V,D,20220620,000000,45.21115,54.71974,42.08943,49.22579,135197.94461678,0
XCH.V,D,20220621,000000,49.10101,54.6843,43.98157,44.80067,100246.16985797,0
XCH.V,D,20220622,000000,44.6808,46.23372,40.68927,42.04791,284899.64431704,0
XCH.V,D,20220623,000000,41.99796,45.68427,39.98997,41.11884,51544.834410042,0
XCH.V,D,20220624,000000,40.959,43.82613,40.88907,42.18707,85134.866919969,0
XCH.V,D,20220625,000000,42.17708,42.61734,40.22344,41.33105,54529.122794109,0
XCH.V,D,20220626,000000,41.39101,42.77004,40.47975,40.75472,54877.704525161,0
XCH.V,D,20220627,000000,40.84507,44.93223,40.27663,42.38182,45854.950122463,0
XCH.V,D,20220628,000000,41.88311,42.66943,41.11719,41.63872,23339.406136692,0
XCH.V,D,20220629,000000,41.42856,43.69969,41.2218,42.96795,49262.886421659,0
XCH.V,D,20220630,000000,42.95839,47.27226,1.028,43.1182,76557.837782678,0
XCH.V,D,20220701,000000,43.22806,45.83034,42.37484,45.41998,38581.470300683,0
XCH.V,D,20220702,000000,45.40999,45.9448,43.63195,45.08583,39699.065332345,0
XCH.V,D,20220703,000000,45.1158,45.22566,42.67018,43.88288,64661.845975664,0
XCH.V,D,20220704,000000,43.90285,44.43661,42.28496,43.42782,18583.57780518,0
XCH.V,D,20220705,000000,43.43781,45.34552,42.49321,43.60198,23279.545676797,0
XCH.V,D,20220706,000000,43.60198,43.74183,42.83283,43.42218,14793.902431746,0
XCH.V,D,20220707,000000,43.44216,44.32119,43.13817,43.98359,19740.61634265,0
XCH.V,D,20220708,000000,43.96361,45.18287,43.8505,44.49329,15930.448154781,0
XCH.V,D,20220709,000000,44.43332,44.52327,42.9742,43.8137,16874.191260618,0
XCH.V,D,20220710,000000,43.79371,43.91364,40.20586,42.24464,24011.532697774,0
XCH.V,D,20220711,000000,42.1347,42.1347,37.77354,38.08569,37502.180223171,0
XCH.V,D,20220712,000000,38.18245,40.92503,35.88597,39.77429,43279.291009134,0
XCH.V,D,20220713,000000,39.77538,41.87888,38.4616,40.57465,31919.811507452,0
XCH.V,D,20220714,000000,40.5218,41.26713,39.23156,39.98549,19132.660960658,0
XCH.V,D,20220715,000000,40.08024,42.07444,39.79081,40.9719,23746.730298417,0
XCH.V,D,20220716,000000,41.08767,41.52219,40.43137,40.88772,8655.2290667593,0
XCH.V,D,20220717,000000,40.84183,45.09782,40.80939,43.18737,41528.083968808,0
XCH.V,D,20220718,000000,43.33783,46.08309,43.14745,44.29981,25033.583467705,0
XCH.V,D,20220719,000000,44.24938,45.53545,42.69744,44.80717,20561.407899577,0
XCH.V,D,20220720,000000,44.85,46.16431,42.96558,43.22216,22421.436601251,0
XCH.V,D,20220721,000000,43.19518,43.88088,41.82209,43.26952,18543.69979019,0
XCH.V,D,20220722,000000,43.25038,43.43217,41.8967,42.41933,14012.525041988,0
XCH.V,D,20220723,000000,42.36974,42.99289,41.42124,41.70792,10962.603885126,0
XCH.V,D,20220724,000000,41.76418,44.07661,41.52042,42.04799,19131.562836345,0
XCH.V,D,20220725,000000,41.97797,42.71085,40.76571,41.66333,22803.669630117,0
XCH.V,D,20220726,000000,41.61416,41.61416,39.17353,40.79612,28343.73822577,0
XCH.V,D,20220727,000000,40.78612,43.3578,40.0276,40.99984,26951.509947977,0
XCH.V,D,20220728,000000,41.01943,43.86965,40.87185,42.86857,23881.615537481,0
XCH.V,D,20220729,000000,42.77112,43.91405,41.35992,43.00763,29432.443079915,0
XCH.V,D,20220730,000000,42.91759,46.9669,42.50657,45.21492,36381.817921425,0
XCH.V,D,20220731,000000,44.97349,45.93919,42.80856,44.46022,39024.298577279,0
XCH.V,D,20220801,000000,44.48201,44.80344,42.21139,43.14294,24202.243538432,0
XCH.V,D,20220802,000000,43.31299,43.66659,41.37199,42.80728,20439.786261423,0
XCH.V,D,20220803,000000,42.94816,43.42172,42.21844,43.30039,13637.422031336,0
XCH.V,D,20220804,000000,43.29952,43.77394,42.26845,43.12129,14814.74999296,0
XCH.V,D,20220805,000000,43.14129,44.0088,42.90172,43.81832,10230.470747013,0
XCH.V,D,20220806,000000,43.80876,43.94879,42.92773,43.22951,9456.217003756,0
XCH.V,D,20220807,000000,43.1695,43.79657,42.76898,43.60828,9359.9898677508,0
XCH.V,D,20220808,000000,43.51827,44.5089,42.91772,43.95527,16455.631809559,0
XCH.V,D,20220809,000000,44.02528,44.30753,42.52893,43.31866,11290.45493917,0
XCH.V,D,20220810,000000,43.32866,43.8027,42.05051,43.50261,10729.654344012,0
XCH.V,D,20220811,000000,43.51305,43.90062,43.05291,43.49043,10099.798379867,0
XCH.V,D,20220812,000000,43.51174,43.6318,42.38118,42.76966,4445.9522110923,0
XCH.V,D,20220813,000000,42.74923,43.86148,42.72879,43.42693,7618.4588095645,0
XCH.V,D,20220814,000000,43.41736,43.41736,42.33227,42.83285,4551.0398070198,0
XCH.V,D,20220815,000000,42.81327,43.18166,41.82878,42.44018,6395.0947958455,0
XCH.V,D,20220816,000000,42.43976,42.92558,40.94287,42.12379,20823.076933415,0
XCH.V,D,20220817,000000,42.07379,43.1069,41.57958,42.59298,8941.3745137493,0
XCH.V,D,20220818,000000,42.56298,42.68384,41.59333,41.81042,3668.4806060955,0
XCH.V,D,20220819,000000,41.80418,42.0442,39.0039,39.32,9766.599701221,0
XCH.V,D,20220820,000000,39.37688,39.81791,38.09963,38.85961,8119.8830007084,0
XCH.V,D,20220821,000000,38.86883,41.31959,38.59344,40.38919,12478.294850186,0
XCH.V,D,20220822,000000,40.40919,40.61,38.06772,39.14334,10829.666764858,0
XCH.V,D,20220823,000000,39.14413,39.96201,38.69961,39.34079,5264.6142575879,0
XCH.V,D,20220824,000000,39.39,39.64198,38.68845,39.11352,4882.1725967605,0
XCH.V,D,20220825,000000,39.10313,39.45197,38.86311,39.27118,3590.1432756106,0
XCH.V,D,20220826,000000,39.27118,39.42355,37.18037,38.72387,5691.4414152955,0
XCH.V,D,20220827,000000,38.71348,38.78349,36.66147,37.34112,11416.8357787,0
XCH.V,D,20220828,000000,37.38037,37.83735,36.79742,37.54962,6957.7611122563,0
XCH.V,D,20220829,000000,37.49,37.70075,36.27746,37.56225,6569.7701961372,0
XCH.V,D,20220830,000000,37.57413,37.88962,36.11072,36.6733,6966.0441128514,0
XCH.V,D,20220831,000000,36.68293,37.06,35.99856,36.47964,6274.9735793618,0
XCH.V,D,20220901,000000,36.46,36.72743,36.00108,36.47781,7498.4749306011,0
XCH.V,D,20220902,000000,36.47781,36.83589,35.87215,36.11469,5866.6575240303,0
XCH.V,D,20220903,000000,36.16579,36.9737,36.02576,36.87369,7004.2304673211,0
XCH.V,D,20220904,000000,36.89,37,36.21,36.38,5662.2752440561,0
XCH.V,D,20220905,000000,36.38364,36.49365,35.1,35.59356,12835.547225946,0
XCH.V,D,20220906,000000,35.59,36.14361,34.53,35.22,7639.2426908925,0
XCH.V,D,20220907,000000,35.17317,35.79928,33.90966,35.47248,8755.7109261568,0
XCH.V,D,20220908,000000,35.47213,35.80716,34.31069,35.64535,4941.8901376368,0
XCH.V,D,20220909,000000,35.64535,37.72993,35.43744,37.45553,14570.007835472,0
XCH.V,D,20220910,000000,37.4405,38.26645,36.6851,38.26607,9685.4669220103,0
XCH.V,D,20220911,000000,38.18802,38.38266,37.32082,37.55939,4461.4743028594,0
XCH.V,D,20220912,000000,37.61903,37.85757,36.67623,37.68754,11845.867545122,0
XCH.V,D,20220913,000000,37.69716,37.8772,35.61142,35.87072,8486.2487484175,0
XCH.V,D,20220914,000000,35.71071,36.37818,34.9014,35.31918,5559.4962357045,0
XCH.V,D,20220915,000000,35.32918,36.17096,34.62115,35.76448,7793.8923552031,0
XCH.V,D,20220916,000000,35.7825,35.84767,34.0269,34.79712,6315.7070984881,0
XCH.V,D,20220917,000000,34.6364,35.37354,34.12429,35.33353,5292.7747652247,0
XCH.V,D,20220918,000000,35.33353,35.4,34.29,34.35,3871.5888579016,0
XCH.V,D,20220919,000000,34.37656,35.34707,32.55,35.20704,15298.188941475,0
XCH.V,D,20220920,000000,35.17352,35.17703,33.5377,34.0284,8245.1475638843,0
XCH.V,D,20220921,000000,34.0234,35.0035,32.61,32.74,11755.800236513,0
XCH.V,D,20220922,000000,32.73,35.16352,32.22322,34.5569,7880.8351914956,0
