<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APE.V,D,20220317,000000,8.70368,8.90056,7.23229,8.24062,52027544.977979,0
APE.V,D,20220318,000000,8.25523,18.0108,8.07513,13.24692,250485114.54782,0
APE.V,D,20220319,000000,13.23441,14.74807,12.12605,12.2549,76335356.654605,0
APE.V,D,20220320,000000,12.2545,12.29614,9.8049,9.82033,65941399.238547,0
APE.V,D,20220321,000000,9.82453,11.0109,9.5087,10.61294,65465069.186613,0
APE.V,D,20220322,000000,10.60474,12.58219,10.22451,12.10965,70025865.298204,0
APE.V,D,20220323,000000,12.11816,13.51035,11.51741,13.016,66332115.893222,0
APE.V,D,20220324,000000,13.02191,14.47203,12.95447,13.36885,54720461.127455,0
APE.V,D,20220325,000000,13.36264,13.70185,12.24372,12.36108,34569862.196553,0
APE.V,D,20220326,000000,12.36324,14.25592,12.29822,13.60544,35384248.129707,0
APE.V,D,20220327,000000,13.60554,14.36224,13.30032,14.19908,24531347.33329,0
APE.V,D,20220328,000000,14.19506,15.56172,14.0038,14.89075,35553314.624483,0
APE.V,D,20220329,000000,14.92056,14.92226,13.35511,13.53206,23574121.000992,0
APE.V,D,20220330,000000,13.53291,14.56122,13.08014,13.79184,25359408.104606,0
APE.V,D,20220331,000000,13.79864,14.37327,12.61792,12.79676,19516520.025395,0
APE.V,D,20220401,000000,12.78934,13.6058,12.23885,13.0193,19792078.833691,0
APE.V,D,20220402,000000,13.0089,13.82003,12.57617,12.7526,22509000.74022,0
APE.V,D,20220403,000000,12.7498,12.91216,11.87795,12.32003,14121419.42108,0
APE.V,D,20220404,000000,12.31889,12.4951,11.13843,11.91537,15265451.779148,0
APE.V,D,20220405,000000,11.92588,12.79754,11.52105,11.82366,20770066.079481,0
APE.V,D,20220406,000000,11.82568,12.04041,10.5324,10.9343,18349300.003752,0
APE.V,D,20220407,000000,10.9334,11.30013,10.62206,11.013,16633293.567643,0
APE.V,D,20220408,000000,11.013,11.61342,10.80442,10.84544,14951941.920479,0
APE.V,D,20220409,000000,10.84424,11.04901,10.60212,10.79474,6679717.0758842,0
APE.V,D,20220410,000000,10.80104,12.36491,10.78063,11.92238,12523943.360139,0
APE.V,D,20220411,000000,11.93739,12.39658,10.66423,11.03901,21154762.517424,0
APE.V,D,20220412,000000,11.04401,12.11242,10.70484,11.39682,14185639.380943,0
APE.V,D,20220413,000000,11.39692,13.46519,11.29419,13.19436,25338081.605335,0
APE.V,D,20220414,000000,13.19746,13.55251,11.93389,12.13291,20322843.355551,0
APE.V,D,20220415,000000,12.13451,12.61222,11.9898,12.16563,8037594.50364,0
APE.V,D,20220416,000000,12.16903,12.29483,11.33403,11.77105,2986519.0821154,0
APE.V,D,20220417,000000,11.77135,12.10002,11.47709,11.92238,4243232.0449134,0
APE.V,D,20220418,000000,11.91178,11.97129,10.90218,11.72812,9882764.5888248,0
APE.V,D,20220419,000000,11.72842,13.52951,11.6746,13.26755,19320668.903459,0
APE.V,D,20220420,000000,13.27135,17.30346,12.97689,16.62152,75023333.968078,0
APE.V,D,20220421,000000,16.60332,17.5235,14.32903,14.42274,38255132.206758,0
APE.V,D,20220422,000000,14.44364,15.38398,13.70137,15.19702,25644312.422243,0
APE.V,D,20220423,000000,15.19874,18.43729,14.82967,16.985,53223070.99156,0
APE.V,D,20220424,000000,16.9831,17.87387,15.92508,17.40578,31390562.349269,0
APE.V,D,20220425,000000,17.40758,18.35187,16.18674,17.86107,34738245.453429,0
APE.V,D,20220426,000000,17.86187,19.60186,17.41204,18.10701,36927310.726361,0
APE.V,D,20220427,000000,18.11521,19.93989,17.74,19.60796,27394652.73859,0
APE.V,D,20220428,000000,19.62576,27.59276,19.1115,25.8923,62593109.302811,0
APE.V,D,20220429,000000,25.9177,25.9928,18.63506,19.19822,132689966.60056,0
APE.V,D,20220430,000000,19.18952,25.60256,18.3982,20.352,107815671.33941,0
APE.V,D,20220501,000000,20.3431,21.5138,16.05701,16.2557,84813591.582917,0
