<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SHIB.V,D,20210622,000000,0.000006,0.000007,0.000006,0.000006,0,0
SHIB.V,D,20210623,000000,0.000006,0.000007,0.000006,0.000007,0,0
SHIB.V,D,20210624,000000,0.000007,0.000007,0.000007,0.000007,0,0
SHIB.V,D,20210625,000000,0.000007,0.000008,0.000007,0.000007,0,0
SHIB.V,D,20210626,000000,0.000007,0.000008,0.000007,0.000007,0,0
SHIB.V,D,20210627,000000,0.000007,0.000008,0.000007,0.000008,0,0
SHIB.V,D,20210628,000000,0.000008,0.000008,0.000008,0.000008,0,0
SHIB.V,D,20210629,000000,0.000008,0.00001,0.000008,0.000009,0,0
SHIB.V,D,20210630,000000,0.000009,0.000009,0.000008,0.000009,0,0
SHIB.V,D,20210701,000000,0.000009,0.000009,0.000008,0.000008,0,0
SHIB.V,D,20210702,000000,0.000008,0.000008,0.000008,0.000008,0,0
SHIB.V,D,20210703,000000,0.000008,0.000009,0.000008,0.000009,0,0
SHIB.V,D,20210704,000000,0.000009,0.000009,0.000008,0.000009,0,0
SHIB.V,D,20210705,000000,0.000009,0.000009,0.000008,0.000008,0,0
SHIB.V,D,20210706,000000,0.000008,0.000009,0.000008,0.000009,0,0
SHIB.V,D,20210707,000000,0.000009,0.000009,0.000009,0.000009,0,0
SHIB.V,D,20210708,000000,0.000009,0.000009,0.000008,0.000008,0,0
SHIB.V,D,20210709,000000,0.000008,0.000008,0.000008,0.000008,0,0
SHIB.V,D,20210710,000000,0.000008,0.000008,0.000008,0.000008,0,0
SHIB.V,D,20210711,000000,0.000008,0.000008,0.000008,0.000008,0,0
SHIB.V,D,20210712,000000,0.000008,0.000008,0.000007,0.000008,0,0
SHIB.V,D,20210713,000000,0.000008,0.000008,0.000007,0.000007,0,0
SHIB.V,D,20210714,000000,0.000007,0.000008,0.000007,0.000007,0,0
SHIB.V,D,20210715,000000,0.000007,0.000007,0.000007,0.000007,0,0
SHIB.V,D,20210716,000000,0.000007,0.000007,0.000007,0.000007,0,0
SHIB.V,D,20210717,000000,0.000007,0.000007,0.000007,0.000007,0,0
SHIB.V,D,20210718,000000,0.000007,0.000007,0.000007,0.000007,0,0
