<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WAXP.V,D,20200129,000000,0.02639,0.02684,0.02609,0.02684,0,0
WAXP.V,D,20200131,000000,0.02746,0.02746,0.02494,0.02494,0,0
WAXP.V,D,20200203,000000,0.02492,0.02508,0.0248,0.02508,0,0
WAXP.V,D,20200204,000000,0.02508,0.0266,0.02476,0.02623,0,0
WAXP.V,D,20200205,000000,0.02623,0.02797,0.02623,0.02797,0,0
WAXP.V,D,20200206,000000,0.02797,0.02878,0.0279,0.02878,0,0
WAXP.V,D,20200207,000000,0.02878,0.03217,0.02878,0.03168,0,0
WAXP.V,D,20200208,000000,0.03168,0.03197,0.03108,0.03128,0,0
WAXP.V,D,20200210,000000,0.0321,0.0321,0.02997,0.03115,0,0
WAXP.V,D,20200211,000000,0.03115,0.03594,0.03115,0.03142,0,0
WAXP.V,D,20200212,000000,0.03142,0.03632,0.03142,0.03508,0,0
WAXP.V,D,20200213,000000,0.03044,0.03192,0.03044,0.03055,0,0
WAXP.V,D,20200214,000000,0.03055,0.06625,0.02994,0.06304,0,0
WAXP.V,D,20200215,000000,0.06304,0.09727,0.05859,0.06159,0,0
WAXP.V,D,20200216,000000,0.06159,0.06956,0.05212,0.06,0,0
WAXP.V,D,20200217,000000,0.06,0.06107,0.0588,0.0595,0,0
WAXP.V,D,20200218,000000,0.0595,0.0595,0.05109,0.05109,0,0
WAXP.V,D,20200219,000000,0.05093,0.05093,0.04657,0.04838,0,0
WAXP.V,D,20200220,000000,0.04988,0.04988,0.04411,0.04411,0,0
WAXP.V,D,20200221,000000,0.04536,0.05628,0.04536,0.05206,0,0
WAXP.V,D,20200222,000000,0.05206,0.05299,0.04617,0.04669,0,0
WAXP.V,D,20200223,000000,0.04669,0.0543,0.04669,0.05017,0,0
WAXP.V,D,20200224,000000,0.05017,0.05017,0.04571,0.0465,0,0
WAXP.V,D,20200225,000000,0.04656,0.04656,0.04009,0.04009,0,0
WAXP.V,D,20200226,000000,0.03949,0.04251,0.03289,0.03915,0,0
WAXP.V,D,20200227,000000,0.03525,0.04785,0.03525,0.04776,0,0
WAXP.V,D,20200228,000000,0.04776,0.05382,0.0408,0.04371,0,0
WAXP.V,D,20200229,000000,0.04528,0.04528,0.03962,0.04158,0,0
WAXP.V,D,20200301,000000,0.04158,0.04831,0.04014,0.0426,0,0
WAXP.V,D,20200302,000000,0.04275,0.04553,0.03887,0.04553,0,0
WAXP.V,D,20200303,000000,0.0427,0.04766,0.04117,0.04498,0,0
WAXP.V,D,20200304,000000,0.04498,0.0492,0.04424,0.04622,0,0
WAXP.V,D,20200305,000000,0.04622,0.0478,0.04508,0.04757,0,0
WAXP.V,D,20200306,000000,0.04757,0.05456,0.04757,0.04869,0,0
WAXP.V,D,20200307,000000,0.04869,0.04869,0.04518,0.04556,0,0
WAXP.V,D,20200308,000000,0.04556,0.04556,0.03714,0.03814,0,0
WAXP.V,D,20200309,000000,0.03814,0.04123,0.03737,0.03899,0,0
WAXP.V,D,20200310,000000,0.03899,0.04233,0.03832,0.04113,0,0
WAXP.V,D,20200311,000000,0.04113,0.04113,0.03741,0.03897,0,0
WAXP.V,D,20200312,000000,0.03897,0.03897,0.01805,0.01897,0,0
WAXP.V,D,20200313,000000,0.019,0.02762,0.015,0.02362,0,0
WAXP.V,D,20200314,000000,0.02362,0.03262,0.02362,0.02978,0,0
WAXP.V,D,20200315,000000,0.02978,0.03082,0.02703,0.02703,0,0
WAXP.V,D,20200316,000000,0.02703,0.034,0.02295,0.03376,0,0
WAXP.V,D,20200317,000000,0.03376,0.04135,0.03346,0.0399,0,0
WAXP.V,D,20200318,000000,0.0399,0.04241,0.03438,0.03438,0,0
WAXP.V,D,20200319,000000,0.03438,0.08787,0.03244,0.03912,0,0
WAXP.V,D,20200320,000000,0.03912,0.05003,0.03201,0.03862,0,0
WAXP.V,D,20200321,000000,0.03862,0.04357,0.032,0.03647,0,0
WAXP.V,D,20200322,000000,0.03647,0.0378,0.0301,0.032,0,0
WAXP.V,D,20200323,000000,0.032,0.0335,0.02183,0.03223,0,0
WAXP.V,D,20200324,000000,0.03223,0.0335,0.0243,0.03309,0,0
