<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SUPER.V,D,20220523,000000,0.22735,0.243931,0.212944,0.217539,6232701.785829193,0
SUPER.V,D,20220524,000000,0.217139,0.231145,0.198062,0.216718,3103863.688545746,0
SUPER.V,D,20220525,000000,0.216297,0.226051,0.210247,0.215042,2469799.2626336706,0
SUPER.V,D,20220526,000000,0.214963,0.215541,0.182399,0.191209,1681883.264468116,0
SUPER.V,D,20220527,000000,0.191109,0.196004,0.173209,0.178321,1086514.8197866126,0
SUPER.V,D,20220528,000000,0.177497,0.1848,0.172386,0.181789,853876.9259949353,0
SUPER.V,D,20220529,000000,0.181384,0.230646,0.17782,0.20657,6999843.886831416,0
SUPER.V,D,20220530,000000,0.206371,0.222004,0.201185,0.216149,3349032.563288399,0
SUPER.V,D,20220531,000000,0.215649,0.27081,0.212808,0.228817,12615604.141622562,0
SUPER.V,D,20220601,000000,0.229621,0.234624,0.196603,0.19932,1657334.5917067719,0
SUPER.V,D,20220602,000000,0.198821,0.219003,0.194924,0.209212,3760147.9784283903,0
SUPER.V,D,20220603,000000,0.209311,0.211609,0.188722,0.19543,2259558.846889264,0
SUPER.V,D,20220604,000000,0.194431,0.199348,0.192697,0.199348,10134196.589315247,0
SUPER.V,D,20220605,000000,0.199748,0.216125,0.195163,0.20241,11323074.410567466,0
SUPER.V,D,20220606,000000,0.20221,0.212815,0.197556,0.203129,25567616.362969883,0
SUPER.V,D,20220607,000000,0.203229,0.203931,0.187642,0.201039,22418411.65577976,0
SUPER.V,D,20220608,000000,0.201139,0.202846,0.18988,0.193674,19617993.081718087,0
SUPER.V,D,20220609,000000,0.193774,0.198323,0.191827,0.192738,16735859.152944624,0
SUPER.V,D,20220610,000000,0.192336,0.193341,0.176513,0.180371,22747351.904036775,0
SUPER.V,D,20220611,000000,0.180069,0.181306,0.158819,0.163715,5400236.864981185,0
SUPER.V,D,20220612,000000,0.164417,0.165513,0.14969,0.156206,5821024.26729546,0
SUPER.V,D,20220613,000000,0.156707,0.156707,0.122851,0.133914,79222805.22126158,0
SUPER.V,D,20220614,000000,0.134112,0.154199,0.121324,0.132741,113627726.4573116,0
SUPER.V,D,20220615,000000,0.132341,0.141344,0.120283,0.14009,79116171.4830092,0
SUPER.V,D,20220616,000000,0.1423,0.142514,0.126548,0.130118,5358243.831078254,0
SUPER.V,D,20220617,000000,0.123228,0.13221,0.122928,0.12887,58517346.92695851,0
SUPER.V,D,20220618,000000,0.1292,0.13064,0.108539,0.11711,60733366.013691,0
SUPER.V,D,20220619,000000,0.11711,0.179784,0.11651,0.144412,21051412.226563677,0
SUPER.V,D,20220620,000000,0.144811,0.182363,0.137235,0.139546,38306105.18362072,0
SUPER.V,D,20220621,000000,0.139333,0.151448,0.138334,0.142044,7647094.696480341,0
SUPER.V,D,20220622,000000,0.141858,0.143257,0.130869,0.133966,6457711.071209559,0
SUPER.V,D,20220623,000000,0.133466,0.14016,0.131368,0.139061,2756835.6046296298,0
