<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LOOKS.V,D,20220514,000000,0.696214,0.699609,0.695216,0.699509,20950.474228,0
LOOKS.V,D,20220515,000000,0.632413,0.709448,0.607787,0.703085,5469123.1678931,0
LOOKS.V,D,20220516,000000,0.703155,0.731221,0.602455,0.634774,6434133.0025555,0
LOOKS.V,D,20220517,000000,0.635073,0.701657,0.611443,0.678285,5777635.4394615,0
LOOKS.V,D,20220518,000000,0.678617,0.688535,0.535557,0.542094,7963034.0093932,0
LOOKS.V,D,20220519,000000,0.542094,0.603157,0.491411,0.547052,8390667.050769,0
LOOKS.V,D,20220520,000000,0.547452,0.584498,0.504494,0.526268,5523899.481818,0
LOOKS.V,D,20220521,000000,0.526767,0.54105,0.457005,0.462997,8422690.5515255,0
LOOKS.V,D,20220522,000000,0.462798,0.555122,0.462498,0.527267,8286153.069557,0
LOOKS.V,D,20220523,000000,0.527366,0.647487,0.527366,0.608569,10835026.401313,0
LOOKS.V,D,20220524,000000,0.60787,0.613962,0.501048,0.555821,7149542.8284565,0
LOOKS.V,D,20220525,000000,0.555477,0.596643,0.546943,0.584398,4597249.0092791,0
LOOKS.V,D,20220526,000000,0.585097,0.594086,0.491709,0.521578,4519042.0065526,0
LOOKS.V,D,20220527,000000,0.521578,0.525874,0.459594,0.474225,5206545.4049241,0
LOOKS.V,D,20220528,000000,0.473555,0.516078,0.461072,0.504709,4461428.2494429,0
LOOKS.V,D,20220529,000000,0.504399,0.521221,0.480824,0.505139,4658993.7114792,0
LOOKS.V,D,20220530,000000,0.505294,0.566403,0.492563,0.559352,4609048.8614376,0
LOOKS.V,D,20220531,000000,0.558753,0.576538,0.503297,0.517334,4090186.8911278,0
LOOKS.V,D,20220601,000000,0.517486,0.528677,0.41938,0.430412,8091744.8222027,0
LOOKS.V,D,20220602,000000,0.430113,0.474073,0.42957,0.472574,6151111.55178,0
LOOKS.V,D,20220603,000000,0.472574,0.490059,0.422874,0.435621,6797779.4610226,0
LOOKS.V,D,20220604,000000,0.43602,0.438075,0.405678,0.414685,5147503.8876337,0
LOOKS.V,D,20220605,000000,0.414889,0.423861,0.351501,0.37235,6041734.9439996,0
LOOKS.V,D,20220606,000000,0.37245,0.413752,0.356839,0.374985,8881441.5147786,0
LOOKS.V,D,20220607,000000,0.373586,0.378267,0.323254,0.344221,6263778.3436334,0
LOOKS.V,D,20220608,000000,0.344221,0.349534,0.306395,0.312996,9545764.5798959,0
LOOKS.V,D,20220609,000000,0.312996,0.31753,0.293947,0.302745,6848441.1363921,0
LOOKS.V,D,20220610,000000,0.302243,0.307362,0.277711,0.299816,14063603.416341,0
LOOKS.V,D,20220611,000000,0.299516,0.303962,0.237505,0.246921,12704478.770315,0
LOOKS.V,D,20220612,000000,0.246818,0.250616,0.208329,0.221627,15659204.196994,0
LOOKS.V,D,20220613,000000,0.221427,0.221427,0.167732,0.17965,20176095.13483,0
LOOKS.V,D,20220614,000000,0.17955,0.201644,0.161557,0.185977,70840815.920137,0
LOOKS.V,D,20220615,000000,0.186078,0.235717,0.172189,0.235147,54546756.563895,0
LOOKS.V,D,20220616,000000,0.235147,0.250249,0.20006,0.210006,18255832.51203,0
LOOKS.V,D,20220617,000000,0.204819,0.31025,0.204116,0.255893,45776611.917824,0
LOOKS.V,D,20220618,000000,0.255793,0.290123,0.222812,0.281141,53048319.737845,0
LOOKS.V,D,20220619,000000,0.281341,0.370218,0.255217,0.335463,58841607.270163,0
LOOKS.V,D,20220620,000000,0.335363,0.422934,0.304703,0.377684,23518886.844056,0
LOOKS.V,D,20220621,000000,0.378683,0.438817,0.344455,0.365897,15418847.851685,0
LOOKS.V,D,20220622,000000,0.365597,0.400399,0.346653,0.358841,13379398.93184,0
LOOKS.V,D,20220623,000000,0.35924,0.410189,0.353446,0.395005,10191654.557441,0
LOOKS.V,D,20220624,000000,0.394705,0.434165,0.383059,0.405783,7868614.2769839,0
LOOKS.V,D,20220625,000000,0.405694,0.415684,0.357364,0.383731,4637058.269667,0
LOOKS.V,D,20220626,000000,0.383431,0.388428,0.347691,0.357882,10076728.922444,0
LOOKS.V,D,20220627,000000,0.356879,0.357086,0.316037,0.334196,10945662.802238,0
LOOKS.V,D,20220628,000000,0.334206,0.347284,0.308782,0.317609,13352092.611017,0
LOOKS.V,D,20220629,000000,0.317606,0.318427,0.281106,0.289349,26114048.658978,0
LOOKS.V,D,20220630,000000,0.289449,0.300542,0.251588,0.29125,20256386.371719,0
LOOKS.V,D,20220701,000000,0.29105,0.324343,0.281662,0.302067,14640224.076414,0
LOOKS.V,D,20220702,000000,0.301967,0.312656,0.276895,0.292449,8281558.4327693,0
LOOKS.V,D,20220703,000000,0.292319,0.294846,0.268623,0.281234,8854595.3496464,0
LOOKS.V,D,20220704,000000,0.281434,0.322612,0.271946,0.322513,5670121.2930462,0
LOOKS.V,D,20220705,000000,0.322413,0.365098,0.30836,0.351813,11924979.37062,0
LOOKS.V,D,20220706,000000,0.351613,0.358505,0.332833,0.342323,10075549.611677,0
LOOKS.V,D,20220707,000000,0.340925,0.371877,0.332833,0.368978,4165945.6354561,0
LOOKS.V,D,20220708,000000,0.368879,0.369078,0.322274,0.331001,5828218.355682,0
LOOKS.V,D,20220709,000000,0.331501,0.338097,0.312213,0.319208,3579283.1107407,0
LOOKS.V,D,20220710,000000,0.320008,0.327503,0.305386,0.325305,2439636.2190428,0
LOOKS.V,D,20220711,000000,0.325344,0.325344,0.28884,0.28904,2253388.2540314,0
LOOKS.V,D,20220712,000000,0.28914,0.302597,0.27755,0.289011,2549950.0762261,0
LOOKS.V,D,20220713,000000,0.288882,0.308691,0.264709,0.289739,5297194.9468199,0
