<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XDC.V,D,20200402,000000,0.000659,0.000728,0.000615,0.000615,0,0
XDC.V,D,20200403,000000,0.000615,0.00073,0.000615,0.000694,0,0
XDC.V,D,20200404,000000,0.000694,0.000722,0.00061,0.0007,0,0
XDC.V,D,20200405,000000,0.0007,0.000732,0.000671,0.000694,0,0
XDC.V,D,20200406,000000,0.000694,0.000806,0.000676,0.000761,0,0
XDC.V,D,20200407,000000,0.000761,0.000806,0.000684,0.000732,0,0
XDC.V,D,20200408,000000,0.000732,0.000744,0.000683,0.000724,0,0
XDC.V,D,20200409,000000,0.000724,0.000744,0.000681,0.000718,0,0
XDC.V,D,20200410,000000,0.000718,0.000748,0.000681,0.000695,0,0
XDC.V,D,20200411,000000,0.000695,0.000733,0.000686,0.0007,0,0
XDC.V,D,20200412,000000,0.0007,0.00074,0.000684,0.00074,0,0
XDC.V,D,20200413,000000,0.00074,0.00074,0.000684,0.00074,0,0
XDC.V,D,20200414,000000,0.00074,0.000749,0.000699,0.000716,0,0
XDC.V,D,20200415,000000,0.000716,0.000753,0.000694,0.000738,0,0
XDC.V,D,20200416,000000,0.000738,0.000754,0.000694,0.000704,0,0
XDC.V,D,20200417,000000,0.000704,0.000768,0.000704,0.000768,0,0
XDC.V,D,20200418,000000,0.000768,0.000768,0.000714,0.000721,0,0
XDC.V,D,20200419,000000,0.000721,0.000773,0.000692,0.000702,0,0
XDC.V,D,20200420,000000,0.000702,0.00077,0.000691,0.000723,0,0
XDC.V,D,20200421,000000,0.000723,0.000745,0.000692,0.000695,0,0
XDC.V,D,20200422,000000,0.000695,0.000753,0.000693,0.000711,0,0
XDC.V,D,20200423,000000,0.000711,0.00077,0.000709,0.000728,0,0
XDC.V,D,20200424,000000,0.000728,0.000779,0.00072,0.000779,0,0
XDC.V,D,20200425,000000,0.000779,0.000783,0.000692,0.0007,0,0
XDC.V,D,20200426,000000,0.0007,0.000784,0.000696,0.000727,0,0
XDC.V,D,20200427,000000,0.000727,0.000784,0.000727,0.00078,0,0
