<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SOLO.V,D,20220514,000000,0.277651,0.277651,0.277651,0.277651,8.013622,0
SOLO.V,D,20220515,000000,0.271219,0.271244,0.20086,0.231644,35841.935451414,0
SOLO.V,D,20220516,000000,0.231644,0.381404,0.214258,0.274643,40198.248000107,0
SOLO.V,D,20220517,000000,0.274643,0.299419,0.262133,0.298862,87858.917076398,0
SOLO.V,D,20220518,000000,0.299111,0.299614,0.224688,0.274643,114181.60118013,0
SOLO.V,D,20220519,000000,0.274609,0.278495,0.239725,0.267254,126088.99914492,0
SOLO.V,D,20220520,000000,0.256012,0.36,0.244747,0.31261,91129.625216785,0
SOLO.V,D,20220521,000000,0.335568,0.360001,0.237283,0.281398,94306.497148722,0
SOLO.V,D,20220522,000000,0.272924,0.305144,0.270496,0.271125,227435.55786464,0
SOLO.V,D,20220523,000000,0.277723,0.308285,0.271069,0.29961,90682.412033001,0
SOLO.V,D,20220524,000000,0.29964,0.29967,0.276168,0.277025,119388.108308,0
SOLO.V,D,20220525,000000,0.27703,0.295171,0.276997,0.289599,83583.380462805,0
SOLO.V,D,20220526,000000,0.290884,0.296836,0.280687,0.28984,110003.6598773,0
SOLO.V,D,20220527,000000,0.281531,0.294108,0.245613,0.259422,75569.901289001,0
SOLO.V,D,20220528,000000,0.259386,0.292969,0.253496,0.26859,67274.320153153,0
SOLO.V,D,20220529,000000,0.253495,0.272771,0.253486,0.2702,69635.024038194,0
SOLO.V,D,20220530,000000,0.270188,0.273743,0.263397,0.268659,97008.280447344,0
SOLO.V,D,20220531,000000,0.275013,0.276268,0.272326,0.273352,81059.189867071,0
SOLO.V,D,20220601,000000,0.274329,0.298509,0.273322,0.290851,120436.29194193,0
SOLO.V,D,20220602,000000,0.284312,0.308914,0.273297,0.275447,59201.214879982,0
SOLO.V,D,20220603,000000,0.273297,0.277651,0.273238,0.277603,44960.678706751,0
SOLO.V,D,20220604,000000,0.277603,0.300115,0.273303,0.278585,77355.734245235,0
SOLO.V,D,20220605,000000,0.278585,0.293393,0.278515,0.293326,63895.112936838,0
SOLO.V,D,20220606,000000,0.29332,0.293575,0.278496,0.286035,143016.11369107,0
SOLO.V,D,20220607,000000,0.286032,0.29361,0.275999,0.278568,155543.85694921,0
SOLO.V,D,20220608,000000,0.293361,0.293531,0.273056,0.273067,137365.47253744,0
SOLO.V,D,20220609,000000,0.273064,0.276765,0.272996,0.276709,69568.622878075,0
SOLO.V,D,20220610,000000,0.273011,0.276754,0.272879,0.27659,106523.36460974,0
SOLO.V,D,20220611,000000,0.27659,0.276654,0.241448,0.24847,85358.353633623,0
SOLO.V,D,20220612,000000,0.248467,0.268626,0.144814,0.179755,112627.73294587,0
SOLO.V,D,20220613,000000,0.144808,0.232042,0.144807,0.202221,2781321.3775038,0
SOLO.V,D,20220614,000000,0.200973,0.230957,0.199646,0.199696,16048535.185327,0
SOLO.V,D,20220615,000000,0.21537,0.216307,0.207449,0.211662,7038317.3889679,0
SOLO.V,D,20220616,000000,0.211233,0.2356,0.207414,0.210786,153444.0982604,0
SOLO.V,D,20220617,000000,0.204901,0.22967,0.193304,0.213625,4223572.0394275,0
SOLO.V,D,20220618,000000,0.214644,0.215971,0.189779,0.191389,9896040.229645,0
SOLO.V,D,20220619,000000,0.193047,0.201668,0.189685,0.201648,919708.93119429,0
SOLO.V,D,20220620,000000,0.19969,0.204105,0.196205,0.19936,199652.29270626,0
SOLO.V,D,20220621,000000,0.19937,0.210443,0.197003,0.206987,99305.956252863,0
SOLO.V,D,20220622,000000,0.206987,0.241715,0.194452,0.221816,63607.893422691,0
SOLO.V,D,20220623,000000,0.221818,0.227249,0.204596,0.206279,41550.77083,0
