<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RUNE.V,D,20191218,000000,0.0515,0.0696,0.04935,0.06748,0,0
RUNE.V,D,20191219,000000,0.06748,0.09115,0.06346,0.08728,0,0
RUNE.V,D,20191220,000000,0.08728,0.09059,0.08082,0.08718,0,0
RUNE.V,D,20191221,000000,0.08718,0.09059,0.08173,0.08382,0,0
RUNE.V,D,20191222,000000,0.08382,0.09055,0.07042,0.07862,0,0
RUNE.V,D,20191223,000000,0.07862,0.0817,0.05071,0.07175,0,0
RUNE.V,D,20191224,000000,0.07175,0.07309,0.0635,0.07128,0,0
RUNE.V,D,20191225,000000,0.07128,0.07138,0.06506,0.06807,0,0
RUNE.V,D,20191226,000000,0.06807,0.07089,0.06534,0.06665,0,0
RUNE.V,D,20191227,000000,0.06665,0.07715,0.06113,0.07505,0,0
RUNE.V,D,20191228,000000,0.07505,0.08178,0.0678,0.06906,0,0
RUNE.V,D,20191229,000000,0.06906,0.07128,0.05674,0.05935,0,0
RUNE.V,D,20191230,000000,0.05935,0.06867,0.05677,0.06249,0,0
RUNE.V,D,20191231,000000,0.06249,0.07315,0.06001,0.07104,0,0
RUNE.V,D,20200101,000000,0.07104,0.08064,0.07063,0.07556,0,0
RUNE.V,D,20200102,000000,0.07556,0.08021,0.0653,0.07673,0,0
RUNE.V,D,20200103,000000,0.07673,0.08036,0.07425,0.07869,0,0
RUNE.V,D,20200104,000000,0.07869,0.08818,0.0772,0.08579,0,0
RUNE.V,D,20200105,000000,0.08579,0.1072,0.08417,0.101,0,0
RUNE.V,D,20200106,000000,0.101,0.1025,0.08016,0.09175,0,0
RUNE.V,D,20200107,000000,0.09175,0.0974,0.08639,0.09112,0,0
RUNE.V,D,20200108,000000,0.09112,0.1052,0.085,0.09677,0,0
RUNE.V,D,20200109,000000,0.09677,0.1045,0.09372,0.09585,0,0
RUNE.V,D,20200110,000000,0.09585,0.09964,0.09222,0.0947,0,0
RUNE.V,D,20200111,000000,0.0947,0.09874,0.08938,0.0947,0,0
RUNE.V,D,20200112,000000,0.0947,0.09528,0.08548,0.08813,0,0
RUNE.V,D,20200113,000000,0.08813,0.08825,0.08345,0.08534,0,0
RUNE.V,D,20200114,000000,0.08534,0.09472,0.08501,0.08901,0,0
RUNE.V,D,20200115,000000,0.08901,0.09627,0.08813,0.09009,0,0
RUNE.V,D,20200116,000000,0.09009,0.09545,0.08596,0.08821,0,0
RUNE.V,D,20200117,000000,0.08821,0.09955,0.08804,0.09436,0,0
RUNE.V,D,20200118,000000,0.09436,0.1067,0.09092,0.09856,0,0
RUNE.V,D,20200119,000000,0.09856,0.1068,0.09007,0.09902,0,0
RUNE.V,D,20200120,000000,0.09902,0.1072,0.09195,0.1052,0,0
RUNE.V,D,20200121,000000,0.1052,0.1084,0.09497,0.102,0,0
RUNE.V,D,20200122,000000,0.102,0.1083,0.1014,0.1036,0,0
RUNE.V,D,20200123,000000,0.1036,0.1058,0.0954,0.09849,0,0
RUNE.V,D,20200124,000000,0.09849,0.1206,0.0921,0.09903,0,0
RUNE.V,D,20200125,000000,0.09903,0.107,0.09802,0.1036,0,0
RUNE.V,D,20200126,000000,0.1036,0.1092,0.1019,0.1084,0,0
RUNE.V,D,20200127,000000,0.1084,0.1149,0.1041,0.1105,0,0
RUNE.V,D,20200128,000000,0.1105,0.1351,0.1091,0.1203,0,0
RUNE.V,D,20200129,000000,0.1203,0.1273,0.111,0.1175,0,0
RUNE.V,D,20200130,000000,0.1175,0.1269,0.1119,0.1186,0,0
RUNE.V,D,20200131,000000,0.1186,0.1319,0.1149,0.126,0,0
RUNE.V,D,20200201,000000,0.126,0.1285,0.1127,0.1168,0,0
RUNE.V,D,20200202,000000,0.1168,0.1211,0.1086,0.1183,0,0
RUNE.V,D,20200203,000000,0.1183,0.137,0.1141,0.1185,0,0
RUNE.V,D,20200204,000000,0.1185,0.1269,0.1098,0.1171,0,0
RUNE.V,D,20200205,000000,0.1171,0.1247,0.1121,0.1244,0,0
RUNE.V,D,20200206,000000,0.1244,0.1345,0.1201,0.1312,0,0
RUNE.V,D,20200207,000000,0.1312,0.1336,0.115,0.1217,0,0
RUNE.V,D,20200208,000000,0.1217,0.1305,0.1217,0.1266,0,0
RUNE.V,D,20200209,000000,0.1266,0.1303,0.1202,0.1275,0,0
RUNE.V,D,20200210,000000,0.1275,0.1319,0.1204,0.1226,0,0
RUNE.V,D,20200211,000000,0.1226,0.1289,0.1056,0.1143,0,0
RUNE.V,D,20200212,000000,0.1143,0.1301,0.1116,0.1221,0,0
RUNE.V,D,20200213,000000,0.1221,0.1323,0.1192,0.1232,0,0
RUNE.V,D,20200214,000000,0.1232,0.1345,0.1225,0.1311,0,0
RUNE.V,D,20200215,000000,0.1311,0.1311,0.115,0.1178,0,0
RUNE.V,D,20200216,000000,0.1178,0.1251,0.1101,0.1151,0,0
RUNE.V,D,20200217,000000,0.1151,0.1201,0.1011,0.1084,0,0
RUNE.V,D,20200218,000000,0.1084,0.1229,0.1073,0.1225,0,0
RUNE.V,D,20200219,000000,0.1225,0.1225,0.1009,0.116,0,0
RUNE.V,D,20200220,000000,0.116,0.1181,0.1047,0.1169,0,0
RUNE.V,D,20200221,000000,0.1169,0.1263,0.1047,0.1251,0,0
RUNE.V,D,20200222,000000,0.1251,0.1303,0.1083,0.1097,0,0
RUNE.V,D,20200223,000000,0.1097,0.1164,0.1062,0.1064,0,0
RUNE.V,D,20200224,000000,0.1064,0.1185,0.1061,0.1095,0,0
RUNE.V,D,20200225,000000,0.1095,0.1168,0.1051,0.1097,0,0
RUNE.V,D,20200226,000000,0.1097,0.1153,0.1002,0.1067,0,0
RUNE.V,D,20200227,000000,0.1067,0.1131,0.1005,0.1047,0,0
RUNE.V,D,20200228,000000,0.1047,0.109,0.09759,0.1025,0,0
RUNE.V,D,20200229,000000,0.1025,0.1032,0.08577,0.0973,0,0
RUNE.V,D,20200301,000000,0.0973,0.09929,0.09579,0.09637,0,0
RUNE.V,D,20200302,000000,0.09637,0.09962,0.09389,0.09717,0,0
RUNE.V,D,20200303,000000,0.09717,0.09749,0.0909,0.09341,0,0
RUNE.V,D,20200304,000000,0.09341,0.09668,0.08034,0.0887,0,0
RUNE.V,D,20200305,000000,0.0887,0.1041,0.08861,0.09955,0,0
RUNE.V,D,20200306,000000,0.09955,0.108,0.09777,0.1078,0,0
RUNE.V,D,20200307,000000,0.1078,0.1082,0.1005,0.1036,0,0
RUNE.V,D,20200308,000000,0.1036,0.1047,0.09036,0.09248,0,0
RUNE.V,D,20200309,000000,0.09248,0.09397,0.08275,0.08356,0,0
RUNE.V,D,20200310,000000,0.08356,0.1015,0.08331,0.09851,0,0
RUNE.V,D,20200311,000000,0.09851,0.1059,0.09384,0.09915,0,0
RUNE.V,D,20200312,000000,0.09915,0.1006,0.05819,0.0678,0,0
RUNE.V,D,20200313,000000,0.0678,0.08842,0.04129,0.06842,0,0
RUNE.V,D,20200314,000000,0.06842,0.07035,0.05941,0.06238,0,0
RUNE.V,D,20200315,000000,0.06238,0.07007,0.06101,0.0648,0,0
RUNE.V,D,20200316,000000,0.0648,0.06761,0.03902,0.04453,0,0
RUNE.V,D,20200317,000000,0.04453,0.06431,0.04453,0.05194,0,0
RUNE.V,D,20200318,000000,0.05194,0.05912,0.05,0.05546,0,0
RUNE.V,D,20200319,000000,0.05546,0.0679,0.04867,0.0664,0,0
RUNE.V,D,20200320,000000,0.0664,0.07321,0.05906,0.06053,0,0
RUNE.V,D,20200321,000000,0.06053,0.07014,0.05511,0.0582,0,0
RUNE.V,D,20200322,000000,0.0582,0.06405,0.05669,0.05886,0,0
RUNE.V,D,20200323,000000,0.05886,0.06561,0.05604,0.06502,0,0
RUNE.V,D,20200324,000000,0.06502,0.06743,0.05597,0.06226,0,0
RUNE.V,D,20200325,000000,0.06226,0.06977,0.05547,0.05717,0,0
RUNE.V,D,20200326,000000,0.05717,0.06404,0.05637,0.06141,0,0
RUNE.V,D,20200327,000000,0.06141,0.06345,0.05889,0.06198,0,0
RUNE.V,D,20200328,000000,0.06198,0.06303,0.05741,0.06111,0,0
RUNE.V,D,20200329,000000,0.06111,0.06506,0.05763,0.05787,0,0
RUNE.V,D,20200330,000000,0.05787,0.06124,0.05769,0.05957,0,0
RUNE.V,D,20200331,000000,0.05957,0.06513,0.059,0.06485,0,0
RUNE.V,D,20200401,000000,0.06485,0.07276,0.06108,0.07253,0,0
