<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRAC.V,D,20220514,000000,0.255265,0.255864,0.255165,0.25534,179.57305488623,0
TRAC.V,D,20220515,000000,0.274815,0.321414,0.263131,0.314023,30576.436216393,0
TRAC.V,D,20220516,000000,0.313792,0.337594,0.268677,0.304104,266436.51783084,0
TRAC.V,D,20220517,000000,0.304703,0.386336,0.290122,0.334798,558357.45387509,0
TRAC.V,D,20220518,000000,0.334265,0.360067,0.302476,0.309697,636459.57650986,0
TRAC.V,D,20220519,000000,0.310065,0.331535,0.283859,0.317882,260284.8151516,0
TRAC.V,D,20220520,000000,0.318213,0.347987,0.296344,0.301338,284213.85856627,0
TRAC.V,D,20220521,000000,0.306731,0.335164,0.297513,0.319185,221755.71272517,0
TRAC.V,D,20220522,000000,0.318553,0.344252,0.305303,0.314822,288622.95542474,0
TRAC.V,D,20220523,000000,0.325809,0.338961,0.296773,0.300439,503849.9987234,0
TRAC.V,D,20220524,000000,0.300539,0.318849,0.289352,0.304373,191948.26452692,0
TRAC.V,D,20220525,000000,0.304473,0.326341,0.283459,0.291949,381061.06955995,0
TRAC.V,D,20220526,000000,0.291949,0.310558,0.269177,0.287113,300469.27154787,0
TRAC.V,D,20220527,000000,0.286713,0.287912,0.257442,0.263936,258687.17169399,0
TRAC.V,D,20220528,000000,0.267932,0.289193,0.259801,0.287463,356154.8672683,0
TRAC.V,D,20220529,000000,0.287863,0.288985,0.268831,0.276795,284582.96698773,0
TRAC.V,D,20220530,000000,0.277791,0.341992,0.276096,0.328437,894632.75169494,0
TRAC.V,D,20220531,000000,0.327071,0.37064,0.316946,0.329203,495902.65914564,0
TRAC.V,D,20220601,000000,0.329636,0.360611,0.3001,0.304026,312935.8085097,0
TRAC.V,D,20220602,000000,0.303139,0.32221,0.302028,0.316215,171481.62394265,0
TRAC.V,D,20220603,000000,0.317314,0.340948,0.307368,0.318323,324819.987916,0
TRAC.V,D,20220604,000000,0.319722,0.32534,0.315078,0.319757,221842.52021302,0
TRAC.V,D,20220605,000000,0.31966,0.333493,0.311935,0.332187,346733.78768582,0
TRAC.V,D,20220606,000000,0.331588,0.345809,0.322126,0.330719,2113026.9418658,0
TRAC.V,D,20220607,000000,0.329423,0.331228,0.301189,0.327431,1925073.1469371,0
TRAC.V,D,20220608,000000,0.326335,0.331554,0.308272,0.313296,1555097.2281315,0
TRAC.V,D,20220609,000000,0.313796,0.314499,0.29097,0.304544,1341041.667327,0
TRAC.V,D,20220610,000000,0.307438,0.30904,0.274193,0.280943,1971141.9782413,0
TRAC.V,D,20220611,000000,0.280241,0.281542,0.245417,0.253613,535827.36338602,0
TRAC.V,D,20220612,000000,0.253411,0.257598,0.211986,0.216234,525508.07263222,0
TRAC.V,D,20220613,000000,0.214933,0.215133,0.166075,0.177553,11327271.378035,0
TRAC.V,D,20220614,000000,0.177555,0.195508,0.153277,0.169996,27101674.947944,0
TRAC.V,D,20220615,000000,0.171902,0.186463,0.150489,0.180729,7008626.0498374,0
TRAC.V,D,20220616,000000,0.180529,0.193867,0.165784,0.168081,1213476.372387,0
TRAC.V,D,20220617,000000,0.155387,0.179654,0.102312,0.169796,16860652.325486,0
TRAC.V,D,20220618,000000,0.169796,0.175778,0.150289,0.151654,6330285.7448514,0
TRAC.V,D,20220619,000000,0.151654,0.181382,0.146872,0.172693,803702.83819022,0
TRAC.V,D,20220620,000000,0.172693,0.177487,0.159508,0.173309,325168.63104672,0
TRAC.V,D,20220621,000000,0.173192,0.191547,0.168415,0.177704,1947109.0033894,0
TRAC.V,D,20220622,000000,0.177704,0.178721,0.166733,0.168431,907113.74555315,0
TRAC.V,D,20220623,000000,0.168431,0.185514,0.167615,0.178821,861094.96504241,0
TRAC.V,D,20220624,000000,0.178821,0.228715,0.178222,0.208138,11936255.99164,0
TRAC.V,D,20220625,000000,0.207992,0.223876,0.195763,0.205656,5650567.7470138,0
TRAC.V,D,20220626,000000,0.206056,0.214652,0.201775,0.212468,5220277.7445433,0
TRAC.V,D,20220627,000000,0.21247,0.214198,0.197677,0.203918,334275.26575329,0
TRAC.V,D,20220628,000000,0.203721,0.217104,0.196566,0.198855,818776.859577,0
TRAC.V,D,20220629,000000,0.198553,0.199764,0.184066,0.190971,1030436.8371415,0
TRAC.V,D,20220630,000000,0.190671,0.208248,0.175671,0.179784,956752.28737646,0
TRAC.V,D,20220701,000000,0.179784,0.19944,0.176188,0.186395,6371380.9714137,0
TRAC.V,D,20220702,000000,0.186295,0.186676,0.177968,0.181782,1269350.0798352,0
TRAC.V,D,20220703,000000,0.181782,0.189553,0.174872,0.184859,1135707.4664573,0
TRAC.V,D,20220704,000000,0.184759,0.192768,0.177169,0.192768,145935.67143806,0
TRAC.V,D,20220705,000000,0.193068,0.210647,0.180401,0.192688,346326.84347484,0
TRAC.V,D,20220706,000000,0.192888,0.198681,0.184197,0.189991,682129.01803371,0
TRAC.V,D,20220707,000000,0.189891,0.206473,0.188673,0.203078,140928.99588123,0
TRAC.V,D,20220708,000000,0.203378,0.208054,0.192165,0.198681,128966.49548587,0
TRAC.V,D,20220709,000000,0.198881,0.206976,0.196482,0.198381,107290.31352307,0
TRAC.V,D,20220710,000000,0.198381,0.204577,0.195183,0.197881,118205.1287354,0
TRAC.V,D,20220711,000000,0.197881,0.19968,0.190547,0.193226,57757.304074244,0
TRAC.V,D,20220712,000000,0.193365,0.193365,0.180202,0.180719,142433.14011664,0
TRAC.V,D,20220713,000000,0.180625,0.184315,0.175225,0.179338,80004.547956161,0
TRAC.V,D,20220714,000000,0.179838,0.193584,0.178857,0.187687,172156.14246237,0
TRAC.V,D,20220715,000000,0.187487,0.202919,0.187487,0.20144,127641.82383837,0
TRAC.V,D,20220716,000000,0.20144,0.263047,0.197141,0.225255,962458.55695439,0
TRAC.V,D,20220717,000000,0.225241,0.22915,0.207738,0.211045,200914.29795056,0
TRAC.V,D,20220718,000000,0.210958,0.2384,0.205836,0.219749,299033.42531215,0
TRAC.V,D,20220719,000000,0.219949,0.2476,0.218543,0.230935,184032.72380301,0
TRAC.V,D,20220720,000000,0.2308,0.3056,0.2308,0.237012,484983.52254898,0
TRAC.V,D,20220721,000000,0.237326,0.23804,0.219437,0.227157,114975.74197145,0
TRAC.V,D,20220722,000000,0.227757,0.240734,0.225914,0.227632,119673.77928382,0
TRAC.V,D,20220723,000000,0.2276,0.232451,0.220002,0.221944,92647.57914769,0
TRAC.V,D,20220724,000000,0.221942,0.242822,0.220915,0.237245,179902.77424727,0
TRAC.V,D,20220725,000000,0.238348,0.238748,0.218331,0.220718,136964.15827225,0
TRAC.V,D,20220726,000000,0.22002,0.221122,0.199012,0.20323,256090.82601598,0
TRAC.V,D,20220727,000000,0.203128,0.231223,0.202828,0.225054,160359.12895204,0
TRAC.V,D,20220728,000000,0.225254,0.253936,0.220242,0.24815,378661.86373569,0
TRAC.V,D,20220729,000000,0.247449,0.247449,0.229485,0.233796,209793.95077474,0
TRAC.V,D,20220730,000000,0.233796,0.252288,0.229378,0.241282,176154.12390241,0
TRAC.V,D,20220731,000000,0.241092,0.255759,0.234066,0.243158,105235.04709487,0
TRAC.V,D,20220801,000000,0.243497,0.243661,0.225174,0.228368,155860.13611312,0
TRAC.V,D,20220802,000000,0.228168,0.23199,0.225747,0.229441,93780.500231213,0
TRAC.V,D,20220803,000000,0.229744,0.237564,0.223642,0.226254,42400.286998646,0
TRAC.V,D,20220804,000000,0.226452,0.235063,0.220407,0.223709,103665.65783484,0
TRAC.V,D,20220805,000000,0.224209,0.245225,0.220404,0.240846,133317.25067147,0
TRAC.V,D,20220806,000000,0.241446,0.24855,0.234342,0.235052,83060.484768647,0
TRAC.V,D,20220807,000000,0.235052,0.244154,0.231332,0.235345,71375.071150505,0
TRAC.V,D,20220808,000000,0.235345,0.243344,0.228155,0.230628,147414.99897256,0
TRAC.V,D,20220809,000000,0.230528,0.241534,0.213547,0.225545,167467.03700262,0
TRAC.V,D,20220810,000000,0.225645,0.244798,0.216156,0.231867,162853.35865361,0
TRAC.V,D,20220811,000000,0.23447,0.236216,0.218296,0.232109,239976.94793357,0
