<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BAT.V,D,20170601,000000,0.234,0.2893,0.1303,0.1656,0,0
BAT.V,D,20170602,000000,0.1711,0.1885,0.1495,0.1555,0,0
BAT.V,D,20170603,000000,0.1588,0.1858,0.1527,0.1652,0,0
BAT.V,D,20170604,000000,0.1638,0.367,0.1624,0.2847,0,0
BAT.V,D,20170605,000000,0.3051,0.3473,0.274,0.2905,0,0
BAT.V,D,20170606,000000,0.3083,0.3089,0.2443,0.2566,0,0
BAT.V,D,20170607,000000,0.2406,0.2743,0.2057,0.2395,0,0
BAT.V,D,20170608,000000,0.2491,0.2653,0.2105,0.216,0,0
BAT.V,D,20170609,000000,0.217,0.2393,0.212,0.2235,0,0
BAT.V,D,20170610,000000,0.2305,0.2421,0.1896,0.1939,0,0
BAT.V,D,20170611,000000,0.1987,0.2215,0.1685,0.1822,0,0
BAT.V,D,20170612,000000,0.1628,0.1934,0.1533,0.1793,0,0
BAT.V,D,20170613,000000,0.1831,0.202,0.1717,0.1913,0,0
BAT.V,D,20170614,000000,0.174,0.177,0.1621,0.166,0,0
BAT.V,D,20170615,000000,0.1643,0.2189,0.1598,0.2124,0,0
BAT.V,D,20170616,000000,0.2181,0.2493,0.1938,0.2296,0,0
BAT.V,D,20170617,000000,0.243,0.243,0.2101,0.2131,0,0
BAT.V,D,20170618,000000,0.2038,0.21,0.1927,0.1949,0,0
BAT.V,D,20170619,000000,0.2009,0.2108,0.1829,0.1845,0,0
BAT.V,D,20170620,000000,0.1942,0.2095,0.191,0.2057,0,0
BAT.V,D,20170621,000000,0.2,0.2069,0.1871,0.1921,0,0
BAT.V,D,20170622,000000,0.1953,0.1966,0.1848,0.1885,0,0
BAT.V,D,20170623,000000,0.1876,0.2041,0.1807,0.2016,0,0
BAT.V,D,20170624,000000,0.1926,0.1969,0.1813,0.1844,0,0
BAT.V,D,20170625,000000,0.1809,0.1854,0.1562,0.1681,0,0
BAT.V,D,20170626,000000,0.1617,0.1675,0.1382,0.1525,0,0
BAT.V,D,20170627,000000,0.1611,0.1651,0.1293,0.1563,0,0
BAT.V,D,20170628,000000,0.156,0.1773,0.1463,0.1752,0,0
BAT.V,D,20170629,000000,0.1739,0.1758,0.151,0.1568,0,0
BAT.V,D,20170630,000000,0.152,0.1536,0.1338,0.1346,0,0
BAT.V,D,20170701,000000,0.1316,0.1431,0.1091,0.1283,0,0
BAT.V,D,20170702,000000,0.1343,0.1404,0.1015,0.1263,0,0
BAT.V,D,20170703,000000,0.1281,0.1345,0.1247,0.1305,0,0
BAT.V,D,20170704,000000,0.1328,0.1428,0.1291,0.1309,0,0
BAT.V,D,20170705,000000,0.1314,0.1369,0.125,0.1309,0,0
BAT.V,D,20170706,000000,0.1302,0.1332,0.1172,0.1218,0,0
