<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HIVE.V,D,20220514,000000,0.509632,0.518565,0.443644,0.491511,308443.36938731,0
HIVE.V,D,20220515,000000,0.490412,0.520123,0.48043,0.520123,262192.29196324,0
HIVE.V,D,20220516,000000,0.523319,0.535403,0.474083,0.493708,175914.64733518,0
HIVE.V,D,20220517,000000,0.495505,0.559584,0.487417,0.536555,1159400.7016347,0
HIVE.V,D,20220518,000000,0.536402,0.569359,0.479476,0.486318,563289.08024299,0
HIVE.V,D,20220519,000000,0.484769,0.489059,0.44562,0.485862,380513.73394061,0
HIVE.V,D,20220520,000000,0.485063,0.502248,0.457405,0.472385,356930.37612193,0
HIVE.V,D,20220521,000000,0.473731,0.486167,0.464296,0.482971,202684.03633095,0
HIVE.V,D,20220522,000000,0.481573,0.580403,0.481026,0.517678,2939056.8465246,0
HIVE.V,D,20220523,000000,0.517878,0.551393,0.510686,0.513483,624150.83732446,0
HIVE.V,D,20220524,000000,0.514182,0.514182,0.456352,0.484469,253312.73979364,0
HIVE.V,D,20220525,000000,0.48482,0.500099,0.471581,0.486065,419397.85726326,0
HIVE.V,D,20220526,000000,0.486915,0.496553,0.44127,0.466233,265084.00020415,0
HIVE.V,D,20220527,000000,0.465035,0.471328,0.442757,0.453446,209825.07598033,0
HIVE.V,D,20220528,000000,0.45208,0.510187,0.445607,0.475947,1498155.3950868,0
HIVE.V,D,20220529,000000,0.474834,0.479533,0.449654,0.46641,540474.38892275,0
HIVE.V,D,20220530,000000,0.466482,0.506046,0.464993,0.505846,389653.33828912,0
HIVE.V,D,20220531,000000,0.506794,0.597981,0.501898,0.546508,1815858.6144778,0
HIVE.V,D,20220601,000000,0.547678,0.58003,0.514685,0.514736,437637.4353765,0
HIVE.V,D,20220602,000000,0.514657,0.612149,0.49945,0.568888,1521071.3153041,0
HIVE.V,D,20220603,000000,0.566789,0.611449,0.526384,0.546824,1551879.4328725,0
HIVE.V,D,20220604,000000,0.546025,0.554867,0.52356,0.532495,2247791.9398771,0
HIVE.V,D,20220605,000000,0.532606,0.583803,0.520478,0.551781,4167780.0924879,0
HIVE.V,D,20220606,000000,0.553479,0.582222,0.546486,0.560928,7151965.0866665,0
HIVE.V,D,20220607,000000,0.560123,0.673634,0.560123,0.602905,8941784.2348521,0
HIVE.V,D,20220608,000000,0.603017,0.603747,0.556249,0.563533,4087357.9662911,0
HIVE.V,D,20220609,000000,0.563533,0.590533,0.537696,0.543843,2632367.2673703,0
HIVE.V,D,20220610,000000,0.542039,0.560129,0.492312,0.507954,2217504.3795206,0
HIVE.V,D,20220611,000000,0.508354,0.512835,0.467819,0.483443,492511.62099981,0
HIVE.V,D,20220612,000000,0.484447,0.496728,0.424401,0.449742,991992.18349244,0
HIVE.V,D,20220613,000000,0.448743,0.448743,0.345381,0.363893,7617641.0429545,0
HIVE.V,D,20220614,000000,0.36659,0.38405,0.314531,0.339992,18676580.779345,0
HIVE.V,D,20220615,000000,0.342688,0.367059,0.31074,0.36369,10101312.558768,0
HIVE.V,D,20220616,000000,0.364453,0.4164,0.340425,0.366523,3992772.1835383,0
HIVE.V,D,20220617,000000,0.342523,0.36629,0.334631,0.360367,4148482.2776166,0
HIVE.V,D,20220618,000000,0.36097,0.403239,0.327243,0.341546,14551353.097089,0
HIVE.V,D,20220619,000000,0.341546,0.368357,0.327731,0.366423,4616067.1994117,0
HIVE.V,D,20220620,000000,0.36646,0.379368,0.351777,0.371591,2510216.7241468,0
HIVE.V,D,20220621,000000,0.371391,0.408273,0.370991,0.407152,1282938.5209572,0
HIVE.V,D,20220622,000000,0.405953,0.405953,0.377023,0.383117,1032370.1738644,0
HIVE.V,D,20220623,000000,0.381518,0.3996,0.37972,0.396103,265340.70203876,0
HIVE.V,D,20220624,000000,0.396403,0.412282,0.394505,0.412282,3678063.9605423,0
HIVE.V,D,20220625,000000,0.412187,0.417882,0.392445,0.412311,1040180.1058316,0
HIVE.V,D,20220626,000000,0.411716,0.415213,0.40247,0.405648,430074.46006264,0
HIVE.V,D,20220627,000000,0.404265,0.561816,0.394167,0.453396,9080203.0352537,0
HIVE.V,D,20220628,000000,0.453496,0.661324,0.417307,0.57679,15865929.094353,0
HIVE.V,D,20220629,000000,0.579704,0.716454,0.559821,0.576538,7956634.9747987,0
HIVE.V,D,20220630,000000,0.575708,0.658709,0.519376,0.530762,3562102.5247369,0
HIVE.V,D,20220701,000000,0.523371,0.52397,0.46375,0.472879,1377881.9391123,0
HIVE.V,D,20220702,000000,0.47228,0.477774,0.442568,0.460347,463911.10587806,0
HIVE.V,D,20220703,000000,0.461446,0.461446,0.429341,0.447118,532449.70428443,0
HIVE.V,D,20220704,000000,0.443523,0.447063,0.426345,0.446963,469909.16150444,0
HIVE.V,D,20220705,000000,0.447263,0.454854,0.428928,0.443711,554567.10238169,0
HIVE.V,D,20220706,000000,0.44461,0.454754,0.433922,0.4539,335172.44440527,0
HIVE.V,D,20220707,000000,0.4538,0.467572,0.447208,0.464121,468407.6334568,0
HIVE.V,D,20220708,000000,0.465421,0.504597,0.461377,0.488707,1144229.579905,0
HIVE.V,D,20220709,000000,0.487108,0.495303,0.473416,0.488607,597446.44754186,0
HIVE.V,D,20220710,000000,0.489557,0.505696,0.459524,0.469018,1306807.0852145,0
HIVE.V,D,20220711,000000,0.46632,0.496902,0.437793,0.43976,737379.27463447,0
HIVE.V,D,20220712,000000,0.43966,0.45954,0.413386,0.416483,790970.90953156,0
HIVE.V,D,20220713,000000,0.4163,0.420479,0.385514,0.412828,793739.96576862,0
HIVE.V,D,20220714,000000,0.414626,0.423718,0.398881,0.418749,865688.85439978,0
HIVE.V,D,20220715,000000,0.418449,0.434383,0.414851,0.432327,646458.91001903,0
HIVE.V,D,20220716,000000,0.43437,0.46566,0.43217,0.45121,2805784.2368898,0
HIVE.V,D,20220717,000000,0.451678,0.457763,0.440177,0.44558,538689.27573515,0
HIVE.V,D,20220718,000000,0.44528,0.475919,0.437247,0.459894,3402791.4292716,0
HIVE.V,D,20220719,000000,0.460294,0.481,0.457363,0.479772,3260347.4334564,0
HIVE.V,D,20220720,000000,0.479,0.486744,0.45905,0.464223,1403244.3104048,0
HIVE.V,D,20220721,000000,0.463556,0.50541,0.448158,0.470503,4422848.3249694,0
HIVE.V,D,20220722,000000,0.470017,0.47339,0.454896,0.459351,1188543.0431603,0
HIVE.V,D,20220723,000000,0.456705,0.465442,0.441931,0.451154,615339.52903092,0
HIVE.V,D,20220724,000000,0.452891,0.475028,0.452891,0.460287,766433.12267601,0
HIVE.V,D,20220725,000000,0.460892,0.570051,0.4296,0.539543,31886903.586637,0
HIVE.V,D,20220726,000000,0.540449,0.59123,0.484124,0.486673,14161764.031652,0
HIVE.V,D,20220727,000000,0.487968,0.539527,0.487968,0.524626,3322600.9291442,0
HIVE.V,D,20220728,000000,0.52182,0.558979,0.511961,0.540408,2222731.8699803,0
HIVE.V,D,20220729,000000,0.543436,0.565119,0.522046,0.531723,2979571.9674372,0
HIVE.V,D,20220730,000000,0.532018,0.540584,0.525594,0.53018,722039.53469393,0
HIVE.V,D,20220731,000000,0.529791,0.540408,0.523052,0.530827,694923.95354507,0
HIVE.V,D,20220801,000000,0.531327,0.975024,0.524404,0.889667,112686321.17376,0
